Name	brca_Database_ID	luad_Database_ID	lscc_Database_ID	ovarian_Database_ID	brca_pvalue	colon_pvalue	hnscc_pvalue	lscc_pvalue	luad_pvalue	ovarian_pvalue
COX6C	NP_004365.1	NP_004365.1	NP_004365.1	NP_004365	0.20829310461023245	0.22056002120247342	0.03258672576594545	0.0147742221708071	0.19923952875989945	0.024626657176219025
CPNE3	NP_003900.1|NP_055242.1|NP_705900.1	NP_003900.1|NP_001267487.1|NP_006023.1	NP_003900.1	NP_003900	0.4423657259833361	0.35551073129377403	0.49351243939679973	0.6925428008798503	0.9338377033620322	0.6635894912622451
CPQ	NP_057218.1	NP_057218.1	NP_057218.1	NP_057218	0.013933290134624077	0.021338909002122475	0.07551493624034425	0.033246314709297245	0.1347147985768656	0.4305274098644075
CSMD3	NP_937756.1|NP_937757.1|NP_443132.3		NP_937757.1|NP_937756.1|NP_443132.3|NP_001350114.1		0.5457420682615316			0.0147742221708071		
CTHRC1	NP_612464.1	NP_001243028.1	NP_001243028.1	NP_612464	0.06756430609339337	0.05811252515726826	0.01911928068478204	0.0120466170470407	0.09435702263305061	0.016811259349270247
CTHRC1	NP_612464.1	NP_612464.1	NP_001243028.1	NP_612464	0.06756430609339337	0.05811252515726826	0.01911928068478204	0.0120466170470407	0.07473411271434341	0.016811259349270247
CTHRC1	NP_612464.1	NP_001243028.1	NP_612464.1	NP_612464	0.06756430609339337	0.05811252515726826	0.01911928068478204	0.017017560189920584	0.09435702263305061	0.016811259349270247
CTHRC1	NP_612464.1	NP_612464.1	NP_612464.1	NP_612464	0.06756430609339337	0.05811252515726826	0.01911928068478204	0.017017560189920584	0.07473411271434341	0.016811259349270247
DCAF13	NP_056235.4	NP_056235.4	NP_056235.4	NP_056235	0.9998015653660001	0.4512290623946179	0.30034645257040005	0.22247409678523883	0.9217692471398612	0.04804263386882591
DECR1	NP_001317504.1|NP_001350.1	NP_001350.1|NP_001317504.1	NP_001350.1|NP_001317504.1	NP_001317504	0.8972188065015652	0.9999953991968545	0.20184915073328902	0.02709750112267031	0.9418922558052953	0.4305274098644075
DEPTOR	NP_073620.2|NP_001269941.1	NP_073620.2|NP_001269941.1	NP_073620.2|NP_001269941.1	NP_073620	0.037257368025199585	0.021338909002122475	0.021730071418631758	0.0120466170470407	0.14508681783946295	0.018340214180353913
DERL1	NP_077271.1|NP_001128143.1|NP_001317530.1	NP_077271.1|NP_001128143.1|NP_001317530.1	NP_077271.1|NP_001128143.1|NP_001317530.1	NP_001128143	0.13867998021515937	0.13452761257639972	0.1423745421423835	0.0120466170470407	0.5372848502638695	0.22006357242661606
DPYS	NP_001376.1	NP_001376.1	NP_001376.1	NP_001376	0.34179255195608843			0.0147742221708071	0.10863328466361663	0.08874077387625094
DSCC1	NP_076999.2	NP_076999.2	NP_076999.2	NP_076999	0.9998015653660001	0.032492921904629525	0.01911928068478204	0.4434399793391937	0.05502895111915272	0.08874077387625094
E2F5	NP_001942.2|NP_001077057.1			NP_001077057	0.8904365170992707					0.1703419683298112
EBAG9	NP_936056.1	NP_001265867.1	NP_001265867.1	NP_936056	0.22167393149098008	0.9999953991968545	0.16897574309266714	0.044853458907609146	0.7576106494114224	0.18787409906627817
EMC2	NP_001316422.1|NP_055488.1|NP_001316424.1|NP_001316423.1	NP_001316422.1|NP_055488.1|NP_001316424.1|NP_001316423.1	NP_001316422.1|NP_055488.1|NP_001316424.1|NP_001316423.1	NP_001316422	0.06756430609339337	0.04502138764577868	0.13629615977032947	0.0120466170470407	0.03834369857704861	0.0660827089371695
ENPP2	NP_001124335.1|NP_001317529.1|NP_001035181.1|NP_006200.3	NP_001124335.1|NP_001317529.1|NP_001035181.1|NP_006200.3	NP_001124335.1|NP_001317529.1|NP_001035181.1	NP_001035181	0.25848441446011744		0.2164470289507953	0.034128863304405496	0.06678783125438147	0.024626657176219025
ENY2	NP_064574.1|NP_001180486.1	NP_001180486.1|NP_064574.1	NP_001180486.1|NP_064574.1	NP_001180486	0.8016548391184546	0.096117856593285	0.0501014097615516	0.06442946465892603	0.6522201800499194	0.016648537577626986
ESRP1	NP_060167.2	NP_060167.2|NP_001030087.2|NP_001116297.1|NP_001116299.1	NP_060167.2|NP_001116297.1	NP_001116298	0.9998015653660001	0.6598979231252855	0.9901889069360141	0.9818792719674231	0.9991886650348182	0.6635894912622451
ESRP1	NP_060167.2	NP_060167.2|NP_001030087.2|NP_001116297.1|NP_001116299.1	NP_060167.2|NP_001116297.1	NP_060167	0.9998015653660001	0.6598979231252855	0.9901889069360141	0.9818792719674231	0.9991886650348182	0.6635894912622451
EXT1	NP_000118.2	NP_000118.2	NP_000118.2	NP_000118	0.013933290134624077		0.03184068970707173	0.4290727695490724	0.2742306980878085	0.14005330817696124
FABP4	NP_001433.1	NP_001433.1	NP_001433.1	NP_001433	0.05955298494378802	0.10945004517758322	0.14184139573133467	0.0120466170470407	0.03307411378587807	0.0438361213975837
FABP5	NP_001435.1	NP_001435.1	NP_001435.1	NP_001435	0.06756430609339337	0.021338909002122475	0.4378174995325646	0.3781222494717206	0.05976511123352496	0.19740012391523049
FAM49B	NP_001243692.1|NP_001317541.1	NP_001243692.1	NP_001243692.1|NP_001340245.1|NP_001317541.1	NP_001243692	0.7482711232997509	0.13452761257639972	0.07031707044513488	0.06314892768793645	0.06678783125438147	0.13182924427765288
FAM49B	NP_001243692.1|NP_001317541.1	NP_001243692.1	NP_001243692.1|NP_001340245.1|NP_001317541.1	NP_001317541	0.7482711232997509	0.13452761257639972	0.07031707044513488	0.06314892768793645	0.06678783125438147	0.2378436084904435
FAM49B	NP_001243692.1|NP_001317541.1	NP_001340231.1|NP_001340245.1|NP_001317541.1	NP_001243692.1|NP_001340245.1|NP_001317541.1	NP_001243692	0.7482711232997509	0.13452761257639972	0.07031707044513488	0.06314892768793645	0.03834369857704861	0.13182924427765288
FAM49B	NP_001243692.1|NP_001317541.1	NP_001340231.1|NP_001340245.1|NP_001317541.1	NP_001243692.1|NP_001340245.1|NP_001317541.1	NP_001317541	0.7482711232997509	0.13452761257639972	0.07031707044513488	0.06314892768793645	0.03834369857704861	0.2378436084904435
FAM91A1	NP_659400.2|NP_001304847.1|NP_001304846.1	NP_659400.2|NP_001304847.1|NP_001304846.1	NP_659400.2|NP_001304847.1|NP_001304846.1	NP_659400	0.6594167517121402	0.8987090839013513	0.31849541986066376	0.4528512535895811	0.9991886650348182	0.08874077387625094
FER1L6	NP_001034201.2	NP_001034201.2	NP_001034201.2		0.013933290134624077			0.017017560189920584	0.03307411378587807	
FZD6	NP_001158087.1|NP_001158088.1|NP_001304725.1	NP_001158087.1|NP_001158088.1|NP_001304725.1	NP_001158087.1|NP_001158088.1|NP_001304725.1	NP_001158087	0.13948420124158853		0.9490073575003491	0.9482124652195714	0.9320337768132967	0.14847254033539442
GEM	NP_859053.1	NP_005252.1	NP_005252.1		0.06756430609339337		0.17696648271978604	0.03476817300233338	0.1347147985768656	
GRHL2	NP_079191.2|NP_001317522.1	NP_079191.2|NP_001317522.1	NP_079191.2|NP_001317522.1	NP_079191	0.9998015653660001	0.021338909002122475	0.31849541986066376	0.9078560723196365	0.7568681664653857	0.14847254033539442
IMPA1	NP_005527.1|NP_001138350.1|NP_001138351.1	NP_005527.1|NP_001138350.1|NP_001138351.1	NP_005527.1|NP_001138350.1|NP_001138351.1	NP_001138350	0.034070638291734893	0.021338909002122475	0.036079090492765954	0.033246314709297245	0.2257242945750819	0.6635894912622451
INTS8	NP_060334.2	NP_060334.2	NP_060334.2	NP_060334	0.020047584940317303	0.028638199936232192	0.03705018069106277	0.11792772734995861	0.1515631314077419	0.013285752774614502
LRRCC1	NP_208325.3	NP_001336566.1|NP_208325.3|NP_001336565.1|NP_001336567.1|NP_001336568.1	NP_001336565.1|NP_208325.3|NP_001336567.1|NP_001336568.1		0.17601451224103248		0.019214467522408324	0.022020919758301182	0.04003675542325289	
MATN2	NP_002371.3|NP_001304677.1	NP_002371.3|NP_001304677.1	NP_002371.3|NP_001304677.1	NP_002371	0.034070638291734893	0.027221562410973704	0.02272620445457752	0.06712410171038671	0.03307411378587807	0.08874077387625094
MATN2	NP_002371.3|NP_001304677.1	NP_002371.3|NP_001304677.1	NP_002371.3|NP_001304677.1	NP_085072	0.034070638291734893	0.027221562410973704	0.02272620445457752	0.06712410171038671	0.03307411378587807	0.08874077387625094
MATN2	NP_002371.3|NP_001304677.1	NP_002371.3|NP_001304677.1	NP_085072.2	NP_002371	0.034070638291734893	0.027221562410973704	0.02272620445457752	0.0147742221708071	0.03307411378587807	0.08874077387625094
MATN2	NP_002371.3|NP_001304677.1	NP_002371.3|NP_001304677.1	NP_085072.2	NP_085072	0.034070638291734893	0.027221562410973704	0.02272620445457752	0.0147742221708071	0.03307411378587807	0.08874077387625094
MED30	NP_542382.1|NP_001269915.1	NP_542382.1|NP_001350111.1|NP_001269915.1	NP_542382.1|NP_001350111.1|NP_001269915.1	NP_542382	0.13948420124158853	0.027221562410973704	0.05806847148528282	0.11264074343965066	0.1843096981328315	0.0767261290610634
MRPL13	NP_054797.2	NP_054797.2	NP_054797.2	NP_054797	0.45620259255060025	0.7369692721706074	0.5018385827164533	0.034128863304405496	0.0918087271733846	0.04804263386882591
MTDH	NP_848927.2	NP_848927.2|NP_001350066.1|NP_001350065.1	NP_848927.2|NP_001350065.1	NP_848927	0.7482711232997509	0.9173815424748277	0.1587531537895698	0.0120466170470407	0.34269071597166584	0.8972628723789572
MTERF3	NP_057026.3|NP_001273572.1	NP_057026.3|NP_001349893.1|NP_001273572.1	NP_057026.3|NP_001273572.1|NP_001349893.1	NP_057026	0.9998015653660001	0.6989548978996745	0.5919358288987306	0.10845464216914227	0.6904011350594634	0.17664442757844853
MTSS1	NP_055566.3|NP_001269903.1|NP_001269900.1	NP_001269900.1|NP_001350225.1|NP_001350228.1|NP_055566.3|NP_001269903.1|NP_001350229.1|NP_001350224.1|NP_001350231.1|NP_001350226.1|NP_001350223.1|NP_001350227.1|NP_001350230.1	NP_055566.3|NP_001269903.1|NP_001350229.1|NP_001350224.1|NP_001350231.1|NP_001350223.1|NP_001350227.1|NP_001350230.1|NP_001269900.1|NP_001350225.1|NP_001350228.1|NP_001350226.1	NP_001269900	0.013933290134624077	0.021338909002122475	0.3460804486483789	0.11792772734995861	0.15204157461371862	0.03042236683638172
NBN	NP_002476.2|NP_001019859.1	NP_002476.2|NP_001019859.1	NP_002476.2|NP_001019859.1	NP_002476	0.037257368025199585	0.6598979231252855	0.03258672576594545	0.41866507264989444	0.7775575845422728	0.6129140433240872
NCALD	NP_114430.2	NP_001035714.1	NP_001035714.1	NP_114430	0.0327424560122887	0.021338909002122475	0.01911928068478204	0.13511707473059337	0.12629895825474605	0.020626893999638105
NDUFAF6	NP_689629.2|NP_001317511.1	NP_689629.2|NP_001341445.1|NP_001317511.1|NP_001341446.1|NP_001341451.1|NP_001341450.1|NP_001341463.1	NP_689629.2|NP_001341445.1|NP_001317511.1|NP_001341446.1|NP_001341451.1|NP_001341450.1|NP_001341463.1	NP_689629	0.9520008264678494	0.12037717697639148	0.13223416360367318	0.4290727695490724	0.7498611581174799	0.18787409906627817
NDUFB9	NP_004996.1|NP_001298097.1|NP_001265575.1|NP_001265574.1	NP_004996.1|NP_001298097.1|NP_001265575.1|NP_001265574.1	NP_004996.1|NP_001298097.1|NP_001265575.1|NP_001265574.1	NP_004996	0.04261695406420881	0.021338909002122475	0.056115268659648915	0.017017560189920584	0.03834369857704861	0.03908521924002361
NSMCE2	NP_775956.1	NP_001336414.1|NP_001336416.1	NP_001336414.1|NP_001336416.1	NP_775956	0.8472425170692188	0.027221562410973704	0.036079090492765954	0.21897284013931506	0.42115077817122587	0.013285752774614502
NUDCD1	NP_116258.2|NP_001121683.1	NP_116258.2|NP_001121683.1	NP_116258.2|NP_001121683.1	NP_116258	0.9998015653660001	0.9999953991968545	0.09090073806346287	0.9358593706433894	0.9991886650348182	0.26667677531915307
OTUD6B	NP_057107.3|NP_001273674.1	NP_057107.3|NP_001273674.1	NP_057107.3|NP_001273674.1	NP_057107	0.9998015653660001	0.7369692721706074	0.5837766143446312	0.9818792719674231	0.5562028356905343	0.3691953407720934
OXR1	NP_001185461.1|NP_001185462.1|NP_060472.2|NP_001185463.1|NP_001185464.1	NP_001185461.1|NP_001185462.1|NP_060472.2|NP_001185463.1|NP_001185464.1	NP_001185461.1|NP_001185462.1|NP_060472.2|NP_001185463.1|NP_001185464.1	NP_001185461	0.3787884652398323	0.21263024611083975	0.11236190167308904	0.1944584642561455	0.07115291641515437	0.07163938449531775
OXR1	NP_001185461.1|NP_001185462.1|NP_060472.2|NP_001185463.1|NP_001185464.1	NP_001185461.1|NP_001185462.1|NP_060472.2|NP_001185463.1|NP_001185464.1	NP_001185461.1|NP_001185462.1|NP_060472.2|NP_001185463.1|NP_001185464.1	NP_851999	0.3787884652398323	0.21263024611083975	0.11236190167308904	0.1944584642561455	0.07115291641515437	0.06632700678504745
OXR1	NP_001185461.1|NP_001185462.1|NP_060472.2|NP_001185463.1|NP_001185464.1	NP_851999.2	NP_001185461.1|NP_001185462.1|NP_060472.2|NP_001185463.1|NP_001185464.1	NP_001185461	0.3787884652398323	0.21263024611083975	0.11236190167308904	0.1944584642561455	0.2445041005707807	0.07163938449531775
OXR1	NP_001185461.1|NP_001185462.1|NP_060472.2|NP_001185463.1|NP_001185464.1	NP_851999.2	NP_001185461.1|NP_001185462.1|NP_060472.2|NP_001185463.1|NP_001185464.1	NP_851999	0.3787884652398323	0.21263024611083975	0.11236190167308904	0.1944584642561455	0.2445041005707807	0.06632700678504745
OXR1	NP_001185461.1|NP_001185462.1|NP_060472.2|NP_001185463.1|NP_001185464.1	NP_001185461.1|NP_001185462.1|NP_060472.2|NP_001185463.1|NP_001185464.1	NP_851999.2	NP_001185461	0.3787884652398323	0.21263024611083975	0.11236190167308904	0.0399469303187177	0.07115291641515437	0.07163938449531775
OXR1	NP_001185461.1|NP_001185462.1|NP_060472.2|NP_001185463.1|NP_001185464.1	NP_001185461.1|NP_001185462.1|NP_060472.2|NP_001185463.1|NP_001185464.1	NP_851999.2	NP_851999	0.3787884652398323	0.21263024611083975	0.11236190167308904	0.0399469303187177	0.07115291641515437	0.06632700678504745
OXR1	NP_001185461.1|NP_001185462.1|NP_060472.2|NP_001185463.1|NP_001185464.1	NP_851999.2	NP_851999.2	NP_001185461	0.3787884652398323	0.21263024611083975	0.11236190167308904	0.0399469303187177	0.2445041005707807	0.07163938449531775
OXR1	NP_001185461.1|NP_001185462.1|NP_060472.2|NP_001185463.1|NP_001185464.1	NP_851999.2	NP_851999.2	NP_851999	0.3787884652398323	0.21263024611083975	0.11236190167308904	0.0399469303187177	0.2445041005707807	0.06632700678504745
OXR1	NP_851999.2	NP_001185461.1|NP_001185462.1|NP_060472.2|NP_001185463.1|NP_001185464.1	NP_001185461.1|NP_001185462.1|NP_060472.2|NP_001185463.1|NP_001185464.1	NP_001185461	0.3436081078717704	0.21263024611083975	0.11236190167308904	0.1944584642561455	0.07115291641515437	0.07163938449531775
OXR1	NP_851999.2	NP_001185461.1|NP_001185462.1|NP_060472.2|NP_001185463.1|NP_001185464.1	NP_001185461.1|NP_001185462.1|NP_060472.2|NP_001185463.1|NP_001185464.1	NP_851999	0.3436081078717704	0.21263024611083975	0.11236190167308904	0.1944584642561455	0.07115291641515437	0.06632700678504745
OXR1	NP_851999.2	NP_851999.2	NP_001185461.1|NP_001185462.1|NP_060472.2|NP_001185463.1|NP_001185464.1	NP_001185461	0.3436081078717704	0.21263024611083975	0.11236190167308904	0.1944584642561455	0.2445041005707807	0.07163938449531775
OXR1	NP_851999.2	NP_851999.2	NP_001185461.1|NP_001185462.1|NP_060472.2|NP_001185463.1|NP_001185464.1	NP_851999	0.3436081078717704	0.21263024611083975	0.11236190167308904	0.1944584642561455	0.2445041005707807	0.06632700678504745
OXR1	NP_851999.2	NP_001185461.1|NP_001185462.1|NP_060472.2|NP_001185463.1|NP_001185464.1	NP_851999.2	NP_001185461	0.3436081078717704	0.21263024611083975	0.11236190167308904	0.0399469303187177	0.07115291641515437	0.07163938449531775
OXR1	NP_851999.2	NP_001185461.1|NP_001185462.1|NP_060472.2|NP_001185463.1|NP_001185464.1	NP_851999.2	NP_851999	0.3436081078717704	0.21263024611083975	0.11236190167308904	0.0399469303187177	0.07115291641515437	0.06632700678504745
OXR1	NP_851999.2	NP_851999.2	NP_851999.2	NP_001185461	0.3436081078717704	0.21263024611083975	0.11236190167308904	0.0399469303187177	0.2445041005707807	0.07163938449531775
OXR1	NP_851999.2	NP_851999.2	NP_851999.2	NP_851999	0.3436081078717704	0.21263024611083975	0.11236190167308904	0.0399469303187177	0.2445041005707807	0.06632700678504745
PABPC1	NP_002559.2	NP_002559.2	NP_002559.2	NP_002559	0.9083619808429151	0.07767167745744401	0.30107189096616854	0.533784362814438	0.2612575936670144	0.7342880765440231
PAG1	NP_060910.3	NP_060910.3	NP_060910.3	NP_060910	0.053361679792934234	0.05811252515726826	0.0501014097615516	0.7763366286588229	0.12629895825474605	0.016648537577626986
PDP1	NP_001155252.1|NP_060914.2	NP_001155251.1|NP_001155253.1	NP_001155251.1|NP_001155253.1	NP_001155252	0.2495670413407667	0.9785171573204673	0.0274158856772137	0.02295759872127826	0.09151232283573964	0.024626657176219025
PLEKHF2	NP_078889.1	NP_078889.1	NP_078889.1	NP_078889	0.0811623446630871	0.0637987533283276	0.49351243939679973	0.1156684024772364	0.3732615056745271	0.13900818950280308
PMP2	NP_002668.1	NP_002668.1	NP_002668.1|NP_001335310.1		0.05955298494378802		0.03258672576594545	0.22964489976058025	0.08549319775727986	
POLR2K	NP_005025.1	NP_005025.1	NP_005025.1	NP_005025	0.40258763901812283	0.10138450368943243	0.15684000764990064	0.0399469303187177	0.09012646540517809	0.0660827089371695
POP1	NP_001139332.1	NP_001139332.1	NP_001139332.1	NP_001139332	0.9998015653660001	0.29787294056209374	0.5477814911662726	0.6690308008024765	0.979789518870827	0.9491652337589234
PTDSS1	NP_055569.1|NP_001277154.1	NP_055569.1|NP_001277154.1	NP_055569.1|NP_001277154.1	NP_055569	0.23098785746828876	0.6598979231252855	0.0834473238974274	0.04389648153663351	0.9534399625700277	0.6635894912622451
RAD21	NP_006256.1|NP_001130038.2		NP_006256.1	NP_006256	0.9139086576414452	0.6786684746517224	0.01911928068478204	0.13379270782508396		0.016648537577626986
RAD54B	NP_036547.1|NP_001192192.1|NP_001192191.1		NP_036547.1|NP_001192192.1|NP_001192191.1	NP_036547	0.3436081078717704		0.01911928068478204	0.0147742221708071		0.0660827089371695
RALYL	NP_001093862.1|NP_001274172.1|NP_001093861.1|NP_001274173.1	NP_001093861.1|NP_001341250.1|NP_001093862.1|NP_001341243.1|NP_001274172.1|NP_001341252.1|NP_001341251.1|NP_001341240.1|NP_001274173.1|NP_001341239.1	NP_001093861.1|NP_001341250.1|NP_001093862.1|NP_001341243.1|NP_001274172.1|NP_001341252.1|NP_001341251.1|NP_001341240.1|NP_001274173.1|NP_001341239.1	NP_001093861	0.013933290134624077	0.9785171573204673		0.017017560189920584	0.03834369857704861	0.013285752774614502
RBM12B	NP_976324.2	NP_976324.2	NP_976324.2	NP_976324	0.622416513375711	0.6949092494305744	0.0834473238974274	0.8863547046294183	0.9991886650348182	0.2378436084904435
RGS22	NP_056483.3|NP_001273621.1|NP_001273622.1	NP_056483.3|NP_001273621.1|NP_001273622.1	NP_056483.3|NP_001273621.1|NP_001273622.1		0.05955298494378802			0.033246314709297245	0.2742306980878085	
RIDA	NP_005827.1	NP_005827.1	NP_005827.1	NP_005827	0.9998015653660001	0.9999953991968545	0.2113771015347076	0.9818792719674231	0.9113259714987056	0.5723326818704817
RIPK2	NP_003812.1	NP_003812.1	NP_003812.1	NP_003812	0.9361162691123948	0.027221562410973704	0.01911928068478204	0.04384536006624269	0.08366499621054295	0.13596657746376828
RMDN1	NP_057117.2|NP_001273648.1|NP_001273636.1|NP_001304736.1	NP_057117.2|NP_001273648.1|NP_001304736.1|NP_001273636.1	NP_057117.2|NP_001273648.1|NP_001304736.1|NP_001273636.1	NP_057117	0.41413205589420593	0.48567355638075527	0.7387656795108599	0.4290727695490724	0.5283623253809114	0.6874300901146039
RNF139	NP_009149.2	NP_009149.2	NP_009149.2	NP_009149	0.05718827617739684		0.01911928068478204	0.03156679837237242	0.5562028356905343	0.24224572204169384
RPL30	NP_000980.1	NP_000980.1	NP_000980.1	NP_000980	0.2190056605652796	0.021338909002122475	0.021730071418631758	0.0120466170470407	0.03834369857704861	0.013285752774614502
RRM2B	NP_056528.2|NP_001165948.1|NP_001165949.1	NP_056528.2|NP_001165948.1|NP_001165949.1	NP_056528.2|NP_001165948.1|NP_001165949.1	NP_001165948	0.1615339484439066	0.027221562410973704	0.021730071418631758	0.03476817300233338	0.03307411378587807	0.14005330817696124
SAMD12	NP_001095146.1|NP_997389.2	NP_997389.2|NP_001350203.1	NP_997389.2|NP_001095146.1|NP_001350203.1|NP_001336740.1	NP_001095146	0.037257368025199585		0.1743044161386305	0.12640578571148436	0.2149016544654304	0.13900818950280308
SDC2	NP_002989.2	NP_002989.2	NP_002989.2	NP_002989	0.013933290134624077	0.10945004517758322	0.02640124328333023	0.14110022722233342	0.2612575936670144	0.18787409906627817
SLC25A32	NP_110407.2	NP_110407.2	NP_110407.2	NP_110407	0.12502215115098625	0.05468881838974767	0.35056287081336374	0.36311348256752674	0.9320337768132967	0.0767261290610634
SNTB1	NP_066301.1	NP_066301.1	NP_066301.1	NP_066301	0.013933290134624077	0.027221562410973704	0.07592658624720959	0.0147742221708071	0.5283623253809114	0.29277249549147366
SNX16	NP_071416.2|NP_690050.1	NP_071416.2|NP_690050.1|NP_001335118.1	NP_071416.2|NP_690050.1|NP_001335118.1	NP_071416	0.037257368025199585	0.16390209030149255	0.49351243939679973	0.9482124652195714	0.19506645560758498	0.12792810394755566
SPAG1	NP_003105.2	NP_003105.2	NP_003105.2	NP_003105	0.2400176134605179	0.8987090839013513	0.715005589498127	0.047494761361911275	0.5372848502638695	0.2443238348678131
SQLE	NP_003120.2	NP_003120.2	NP_003120.2	NP_003120	0.4497718631983576	0.4983655905740143	0.4388464447015951	0.8265367166847102	0.7188705263983294	0.24516693807412632
STK3	NP_006272.2|NP_001243241.1|NP_001243242.1	NP_006272.2|NP_001243241.1|NP_001243242.1	NP_006272.2|NP_001243241.1|NP_001243242.1	NP_001243241	0.9998015653660001	0.35551073129377403	0.24513196115943872	0.9818792719674231	0.5283623253809114	0.6635894912622451
SYBU	NP_001093222.1|NP_060256.3|NP_001093226.1|NP_001093225.1|NP_001317525.1	NP_001093226.1|NP_001093214.1|NP_001093213.1|NP_001093216.1|NP_001317525.1|NP_001349961.1	NP_001093214.1|NP_001093213.1|NP_001093226.1|NP_001093216.1|NP_001317525.1|NP_001349961.1	NP_001093222	0.013933290134624077	0.8368606898426506	0.0501014097615516	0.03476817300233338	0.03307411378587807	0.02414326777431309
TAF2	NP_003175.1	NP_003175.1	NP_003175.1	NP_003175	0.9998015653660001		0.07592658624720959	0.9818792719674231	0.9991886650348182	0.07412284650406456
TATDN1	NP_001304818.1|NP_114415.1|NP_001304819.1|NP_001304820.1	NP_001304818.1|NP_114415.1|NP_001139632.1|NP_001304819.1|NP_001304820.1	NP_001304818.1|NP_114415.1|NP_001139632.1|NP_001304819.1|NP_001304820.1	NP_001304820	0.5522105909779906	0.10138450368943243	0.4729912516643776	0.5901609543701148	0.9534399625700277	0.14907499690609544
TATDN1	NP_001304818.1|NP_114415.1|NP_001304819.1|NP_001304820.1	NP_001304818.1|NP_114415.1|NP_001139632.1|NP_001304819.1|NP_001304820.1	NP_001304818.1|NP_114415.1|NP_001139632.1|NP_001304819.1|NP_001304820.1	NP_114415	0.5522105909779906	0.10138450368943243	0.4729912516643776	0.5901609543701148	0.9534399625700277	0.18787409906627817
