protein	cancers	mean_simp_change	num_cancers	group	overlap_size	pvals	adj_p
MRPL3	colon_lscc	1.0	2	8p_trans	2	0.0119144980509584	0.04186622231795104
MRPL49	colon_lscc	1.0	2	8p_trans	2	0.0119144980509584	0.04186622231795104
MSRA	brca_colon_hnscc_lscc_luad_ovarian	-1.0	6	8p_cis	6	0.0079679039362567	0.04186622231795104
MTMR6	lscc_luad	-1.0	2	8p_trans	2	0.0119144980509584	0.04186622231795104
NAT1	brca_colon_hnscc_lscc_luad_ovarian	-1.0	6	8p_cis	6	0.0079679039362567	0.04186622231795104
NUCB2	colon_lscc	-1.0	2	8p_trans	2	0.0119144980509584	0.04186622231795104
P4HB	colon_lscc	-1.0	2	8p_trans	2	0.0119144980509584	0.04186622231795104
PLCL2	lscc_luad	-1.0	2	8p_trans	2	0.0119144980509584	0.04186622231795104
PPIB	lscc_luad	-1.0	2	8p_trans	2	0.0119144980509584	0.04186622231795104
PPP2R2A	brca_colon_hnscc_lscc_luad_ovarian	-1.0	6	8p_cis	6	0.0079679039362567	0.04186622231795104
PRKCB	lscc_luad	-1.0	2	8p_trans	2	0.0119144980509584	0.04186622231795104
PTK2	colon_luad	1.0	2	8p_trans	2	0.0119144980509584	0.04186622231795104
RCSD1	lscc_luad	-1.0	2	8p_trans	2	0.0119144980509584	0.04186622231795104
SETDB2-PHF11	lscc_luad	-1.0	2	8p_trans	2	0.0119144980509584	0.04186622231795104
SMAP2	hnscc_lscc	-1.0	2	8p_trans	2	0.0119144980509584	0.04186622231795104
TOMM70	colon_lscc	1.0	2	8p_trans	2	0.0119144980509584	0.04186622231795104
TXNDC5	lscc_luad	-1.0	2	8p_trans	2	0.0119144980509584	0.04186622231795104
VPS37A	brca_colon_hnscc_lscc_luad_ovarian	-1.0	6	8p_cis	6	0.0079679039362567	0.04186622231795104
WRN	brca_luad	-1.0	2	8p_trans	2	0.0119144980509584	0.04186622231795104
XPO7	brca_colon_hnscc_lscc_luad_ovarian	-1.0	6	8p_cis	6	0.0079679039362567	0.04186622231795104
