Name	NCBI_ID	start_bp	end_bp	cnv_type	num_patients_with_cnv	cancer_type_total_patients	cancer
USP17L4	645402	7337114.0	7338706.0	gain	18	122	brca
USP17L4	645402	7337114.0	7338706.0	loss	58	122	brca
ZNF705G	100131980	7355516.0	7385557.0	gain	18	122	brca
ZNF705G	100131980	7355516.0	7385557.0	loss	58	122	brca
DEFB4B	100289462	7414854.0	7416862.0	gain	18	122	brca
DEFB4B	100289462	7414854.0	7416862.0	loss	58	122	brca
SPAG11B	10407	7447753.0	7463541.0	gain	18	122	brca
SPAG11B	10407	7447753.0	7463541.0	loss	58	122	brca
PRR23D1	100131608	7536678.0	7542449.0	gain	18	122	brca
PRR23D1	100131608	7536678.0	7542449.0	loss	58	122	brca
FAM90A7	441317	7556699.0	7559711.0	gain	18	122	brca
FAM90A7	441317	7556699.0	7559711.0	loss	58	122	brca
FAM90A10	441328	7768976.0	7771987.0	gain	18	122	brca
FAM90A10	441328	7768976.0	7771987.0	loss	58	122	brca
PRR23D2	100133251	7778590.0	7784164.0	gain	18	122	brca
PRR23D2	100133251	7778590.0	7784164.0	loss	58	122	brca
DEFB107A	245910	7811719.0	7815715.0	gain	18	122	brca
DEFB107A	245910	7811719.0	7815715.0	loss	58	122	brca
DEFB105A	245908	7821003.0	7823879.0	gain	18	122	brca
DEFB105A	245908	7821003.0	7823879.0	loss	58	122	brca
DEFB106A	245909	7825138.0	7829052.0	gain	18	122	brca
DEFB106A	245909	7825138.0	7829052.0	loss	58	122	brca
DEFB104A	140596	7836435.0	7841241.0	gain	18	122	brca
DEFB104A	140596	7836435.0	7841241.0	loss	58	122	brca
SPAG11A	653423	7848007.0	7863796.0	gain	18	122	brca
SPAG11A	653423	7848007.0	7863796.0	loss	58	122	brca
DEFB103A	414325	7881391.0	7882662.0	gain	18	122	brca
DEFB103A	414325	7881391.0	7882662.0	loss	58	122	brca
DEFB4A	1673	7894676.0	7896715.0	gain	18	122	brca
DEFB4A	1673	7894676.0	7896715.0	loss	58	122	brca
ZNF705B	100132396	7926336.0	7952412.0	gain	18	122	brca
ZNF705B	100132396	7926336.0	7952412.0	loss	58	122	brca
FAM66E	100132103	7955012.0	8008754.0	gain	18	122	brca
FAM66E	100132103	7955012.0	8008754.0	loss	58	122	brca
USP17L8	392188	7971660.0	7973252.0	gain	18	122	brca
USP17L8	392188	7971660.0	7973252.0	loss	58	122	brca
USP17L3	645836	7976392.0	7977984.0	gain	18	122	brca
USP17L3	645836	7976392.0	7977984.0	loss	58	122	brca
MIR548I3	100302186	8088940.0	8089088.0	gain	18	122	brca
MIR548I3	100302186	8088940.0	8089088.0	loss	58	122	brca
FAM86B3P	286042	8228569.0	8244864.0	gain	18	122	brca
FAM86B3P	286042	8228569.0	8244864.0	loss	58	122	brca
PRAG1	157285	8317735.0	8386438.0	gain	18	122	brca
PRAG1	157285	8317735.0	8386438.0	loss	58	122	brca
CLDN23	137075	8701936.0	8704095.0	gain	18	122	brca
CLDN23	137075	8701936.0	8704095.0	loss	58	122	brca
MFHAS1	9258	8783353.0	8893629.0	gain	18	122	brca
MFHAS1	9258	8783353.0	8893629.0	loss	58	122	brca
ERI1	90459	9002896.0	9100103.0	gain	18	122	brca
ERI1	90459	9002896.0	9100103.0	loss	58	122	brca
MIR4660	100616350	9048444.0	9048517.0	gain	18	122	brca
MIR4660	100616350	9048444.0	9048517.0	loss	58	122	brca
PPP1R3B	79660	9136254.0	9151538.0	gain	18	122	brca
PPP1R3B	79660	9136254.0	9151538.0	loss	58	122	brca
LOC101929128	101929128	9188998.0	9202857.0	gain	18	122	brca
LOC101929128	101929128	9188998.0	9202857.0	loss	58	122	brca
LOC157273	157273	9325050.0	9335079.0	gain	18	122	brca
LOC157273	157273	9325050.0	9335079.0	loss	58	122	brca
TNKS	8658	9555911.0	9782345.0	gain	18	122	brca
TNKS	8658	9555911.0	9782345.0	loss	58	122	brca
MIR597	693182	9741671.0	9741767.0	gain	18	122	brca
MIR597	693182	9741671.0	9741767.0	loss	58	122	brca
MIR124-1HG	157627	9900063.0	9903328.0	gain	18	122	brca
MIR124-1HG	157627	9900063.0	9903328.0	loss	58	122	brca
MIR124-1	406907	9903387.0	9903471.0	gain	18	122	brca
MIR124-1	406907	9903387.0	9903471.0	loss	58	122	brca
MSRA	4482	10054291.0	10428890.0	gain	18	122	brca
MSRA	4482	10054291.0	10428890.0	loss	58	122	brca
LINC03022	101929191	10474564.0	10481973.0	gain	18	122	brca
LINC03022	101929191	10474564.0	10481973.0	loss	58	122	brca
PRSS55	203074	10525531.0	10554165.0	gain	18	122	brca
PRSS55	203074	10525531.0	10554165.0	loss	58	122	brca
RP1L1	94137	10606348.0	10655142.0	gain	18	122	brca
RP1L1	94137	10606348.0	10655142.0	loss	58	122	brca
MIR4286	100422982	10666977.0	10667069.0	gain	18	122	brca
MIR4286	100422982	10666977.0	10667069.0	loss	58	122	brca
C8orf74	203076	10672627.0	10700589.0	gain	18	122	brca
C8orf74	203076	10672627.0	10700589.0	loss	58	122	brca
SOX7	83595	10723767.0	10730510.0	gain	18	122	brca
SOX7	83595	10723767.0	10730510.0	loss	58	122	brca
PINX1	54984	10764960.0	10839874.0	gain	18	122	brca
PINX1	54984	10764960.0	10839874.0	loss	58	122	brca
MIR1322	100302166	10825372.0	10825442.0	gain	18	122	brca
MIR1322	100302166	10825372.0	10825442.0	loss	58	122	brca
PINX1-DT	101929229	10840025.0	10846508.0	gain	18	122	brca
PINX1-DT	101929229	10840025.0	10846508.0	loss	58	122	brca
XKR6	286046	10896044.0	11201832.0	gain	18	122	brca
XKR6	286046	10896044.0	11201832.0	loss	58	122	brca
MIR598	693183	11035205.0	11035301.0	gain	18	122	brca
MIR598	693183	11035205.0	11035301.0	loss	58	122	brca
LOC101929269	101929269	11062651.0	11067088.0	gain	18	122	brca
LOC101929269	101929269	11062651.0	11067088.0	loss	58	122	brca
MTMR9	66036	11284815.0	11339525.0	gain	18	122	brca
MTMR9	66036	11284815.0	11339525.0	loss	58	122	brca
SLC35G5	83650	11331011.0	11332359.0	gain	18	122	brca
SLC35G5	83650	11331011.0	11332359.0	loss	58	122	brca
TDH	157739	11339636.0	11368451.0	gain	18	122	brca
TDH	157739	11339636.0	11368451.0	loss	58	122	brca
FAM167A-AS1	83656	11368401.0	11438656.0	gain	18	122	brca
FAM167A-AS1	83656	11368401.0	11438656.0	loss	58	122	brca
FAM167A	83648	11421475.0	11475907.0	gain	18	122	brca
FAM167A	83648	11421475.0	11475907.0	loss	58	122	brca
BLK	640	11494386.0	11564598.0	gain	18	122	brca
BLK	640	11494386.0	11564598.0	loss	58	122	brca
LINC00208	83655	11576534.0	11581340.0	gain	18	122	brca
LINC00208	83655	11576534.0	11581340.0	loss	58	122	brca
GATA4	2626	11676934.0	11760001.0	gain	18	122	brca
GATA4	2626	11676934.0	11760001.0	loss	58	122	brca
SNORA99	106635531	11705361.0	11705557.0	gain	18	122	brca
SNORA99	106635531	11705361.0	11705557.0	loss	58	122	brca
LINC02905	606553	11761255.0	11763223.0	gain	18	122	brca
LINC02905	606553	11761255.0	11763223.0	loss	58	122	brca
NEIL2	252969	11769709.0	11787344.0	gain	18	122	brca
NEIL2	252969	11769709.0	11787344.0	loss	58	122	brca
FDFT1	2222	11795581.0	11839308.0	gain	18	122	brca
FDFT1	2222	11795581.0	11839308.0	loss	58	122	brca
CTSB	1508	11842523.0	11868086.0	gain	18	122	brca
CTSB	1508	11842523.0	11868086.0	loss	58	122	brca
DEFB136	613210	11973936.0	11974598.0	gain	18	122	brca
DEFB136	613210	11973936.0	11974598.0	loss	58	122	brca
DEFB135	613209	11982255.0	11984589.0	gain	18	122	brca
DEFB135	613209	11982255.0	11984589.0	loss	58	122	brca
DEFB134	613211	11993173.0	12000751.0	gain	18	122	brca
DEFB134	613211	11993173.0	12000751.0	loss	58	122	brca
ZNF705D	728957	12089337.0	12115515.0	gain	18	122	brca
ZNF705D	728957	12089337.0	12115515.0	loss	58	122	brca
FAM66D	100132923	12115781.0	12151188.0	gain	18	122	brca
FAM66D	100132923	12115781.0	12151188.0	loss	58	122	brca
LOC392196	392196	12127857.0	12129296.0	gain	18	122	brca
LOC392196	392196	12127857.0	12129296.0	loss	58	122	brca
USP17L7	392197	12132416.0	12134098.0	gain	18	122	brca
USP17L7	392197	12132416.0	12134098.0	loss	58	122	brca
USP17L2	377630	12136434.0	12138848.0	gain	18	122	brca
USP17L2	377630	12136434.0	12138848.0	loss	58	122	brca
FAM90A2P	729689	12173453.0	12177266.0	gain	18	122	brca
FAM90A2P	729689	12173453.0	12177266.0	loss	58	122	brca
FAM86B1	85002	12182105.0	12194936.0	gain	18	122	brca
FAM86B1	85002	12182105.0	12194936.0	loss	58	122	brca
DEFB130A	245940	12310961.0	12318315.0	gain	18	122	brca
DEFB130A	245940	12310961.0	12318315.0	loss	58	122	brca
FAM66A	100133172	12362018.0	12411000.0	gain	18	122	brca
FAM66A	100133172	12362018.0	12411000.0	loss	58	122	brca
LOC649352	649352	12379266.0	12379788.0	gain	18	122	brca
LOC649352	649352	12379266.0	12379788.0	loss	58	122	brca
DEFB109A	245912	12393283.0	12400364.0	gain	18	122	brca
DEFB109A	245912	12393283.0	12400364.0	loss	58	122	brca
FAM90A25P	389633	12414520.0	12418031.0	gain	18	122	brca
FAM90A25P	389633	12414520.0	12418031.0	loss	58	122	brca
FAM86B2	653333	12424420.0	12436399.0	gain	18	122	brca
FAM86B2	653333	12424420.0	12436399.0	loss	58	122	brca
FAM86B2-DT	100506990	12437012.0	12566844.0	gain	18	122	brca
FAM86B2-DT	100506990	12437012.0	12566844.0	loss	58	122	brca
LOC729732	729732	12537078.0	12665610.0	gain	18	122	brca
LOC729732	729732	12537078.0	12665610.0	loss	58	122	brca
MIR5692A2	100847038	12719131.0	12719189.0	gain	18	122	brca
MIR5692A2	100847038	12719131.0	12719189.0	loss	58	122	brca
LONRF1	91694	12721905.0	12755525.0	gain	18	122	brca
LONRF1	91694	12721905.0	12755525.0	loss	58	122	brca
MIR3926-1	100500870	12727231.0	12727303.0	gain	18	122	brca
MIR3926-1	100500870	12727231.0	12727303.0	loss	57	122	brca
MIR3926-2	100500838	12727236.0	12727298.0	gain	18	122	brca
MIR3926-2	100500838	12727236.0	12727298.0	loss	57	122	brca
LINC03019	340357	12765848.0	12811477.0	gain	18	122	brca
LINC03019	340357	12765848.0	12811477.0	loss	57	122	brca
LINC00681	101409254	12794239.0	12818290.0	gain	18	122	brca
LINC00681	101409254	12794239.0	12818290.0	loss	57	122	brca
TRMT9B	57604	12945672.0	13029776.0	gain	18	122	brca
TRMT9B	57604	12945672.0	13029776.0	loss	57	122	brca
DLC1	10395	13083360.0	13604619.0	gain	17	122	brca
DLC1	10395	13083360.0	13604619.0	loss	58	122	brca
C8orf48	157773	13566868.0	13568287.0	gain	17	122	brca
C8orf48	157773	13566868.0	13568287.0	loss	58	122	brca
LOC102725080	102725080	13629689.0	13632575.0	gain	17	122	brca
LOC102725080	102725080	13629689.0	13632575.0	loss	58	122	brca
SGCZ	137868	14084844.0	15238430.0	gain	17	122	brca
SGCZ	137868	14084844.0	15238430.0	loss	58	122	brca
MIR383	494332	14853437.0	14853509.0	gain	17	122	brca
MIR383	494332	14853437.0	14853509.0	loss	58	122	brca
TUSC3	7991	15540086.0	15766648.0	gain	17	122	brca
TUSC3	7991	15540086.0	15766648.0	loss	58	122	brca
MSR1	4481	16107880.0	16192650.0	gain	18	122	brca
MSR1	4481	16107880.0	16192650.0	loss	58	122	brca
FGF20	26281	16992180.0	17002344.0	gain	18	122	brca
FGF20	26281	16992180.0	17002344.0	loss	58	122	brca
MICU3	286097	17027237.0	17138639.0	gain	18	122	brca
MICU3	286097	17027237.0	17138639.0	loss	58	122	brca
ZDHHC2	51201	17156481.0	17224798.0	gain	18	122	brca
ZDHHC2	51201	17156481.0	17224798.0	loss	58	122	brca
CNOT7	29883	17224965.0	17246856.0	gain	18	122	brca
CNOT7	29883	17224965.0	17246856.0	loss	58	122	brca
VPS37A	137492	17246957.0	17333454.0	gain	18	122	brca
VPS37A	137492	17246957.0	17333454.0	loss	58	122	brca
MTMR7	9108	17296793.0	17413350.0	gain	18	122	brca
MTMR7	9108	17296793.0	17413350.0	loss	58	122	brca
SLC7A2	6542	17494068.0	17570565.0	gain	18	122	brca
SLC7A2	6542	17494068.0	17570565.0	loss	58	122	brca
PDGFRL	5157	17576432.0	17643143.0	gain	18	122	brca
PDGFRL	5157	17576432.0	17643143.0	loss	58	122	brca
MTUS1	57509	17643801.0	17801520.0	gain	18	122	brca
MTUS1	57509	17643801.0	17801520.0	loss	58	122	brca
MIR548V	100422850	17681577.0	17681656.0	gain	18	122	brca
MIR548V	100422850	17681577.0	17681656.0	loss	58	122	brca
FGL1	2267	17864388.0	17895537.0	gain	18	122	brca
FGL1	2267	17864388.0	17895537.0	loss	58	122	brca
PCM1	5108	17922987.0	18029947.0	gain	18	122	brca
PCM1	5108	17922987.0	18029947.0	loss	58	122	brca
ASAH1	427	18055991.0	18084960.0	gain	17	122	brca
ASAH1	427	18055991.0	18084960.0	loss	58	122	brca
ASAH1-AS1	101929066	18084867.0	18097650.0	gain	16	122	brca
ASAH1-AS1	101929066	18084867.0	18097650.0	loss	58	122	brca
NAT1	9	18170466.0	18223688.0	gain	16	122	brca
NAT1	9	18170466.0	18223688.0	loss	58	122	brca
NAT2	10	18386300.0	18401217.0	gain	16	122	brca
NAT2	10	18386300.0	18401217.0	loss	58	122	brca
PSD3	23362	18527302.0	19085011.0	gain	16	122	brca
PSD3	23362	18527302.0	19085011.0	loss	58	122	brca
LOC100128993	100128993	19183673.0	19245521.0	gain	16	122	brca
LOC100128993	100128993	19183673.0	19245521.0	loss	57	122	brca
SH2D4A	63898	19313692.0	19396217.0	gain	16	122	brca
SH2D4A	63898	19313692.0	19396217.0	loss	57	122	brca
CSGALNACT1	55790	19404160.0	19757907.0	gain	16	122	brca
CSGALNACT1	55790	19404160.0	19757907.0	loss	57	122	brca
INTS10	55174	19817415.0	19852066.0	gain	16	122	brca
INTS10	55174	19817415.0	19852066.0	loss	57	122	brca
LPL	4023	19939252.0	19967258.0	gain	16	122	brca
LPL	4023	19939252.0	19967258.0	loss	57	122	brca
SLC18A1	6570	20144854.0	20183135.0	gain	16	122	brca
SLC18A1	6570	20144854.0	20183135.0	loss	57	122	brca
ATP6V1B2	526	20197380.0	20221695.0	gain	16	122	brca
ATP6V1B2	526	20197380.0	20221695.0	loss	57	122	brca
LZTS1	11178	20246164.0	20303962.0	gain	16	122	brca
LZTS1	11178	20246164.0	20303962.0	loss	57	122	brca
LZTS1-AS1	100874051	20275772.0	20290457.0	gain	16	122	brca
LZTS1-AS1	100874051	20275772.0	20290457.0	loss	57	122	brca
LINC03023	102467222	20953632.0	20968937.0	gain	16	122	brca
LINC03023	102467222	20953632.0	20968937.0	loss	57	122	brca
LINC02153	286114	20973985.0	20995118.0	gain	16	122	brca
LINC02153	286114	20973985.0	20995118.0	loss	57	122	brca
LOC101929172	101929172	21298238.0	21309448.0	gain	16	122	brca
LOC101929172	101929172	21298238.0	21309448.0	loss	57	122	brca
GFRA2	2675	21690397.0	21812344.0	gain	16	122	brca
GFRA2	2675	21690397.0	21812344.0	loss	57	122	brca
DOK2	9046	21908872.0	21913689.0	gain	16	122	brca
DOK2	9046	21908872.0	21913689.0	loss	56	122	brca
XPO7	23039	21919661.0	22006584.0	gain	16	122	brca
XPO7	23039	21919661.0	22006584.0	loss	56	122	brca
NPM2	10361	22024133.0	22036896.0	gain	16	122	brca
NPM2	10361	22024133.0	22036896.0	loss	56	122	brca
FGF17	8822	22039671.0	22048808.0	gain	16	122	brca
FGF17	8822	22039671.0	22048808.0	loss	56	122	brca
DMTN	2039	22048930.0	22082524.0	gain	16	122	brca
DMTN	2039	22048930.0	22082524.0	loss	56	122	brca
FHIP2B	64760	22089149.0	22104910.0	gain	16	122	brca
FHIP2B	64760	22089149.0	22104910.0	loss	56	122	brca
NUDT18	79873	22106877.0	22110481.0	gain	16	122	brca
NUDT18	79873	22106877.0	22110481.0	loss	56	122	brca
HR	55806	22114418.0	22131051.0	gain	16	122	brca
HR	55806	22114418.0	22131051.0	loss	56	122	brca
REEP4	80346	22138019.0	22141906.0	gain	16	122	brca
REEP4	80346	22138019.0	22141906.0	loss	56	122	brca
LGI3	203190	22146829.0	22156805.0	gain	16	122	brca
LGI3	203190	22146829.0	22156805.0	loss	56	122	brca
SFTPC	6440	22157382.0	22164478.0	gain	16	122	brca
SFTPC	6440	22157382.0	22164478.0	loss	56	122	brca
BMP1	649	22165371.0	22212325.0	gain	16	122	brca
BMP1	649	22165371.0	22212325.0	loss	56	122	brca
PHYHIP	9796	22219702.0	22232098.0	gain	16	122	brca
PHYHIP	9796	22219702.0	22232098.0	loss	56	122	brca
MIR320A	407037	22244965.0	22245036.0	gain	16	122	brca
MIR320A	407037	22244965.0	22245036.0	loss	56	122	brca
POLR3D	661	22245132.0	22254600.0	gain	16	122	brca
POLR3D	661	22245132.0	22254600.0	loss	56	122	brca
PIWIL2-DT	100507071	22254575.0	22275161.0	gain	16	122	brca
PIWIL2-DT	100507071	22254575.0	22275161.0	loss	56	122	brca
PIWIL2	55124	22275315.0	22357567.0	gain	16	122	brca
PIWIL2	55124	22275315.0	22357567.0	loss	56	122	brca
SLC39A14	23516	22367277.0	22434128.0	gain	16	122	brca
SLC39A14	23516	22367277.0	22434128.0	loss	56	122	brca
PPP3CC	5533	22441077.0	22541124.0	gain	16	122	brca
PPP3CC	5533	22441077.0	22541124.0	loss	56	122	brca
SORBS3	10174	22544972.0	22575787.0	gain	16	122	brca
SORBS3	10174	22544972.0	22575787.0	loss	56	122	brca
PDLIM2	64236	22578740.0	22598025.0	gain	16	122	brca
PDLIM2	64236	22578740.0	22598025.0	loss	56	122	brca
C8orf58	541565	22599598.0	22604141.0	gain	16	122	brca
C8orf58	541565	22599598.0	22604141.0	loss	56	122	brca
CCAR2	57805	22604756.0	22621513.0	gain	16	122	brca
CCAR2	57805	22604756.0	22621513.0	loss	56	122	brca
BIN3	55909	22620417.0	22669120.0	gain	16	122	brca
BIN3	55909	22620417.0	22669120.0	loss	56	122	brca
BIN3-IT1	80094	22640370.0	22642208.0	gain	16	122	brca
BIN3-IT1	80094	22640370.0	22642208.0	loss	56	122	brca
EGR3	1960	22687658.0	22693479.0	gain	16	122	brca
EGR3	1960	22687658.0	22693479.0	loss	56	122	brca
PEBP4	157310	22713250.0	22941076.0	gain	16	122	brca
PEBP4	157310	22713250.0	22941076.0	loss	58	122	brca
LOC101929237	101929237	22877971.0	22888021.0	gain	16	122	brca
LOC101929237	101929237	22877971.0	22888021.0	loss	58	122	brca
RHOBTB2	23221	22950812.0	23020198.0	gain	16	122	brca
RHOBTB2	23221	22950812.0	23020198.0	loss	58	122	brca
TNFRSF10B	8795	23020132.0	23069030.0	gain	16	122	brca
TNFRSF10B	8795	23020132.0	23069030.0	loss	57	122	brca
LOC286059	286059	23068228.0	23083618.0	gain	16	122	brca
LOC286059	286059	23068228.0	23083618.0	loss	57	122	brca
LOC254896	254896	23084354.0	23103557.0	gain	16	122	brca
LOC254896	254896	23084354.0	23103557.0	loss	57	122	brca
TNFRSF10C	8794	23102920.0	23117444.0	gain	16	122	brca
TNFRSF10C	8794	23102920.0	23117444.0	loss	57	122	brca
TNFRSF10D	8793	23135587.0	23164026.0	gain	16	122	brca
TNFRSF10D	8793	23135587.0	23164026.0	loss	57	122	brca
TNFRSF10A	8797	23190451.0	23225101.0	gain	16	122	brca
TNFRSF10A	8797	23190451.0	23225101.0	loss	57	122	brca
TNFRSF10A-DT	389641	23225220.0	23230925.0	gain	16	122	brca
TNFRSF10A-DT	389641	23225220.0	23230925.0	loss	57	122	brca
CHMP7	91782	23243636.0	23261998.0	gain	16	122	brca
CHMP7	91782	23243636.0	23261998.0	loss	57	122	brca
R3HCC1	203069	23288091.0	23296278.0	gain	16	122	brca
R3HCC1	203069	23288091.0	23296278.0	loss	57	122	brca
LOXL2	4017	23296896.0	23404119.0	gain	16	122	brca
LOXL2	4017	23296896.0	23404119.0	loss	57	122	brca
LOC100507156	100507156	23336207.0	23366124.0	gain	16	122	brca
LOC100507156	100507156	23336207.0	23366124.0	loss	57	122	brca
ENTPD4	9583	23429161.0	23457646.0	gain	16	122	brca
ENTPD4	9583	23429161.0	23457646.0	loss	57	122	brca
SLC25A37	51312	23528955.0	23575462.0	gain	16	122	brca
SLC25A37	51312	23528955.0	23575462.0	loss	57	122	brca
NKX3-1	4824	23678692.0	23682937.0	gain	16	122	brca
NKX3-1	4824	23678692.0	23682937.0	loss	57	122	brca
NKX2-6	137814	23701739.0	23706755.0	gain	16	122	brca
NKX2-6	137814	23701739.0	23706755.0	loss	57	122	brca
STC1	6781	23841928.0	23854805.0	gain	16	122	brca
STC1	6781	23841928.0	23854805.0	loss	57	122	brca
ADAM28	10863	24294068.0	24359013.0	gain	16	122	brca
ADAM28	10863	24294068.0	24359013.0	loss	57	122	brca
ADAM7-AS1	101929294	24295813.0	24548617.0	gain	16	122	brca
ADAM7-AS1	101929294	24295813.0	24548617.0	loss	57	122	brca
ADAMDEC1	27299	24384284.0	24406012.0	gain	16	122	brca
ADAMDEC1	27299	24384284.0	24406012.0	loss	57	122	brca
ADAM7	8756	24441025.0	24509564.0	gain	16	122	brca
ADAM7	8756	24441025.0	24509564.0	loss	57	122	brca
