,,amplifications,neutral,deletions,average
NEU4,ENSG00000204099.11,3.0,98.0,9.0,-0.008857281818181819
NEURL1,ENSG00000107954.10,0.0,98.0,12.0,-0.040245899999999994
NEURL1B,ENSG00000214357.8,39.0,71.0,0.0,0.2047239454545454
NEURL2,ENSG00000124257.6,3.0,107.0,0.0,0.059310845454545444
NEURL3,ENSG00000163121.9,3.0,105.0,2.0,0.03262303636363638
NEURL4,ENSG00000215041.9,0.0,105.0,5.0,-0.018994481818181804
NEUROD1,ENSG00000162992.3,7.0,100.0,3.0,0.043253681818181816
NEUROD2,ENSG00000171532.4,0.0,108.0,2.0,0.0026824636363636345
NEUROD4,ENSG00000123307.3,6.0,104.0,0.0,0.060803800000000005
NEUROD6,ENSG00000164600.6,15.0,93.0,2.0,0.10815277272727272
NEUROG1,ENSG00000181965.5,37.0,72.0,1.0,0.19389750909090903
NEUROG2,ENSG00000178403.3,0.0,101.0,9.0,-0.030205563636363616
NEUROG3,ENSG00000122859.4,0.0,99.0,11.0,-0.03528541818181817
NEXN,ENSG00000162614.18,0.0,106.0,4.0,-0.011845390909090916
NF1,ENSG00000196712.17,0.0,108.0,2.0,0.0024638999999999998
NF2,ENSG00000186575.17,1.0,106.0,3.0,0.0043009272727272735
NFAM1,ENSG00000235568.6,3.0,104.0,3.0,0.013448499999999995
NFASC,ENSG00000163531.15,5.0,103.0,2.0,0.02555420909090911
NFAT5,ENSG00000102908.20,9.0,99.0,2.0,0.06727812727272729
NFATC1,ENSG00000131196.17,0.0,95.0,15.0,-0.05138087272727271
NFATC2,ENSG00000101096.19,3.0,107.0,0.0,0.059261427272727256
NFATC2IP,ENSG00000176953.12,8.0,102.0,0.0,0.07711064545454546
NFATC3,ENSG00000072736.18,9.0,99.0,2.0,0.06644604545454547
NFATC4,ENSG00000100968.13,0.0,81.0,29.0,-0.10476251818181807
NFE2,ENSG00000123405.13,6.0,104.0,0.0,0.06034723636363637
NFE2L1,ENSG00000082641.15,1.0,107.0,2.0,0.006529599999999994
NFE2L2,ENSG00000116044.15,7.0,101.0,2.0,0.04700827272727271
NFE2L3,ENSG00000050344.8,14.0,94.0,2.0,0.10223755454545455
NFE4,ENSG00000230257.2,15.0,92.0,3.0,0.09961763636363637
NFIA,ENSG00000162599.15,0.0,106.0,4.0,-0.012670763636363644
NFIB,ENSG00000147862.15,0.0,92.0,18.0,-0.06499753636363635
NFIC,ENSG00000141905.17,0.0,108.0,2.0,0.00845797272727273
NFIL3,ENSG00000165030.3,0.0,92.0,18.0,-0.06734511818181818
NFIX,ENSG00000008441.16,0.0,109.0,1.0,0.014606672727272731
NFKB1,ENSG00000109320.11,0.0,101.0,9.0,-0.03015472727272726
NFKB2,ENSG00000077150.18,0.0,99.0,11.0,-0.036385999999999995
NFKBIA,ENSG00000100906.10,0.0,76.0,34.0,-0.11966359999999994
NFKBIB,ENSG00000104825.16,0.0,109.0,1.0,0.015476545454545456
NFKBID,ENSG00000167604.13,0.0,109.0,1.0,0.015214654545454547
NFKBIE,ENSG00000146232.15,0.0,98.0,12.0,-0.05268955454545454
NFKBIL1,ENSG00000204498.10,0.0,99.0,11.0,-0.051339318181818194
NFKBIZ,ENSG00000144802.11,0.0,82.0,28.0,-0.08232689999999998
NFRKB,ENSG00000170322.14,0.0,106.0,4.0,-0.0020186636363636367
NFS1,ENSG00000244005.12,3.0,107.0,0.0,0.05691444545454544
NFU1,ENSG00000169599.12,3.0,105.0,2.0,0.031198299999999995
NFX1,ENSG00000086102.18,0.0,94.0,16.0,-0.05695944545454543
NFXL1,ENSG00000170448.11,0.0,103.0,7.0,-0.02324930909090909
NFYA,ENSG00000001167.14,0.0,98.0,12.0,-0.05268438181818181
NFYB,ENSG00000120837.7,6.0,103.0,1.0,0.0554514090909091
NFYC,ENSG00000066136.20,0.0,105.0,5.0,-0.016773018181818193
NGB,ENSG00000165553.4,0.0,71.0,39.0,-0.1384483272727272
NGDN,ENSG00000129460.15,0.0,81.0,29.0,-0.10504559090909078
NGEF,ENSG00000066248.14,3.0,98.0,9.0,-0.007969790909090906
NGF,ENSG00000134259.3,0.0,104.0,6.0,-0.014690063636363642
NGFR,ENSG00000064300.8,1.0,107.0,2.0,0.005695036363636361
NGLY1,ENSG00000151092.16,0.0,23.0,87.0,-0.3203464999999999
NGRN,ENSG00000182768.8,0.0,105.0,5.0,-0.01725571818181818
NHEJ1,ENSG00000187736.12,3.0,99.0,8.0,-0.0011604454545454557
NHLH1,ENSG00000171786.5,3.0,104.0,3.0,0.01465816363636363
NHLH2,ENSG00000177551.5,0.0,104.0,6.0,-0.014690063636363642
NHLRC1,ENSG00000187566.5,0.0,99.0,11.0,-0.05135920000000001
NHLRC2,ENSG00000196865.4,0.0,98.0,12.0,-0.03985658181818181
NHLRC3,ENSG00000188811.13,0.0,99.0,11.0,-0.028083400000000012
NHLRC4,ENSG00000257108.1,8.0,102.0,0.0,0.07801717272727271
NHP2,ENSG00000145912.8,38.0,72.0,0.0,0.20251574545454543
NHS,ENSG00000188158.14,2.0,101.0,7.0,0.0009959909090909087
NHSL1,ENSG00000135540.11,0.0,90.0,20.0,-0.08856731818181825
NHSL2,ENSG00000204131.9,3.0,100.0,7.0,-0.002029845454545452
NICN1,ENSG00000145029.13,0.0,21.0,89.0,-0.33252963636363636
NID1,ENSG00000116962.14,5.0,102.0,3.0,0.019860963636363638
NID2,ENSG00000087303.17,0.0,75.0,35.0,-0.12494332727272726
NIF3L1,ENSG00000196290.14,4.0,99.0,7.0,0.01215492727272728
NIFK,ENSG00000155438.11,4.0,104.0,2.0,0.032739409090909104
NIM1K,ENSG00000177453.7,10.0,98.0,2.0,0.07966331818181818
NIN,ENSG00000100503.23,0.0,76.0,34.0,-0.12013749999999997
NINJ1,ENSG00000131669.9,0.0,92.0,18.0,-0.06734511818181818
NINJ2,ENSG00000171840.11,6.0,104.0,0.0,0.05573641818181818
NINL,ENSG00000101004.14,3.0,107.0,0.0,0.04690534545454547
NIP7,ENSG00000132603.13,9.0,99.0,2.0,0.06644604545454547
NIPA1,ENSG00000170113.15,0.0,106.0,4.0,-0.01311375454545455
NIPA2,ENSG00000140157.14,0.0,106.0,4.0,-0.012716227272727275
NIPAL1,ENSG00000163293.11,0.0,103.0,7.0,-0.023316327272727273
NIPAL2,ENSG00000104361.9,4.0,99.0,7.0,0.01565833636363636
NIPAL3,ENSG00000001461.16,0.0,102.0,8.0,-0.03129686363636364
NIPAL4,ENSG00000172548.14,39.0,71.0,0.0,0.20555558181818176
NIPBL,ENSG00000164190.17,10.0,98.0,2.0,0.0802353272727273
NIPSNAP1,ENSG00000184117.11,1.0,106.0,3.0,0.0043009272727272735
NIPSNAP3A,ENSG00000136783.9,0.0,92.0,18.0,-0.06707235454545456
NIPSNAP3B,ENSG00000165028.11,0.0,92.0,18.0,-0.06707235454545456
NISCH,ENSG00000010322.15,0.0,21.0,89.0,-0.3323758545454546
NIT1,ENSG00000158793.13,3.0,104.0,3.0,0.01465816363636363
NIT2,ENSG00000114021.11,0.0,80.0,30.0,-0.08260959090909091
NKAIN1,ENSG00000084628.9,0.0,102.0,8.0,-0.028950536363636353
NKAIN2,ENSG00000188580.14,0.0,91.0,19.0,-0.08377520000000005
NKAIN3,ENSG00000185942.11,4.0,95.0,11.0,-0.003777200000000001
NKAIN4,ENSG00000101198.14,3.0,107.0,0.0,0.059591590909090886
NKAP,ENSG00000101882.9,2.0,101.0,7.0,-0.00027591818181817965
NKAPL,ENSG00000189134.3,0.0,99.0,11.0,-0.05141653636363636
NKD1,ENSG00000140807.6,9.0,100.0,1.0,0.06996431818181818
NKD2,ENSG00000145506.13,11.0,97.0,2.0,0.08670339090909093
NKG7,ENSG00000105374.9,0.0,110.0,0.0,0.020234400000000003
NKIRAS1,ENSG00000197885.10,0.0,23.0,87.0,-0.3202682636363636
NKIRAS2,ENSG00000168256.17,0.0,108.0,2.0,0.002626345454545453
NKPD1,ENSG00000179846.9,0.0,110.0,0.0,0.02015255454545455
NKRF,ENSG00000186416.13,2.0,101.0,7.0,-0.00027591818181817965
NKTR,ENSG00000114857.17,0.0,22.0,88.0,-0.3230604727272726
NKX1-1,ENSG00000235608.1,1.0,100.0,9.0,-0.02846480000000001
NKX1-2,ENSG00000229544.8,0.0,97.0,13.0,-0.04622724545454546
NKX2-1,ENSG00000136352.17,0.0,76.0,34.0,-0.11972156363636356
NKX2-2,ENSG00000125820.5,3.0,106.0,1.0,0.042245536363636364
NKX2-3,ENSG00000119919.10,0.0,99.0,11.0,-0.036385227272727264
NKX2-4,ENSG00000125816.4,3.0,106.0,1.0,0.042245536363636364
NKX2-5,ENSG00000183072.9,39.0,71.0,0.0,0.20434987272727267
NKX2-6,ENSG00000180053.7,0.0,86.0,24.0,-0.09123416363636362
NKX2-8,ENSG00000136327.6,0.0,76.0,34.0,-0.11972156363636356
NKX3-1,ENSG00000167034.9,0.0,86.0,24.0,-0.09123416363636362
NKX3-2,ENSG00000109705.7,1.0,102.0,7.0,-0.01978399090909091
NKX6-1,ENSG00000163623.9,0.0,102.0,8.0,-0.024821409090909085
NKX6-2,ENSG00000148826.8,0.0,97.0,13.0,-0.042322009090909087
NKX6-3,ENSG00000165066.12,0.0,89.0,21.0,-0.07453976363636365
NLE1,ENSG00000073536.17,0.0,108.0,2.0,0.002530290909090908
NLGN1,ENSG00000169760.17,4.0,95.0,11.0,0.008270890909090908
NLGN2,ENSG00000169992.9,0.0,105.0,5.0,-0.018994481818181804
NLGN3,ENSG00000196338.12,3.0,100.0,7.0,-0.0010060545454545421
NLGN4X,ENSG00000146938.14,2.0,101.0,7.0,0.0003582545454545413
NLGN4Y,ENSG00000165246.13,5.0,71.0,34.0,-0.3445531181818182
NLK,ENSG00000087095.12,0.0,108.0,2.0,0.0013660545454545446
NLN,ENSG00000123213.22,12.0,96.0,2.0,0.08151061818181818
NLRC3,ENSG00000167984.17,8.0,102.0,0.0,0.07808803636363634
NLRC4,ENSG00000091106.18,3.0,105.0,2.0,0.030513181818181814
NLRC5,ENSG00000140853.15,9.0,100.0,1.0,0.07004646363636363
NLRP1,ENSG00000091592.15,0.0,105.0,5.0,-0.019942763636363627
NLRP10,ENSG00000182261.3,0.0,108.0,2.0,0.008323718181818183
NLRP11,ENSG00000179873.14,0.0,110.0,0.0,0.020000436363636364
NLRP12,ENSG00000142405.21,0.0,110.0,0.0,0.020080918181818185
NLRP13,ENSG00000173572.11,0.0,110.0,0.0,0.020000436363636364
NLRP14,ENSG00000158077.4,0.0,108.0,2.0,0.008323718181818183
NLRP2,ENSG00000022556.15,0.0,109.0,1.0,0.014778663636363635
NLRP2B,ENSG00000215174.2,2.0,101.0,7.0,-0.0027868272727272726
NLRP3,ENSG00000162711.16,5.0,102.0,3.0,0.01871326363636364
NLRP4,ENSG00000160505.15,0.0,110.0,0.0,0.020000436363636364
NLRP5,ENSG00000171487.14,0.0,110.0,0.0,0.020000436363636364
NLRP6,ENSG00000174885.12,0.0,109.0,1.0,0.011613736363636362
NLRP7,ENSG00000167634.12,0.0,109.0,1.0,0.014778663636363635
NLRP8,ENSG00000179709.8,0.0,110.0,0.0,0.020000436363636364
NLRP9,ENSG00000185792.9,0.0,110.0,0.0,0.019901036363636368
NLRX1,ENSG00000160703.15,0.0,105.0,5.0,-0.0051208181818181795
NMB,ENSG00000197696.9,0.0,105.0,5.0,-0.009252245454545454
NMBR,ENSG00000135577.4,0.0,89.0,21.0,-0.09388440909090912
NMD3,ENSG00000169251.12,2.0,97.0,11.0,0.001576672727272726
NME1,ENSG00000239672.7,1.0,107.0,2.0,0.00547233636363636
NME2,ENSG00000243678.11,1.0,107.0,2.0,0.00547233636363636
NME3,ENSG00000103024.7,8.0,102.0,0.0,0.07801717272727271
NME4,ENSG00000103202.12,8.0,102.0,0.0,0.07801717272727271
NME5,ENSG00000112981.4,37.0,73.0,0.0,0.19777159090909083
NME6,ENSG00000172113.8,0.0,21.0,89.0,-0.3270799727272727
NME7,ENSG00000143156.13,3.0,104.0,3.0,0.014911772727272727
NME8,ENSG00000086288.11,15.0,93.0,2.0,0.10562570909090908
NME9,ENSG00000181322.13,2.0,96.0,12.0,-0.0034041454545454537
NMI,ENSG00000123609.10,6.0,102.0,2.0,0.038911845454545464
NMNAT1,ENSG00000173614.13,0.0,102.0,8.0,-0.028824809090909093
NMNAT2,ENSG00000157064.10,4.0,104.0,2.0,0.022150972727272747
NMNAT3,ENSG00000163864.15,2.0,96.0,12.0,-0.003392318181818183
NMRAL1,ENSG00000153406.13,8.0,102.0,0.0,0.07808803636363634
NMRK1,ENSG00000106733.20,0.0,92.0,18.0,-0.06691574545454546
NMRK2,ENSG00000077009.13,0.0,108.0,2.0,0.01048277272727273
NMS,ENSG00000204640.1,3.0,105.0,2.0,0.032324590909090914
NMT1,ENSG00000136448.11,1.0,107.0,2.0,0.005298509090909089
NMT2,ENSG00000152465.17,0.0,103.0,7.0,-0.02257607272727273
NMU,ENSG00000109255.11,0.0,102.0,8.0,-0.026789909090909076
NMUR1,ENSG00000171596.6,3.0,98.0,9.0,-0.006238481818181815
NMUR2,ENSG00000132911.4,38.0,72.0,0.0,0.20316744545454535
NNAT,ENSG00000053438.8,3.0,107.0,0.0,0.05691444545454544
NNMT,ENSG00000166741.7,0.0,105.0,5.0,-0.00546772727272727
NNT,ENSG00000112992.16,10.0,98.0,2.0,0.08055514545454545
NOA1,ENSG00000084092.6,0.0,102.0,8.0,-0.026789909090909076
NOB1,ENSG00000141101.12,9.0,99.0,2.0,0.06649009090909093
NOBOX,ENSG00000106410.14,17.0,90.0,3.0,0.09738258181818178
NOC2L,ENSG00000188976.10,0.0,103.0,7.0,-0.027664427272727273
NOC3L,ENSG00000173145.11,0.0,99.0,11.0,-0.036385227272727264
NOC4L,ENSG00000184967.6,6.0,104.0,0.0,0.059325399999999986
NOCT,ENSG00000151014.5,0.0,101.0,9.0,-0.03147497272727271
NOD1,ENSG00000106100.10,15.0,93.0,2.0,0.10819503636363635
NOD2,ENSG00000167207.11,9.0,100.0,1.0,0.06996431818181818
NODAL,ENSG00000156574.9,0.0,99.0,11.0,-0.03528541818181817
NOG,ENSG00000183691.4,1.0,107.0,2.0,0.0054875454545454515
NOL10,ENSG00000115761.15,3.0,105.0,2.0,0.032012045454545446
NOL11,ENSG00000130935.9,2.0,106.0,2.0,0.01107326363636364
NOL12,ENSG00000273899.4,1.0,106.0,3.0,0.004289263636363635
NOL3,ENSG00000140939.14,9.0,99.0,2.0,0.06644604545454547
NOL4,ENSG00000101746.15,0.0,96.0,14.0,-0.04638627272727271
NOL4L,ENSG00000197183.14,3.0,107.0,0.0,0.05225916363636361
NOL6,ENSG00000165271.16,0.0,94.0,16.0,-0.05695944545454543
NOL7,ENSG00000225921.6,0.0,99.0,11.0,-0.0513572090909091
NOL8,ENSG00000198000.11,0.0,92.0,18.0,-0.06734511818181818
NOL9,ENSG00000162408.10,0.0,102.0,8.0,-0.03189123636363636
NOLC1,ENSG00000166197.16,0.0,99.0,11.0,-0.036385999999999995
NOM1,ENSG00000146909.7,16.0,91.0,3.0,0.09411509999999998
NOMO1,ENSG00000103512.14,9.0,101.0,0.0,0.0789297454545454
NOMO2,ENSG00000185164.14,8.0,102.0,0.0,0.07612041818181817
NOMO3,ENSG00000103226.17,8.0,102.0,0.0,0.07574404545454544
NONO,ENSG00000147140.15,3.0,100.0,7.0,-0.0010060545454545421
NOP10,ENSG00000182117.5,0.0,105.0,5.0,-0.01205692727272727
NOP14,ENSG00000087269.15,1.0,100.0,9.0,-0.02756485454545455
NOP16,ENSG00000048162.20,38.0,72.0,0.0,0.20284410909090908
NOP2,ENSG00000111641.11,6.0,104.0,0.0,0.05714212727272727
NOP56,ENSG00000101361.16,3.0,105.0,2.0,0.03927113636363637
NOP58,ENSG00000055044.10,4.0,100.0,6.0,0.013580554545454553
NOP9,ENSG00000196943.12,0.0,81.0,29.0,-0.10476251818181807
NOS1,ENSG00000089250.18,6.0,104.0,0.0,0.059775290909090895
NOS1AP,ENSG00000198929.12,3.0,104.0,3.0,0.014670045454545446
NOS2,ENSG00000007171.16,0.0,108.0,2.0,0.0013660545454545446
NOS3,ENSG00000164867.10,15.0,92.0,3.0,0.09325666363636359
NOSIP,ENSG00000142546.13,0.0,110.0,0.0,0.020234400000000003
NOSTRIN,ENSG00000163072.15,8.0,100.0,2.0,0.051190409090909064
NOTCH1,ENSG00000148400.9,0.0,92.0,18.0,-0.06949236363636364
NOTCH2,ENSG00000134250.19,0.0,106.0,4.0,-0.006162354545454546
NOTCH2NL,ENSG00000264343.5,3.0,104.0,3.0,0.01324815454545454
NOTCH3,ENSG00000074181.8,0.0,109.0,1.0,0.014310999999999999
NOTCH4,ENSG00000204301.6,0.0,99.0,11.0,-0.05123920000000001
NOTO,ENSG00000214513.3,3.0,105.0,2.0,0.03285819090909091
NOTUM,ENSG00000185269.11,2.0,105.0,3.0,0.007953472727272724
NOV,ENSG00000136999.4,4.0,99.0,7.0,0.014404627272727268
NOVA1,ENSG00000139910.19,0.0,78.0,32.0,-0.11220595454545444
NOVA2,ENSG00000104967.6,0.0,109.0,1.0,0.014990063636363637
NOX1,ENSG00000007952.17,3.0,100.0,7.0,0.00027670909090909366
NOX3,ENSG00000074771.3,0.0,88.0,22.0,-0.09681285454545457
NOX4,ENSG00000086991.12,0.0,107.0,3.0,-0.0010325818181818173
NOX5,ENSG00000255346.9,0.0,105.0,5.0,-0.011677509090909092
NOXA1,ENSG00000188747.8,0.0,92.0,18.0,-0.07014426363636364
NOXO1,ENSG00000196408.11,8.0,102.0,0.0,0.07706532727272727
NOXRED1,ENSG00000165555.9,0.0,71.0,39.0,-0.1384483272727272
NPAP1,ENSG00000185823.3,0.0,106.0,4.0,-0.011720390909090909
NPAS1,ENSG00000130751.9,0.0,109.0,1.0,0.014990063636363637
NPAS2,ENSG00000170485.16,3.0,105.0,2.0,0.032324590909090914
NPAS3,ENSG00000151322.18,0.0,78.0,32.0,-0.11215122727272718
NPAS4,ENSG00000174576.9,0.0,109.0,1.0,0.006337154545454547
NPAT,ENSG00000149308.16,0.0,104.0,6.0,-0.007589272727272725
NPB,ENSG00000183979.7,2.0,106.0,2.0,0.0101453
NPBWR1,ENSG00000183729.3,4.0,93.0,13.0,-0.01216
NPBWR2,ENSG00000125522.3,3.0,107.0,0.0,0.059330490909090886
NPC1,ENSG00000141458.12,0.0,97.0,13.0,-0.04164397272727271
NPC1L1,ENSG00000015520.14,15.0,93.0,2.0,0.10698680909090913
NPC2,ENSG00000119655.10,0.0,71.0,39.0,-0.13855561818181814
NPDC1,ENSG00000107281.9,0.0,92.0,18.0,-0.06979948181818182
NPEPL1,ENSG00000215440.11,3.0,107.0,0.0,0.05914841818181816
NPEPPS,ENSG00000141279.15,1.0,107.0,2.0,0.006529599999999994
NPFF,ENSG00000139574.8,6.0,104.0,0.0,0.060286845454545455
NPFFR1,ENSG00000148734.7,0.0,99.0,11.0,-0.03528541818181817
NPFFR2,ENSG00000056291.17,1.0,101.0,8.0,-0.022677118181818175
NPHP1,ENSG00000144061.12,3.0,105.0,2.0,0.03196154545454546
NPHP3,ENSG00000113971.19,1.0,95.0,14.0,-0.016024272727272727
NPHP4,ENSG00000131697.17,0.0,102.0,8.0,-0.032001890909090905
NPHS1,ENSG00000161270.19,0.0,109.0,1.0,0.01523129090909091
NPHS2,ENSG00000116218.12,5.0,103.0,2.0,0.025034390909090928
NPIPA1,ENSG00000183426.16,9.0,101.0,0.0,0.0789297454545454
NPIPA2,ENSG00000254852.8,8.0,102.0,0.0,0.0755150909090909
NPIPA3,ENSG00000224712.12,8.0,102.0,0.0,0.0755150909090909
NPIPA5,ENSG00000183793.13,9.0,101.0,0.0,0.07908690909090905
NPIPA7,ENSG00000214967.5,9.0,101.0,0.0,0.0778568090909091
NPIPA8,ENSG00000214940.8,8.0,102.0,0.0,0.0772298727272727
NPIPB11,ENSG00000254206.5,8.0,102.0,0.0,0.07708381818181818
NPIPB12,ENSG00000169203.16,8.0,102.0,0.0,0.07589785454545452
NPIPB13,ENSG00000198064.13,8.0,102.0,0.0,0.07579948181818182
NPIPB15,ENSG00000196436.8,9.0,99.0,2.0,0.06816940909090911
NPIPB2,ENSG00000234719.8,8.0,102.0,0.0,0.07720096363636364
NPIPB3,ENSG00000169246.16,8.0,102.0,0.0,0.07582009090909088
NPIPB4,ENSG00000185864.16,8.0,102.0,0.0,0.07524615454545451
NPIPB5,ENSG00000243716.10,7.0,103.0,0.0,0.07322373636363635
NPIPB6,ENSG00000198156.10,8.0,102.0,0.0,0.07705121818181819
NPIPB7,ENSG00000233232.6,8.0,102.0,0.0,0.07705121818181819
NPIPB8,ENSG00000255524.7,7.0,103.0,0.0,0.0759042909090909
NPIPB9,ENSG00000196993.8,7.0,103.0,0.0,0.07598644545454546
NPL,ENSG00000135838.13,4.0,104.0,2.0,0.022150972727272747
NPLOC4,ENSG00000182446.13,3.0,105.0,2.0,0.012992018181818178
NPM1,ENSG00000181163.13,38.0,72.0,0.0,0.2032404454545454
NPM2,ENSG00000158806.13,0.0,86.0,24.0,-0.09123416363636362
NPM3,ENSG00000107833.10,0.0,99.0,11.0,-0.036385999999999995
NPNT,ENSG00000168743.12,0.0,101.0,9.0,-0.03025036363636362
NPPA,ENSG00000175206.10,1.0,101.0,8.0,-0.02516440909090909
NPPB,ENSG00000120937.8,1.0,101.0,8.0,-0.02516440909090909
NPPC,ENSG00000163273.3,3.0,98.0,9.0,-0.006248345454545451
NPR1,ENSG00000169418.9,3.0,104.0,3.0,0.014475318181818181
NPR2,ENSG00000159899.14,0.0,94.0,16.0,-0.05757647272727271
NPR3,ENSG00000113389.15,10.0,98.0,2.0,0.08026073636363637
NPRL2,ENSG00000114388.12,0.0,21.0,89.0,-0.3326340545454545
NPRL3,ENSG00000103148.15,8.0,102.0,0.0,0.07782416363636362
NPS,ENSG00000214285.2,0.0,97.0,13.0,-0.044499445454545455
NPSR1,ENSG00000187258.13,16.0,92.0,2.0,0.10676143636363634
NPTN,ENSG00000156642.16,0.0,105.0,5.0,-0.01173399090909091
NPTX1,ENSG00000171246.5,2.0,106.0,2.0,0.010272072727272728
NPTX2,ENSG00000106236.3,15.0,93.0,2.0,0.10665982727272728
NPTXR,ENSG00000221890.3,1.0,106.0,3.0,0.004419172727272728
NPVF,ENSG00000105954.2,14.0,94.0,2.0,0.10223755454545455
NPW,ENSG00000183971.6,8.0,102.0,0.0,0.07706532727272727
NPY,ENSG00000122585.7,14.0,94.0,2.0,0.10223755454545455
NPY1R,ENSG00000164128.6,1.0,96.0,13.0,-0.04788935454545454
NPY2R,ENSG00000185149.5,1.0,97.0,12.0,-0.0450069090909091
NPY4R,ENSG00000204174.7,0.0,102.0,8.0,-0.02989584545454546
NPY5R,ENSG00000164129.11,1.0,96.0,13.0,-0.04788935454545454
NQO1,ENSG00000181019.12,9.0,99.0,2.0,0.06649009090909093
NQO2,ENSG00000124588.19,0.0,99.0,11.0,-0.05169327272727274
NR0B1,ENSG00000169297.7,2.0,101.0,7.0,0.0005662363636363618
NR0B2,ENSG00000131910.4,0.0,101.0,9.0,-0.033471081818181814
NR1D1,ENSG00000126368.5,0.0,108.0,2.0,0.0026824636363636345
NR1D2,ENSG00000174738.12,0.0,23.0,87.0,-0.3202682636363636
NR1H2,ENSG00000131408.13,0.0,110.0,0.0,0.020234400000000003
NR1H3,ENSG00000025434.18,0.0,107.0,3.0,0.0042296727272727284
NR1H4,ENSG00000012504.13,6.0,104.0,0.0,0.060695927272727254
NR1I2,ENSG00000144852.17,0.0,87.0,23.0,-0.05235600909090909
NR1I3,ENSG00000143257.11,3.0,104.0,3.0,0.01465816363636363
NR2C1,ENSG00000120798.16,6.0,104.0,0.0,0.06062978181818181
NR2C2,ENSG00000177463.15,0.0,23.0,87.0,-0.3202608363636364
NR2C2AP,ENSG00000184162.14,0.0,109.0,1.0,0.014397654545454545
NR2E1,ENSG00000112333.11,0.0,93.0,17.0,-0.07412498181818182
NR2E3,ENSG00000278570.4,0.0,105.0,5.0,-0.01173399090909091
NR2F1,ENSG00000175745.11,17.0,92.0,1.0,0.09912640000000005
NR2F2,ENSG00000185551.14,0.0,105.0,5.0,-0.017457972727272727
NR2F6,ENSG00000160113.5,0.0,108.0,2.0,0.009193900000000001
NR3C1,ENSG00000113580.14,37.0,73.0,0.0,0.1997272363636363
NR3C2,ENSG00000151623.14,0.0,101.0,9.0,-0.031515045454545434
NR4A1,ENSG00000123358.19,6.0,104.0,0.0,0.060286845454545455
NR4A2,ENSG00000153234.13,6.0,102.0,2.0,0.04105527272727274
NR4A3,ENSG00000119508.17,0.0,92.0,18.0,-0.06717181818181818
NR5A1,ENSG00000136931.9,0.0,92.0,18.0,-0.06739863636363637
NR5A2,ENSG00000116833.13,5.0,103.0,2.0,0.025558900000000023
NR6A1,ENSG00000148200.16,0.0,93.0,17.0,-0.06485389090909091
NRAP,ENSG00000197893.13,0.0,98.0,12.0,-0.03985658181818181
NRARP,ENSG00000198435.3,0.0,92.0,18.0,-0.06990477272727273
NRAS,ENSG00000213281.4,0.0,104.0,6.0,-0.014690063636363642
NRBF2,ENSG00000148572.15,0.0,99.0,11.0,-0.03536809999999999
NRBP1,ENSG00000115216.13,3.0,105.0,2.0,0.03129782727272727
NRBP2,ENSG00000185189.17,4.0,101.0,5.0,0.0252263
NRCAM,ENSG00000091129.19,15.0,92.0,3.0,0.1000448090909091
NRDC,ENSG00000078618.21,0.0,106.0,4.0,-0.013958372727272737
NRDE2,ENSG00000119720.17,0.0,71.0,39.0,-0.13492924545454538
NREP,ENSG00000134986.13,25.0,84.0,1.0,0.1395559090909091
NRF1,ENSG00000106459.14,15.0,93.0,2.0,0.09691624545454548
NRG1,ENSG00000157168.18,0.0,85.0,25.0,-0.09376359090909091
NRG2,ENSG00000158458.19,37.0,73.0,0.0,0.19959503636363626
NRG3,ENSG00000185737.12,0.0,99.0,11.0,-0.035611127272727264
NRG4,ENSG00000169752.16,0.0,105.0,5.0,-0.01173399090909091
NRGN,ENSG00000154146.12,0.0,106.0,4.0,-0.0030394909090909095
NRIP1,ENSG00000180530.10,3.0,105.0,2.0,0.014138463636363634
NRIP2,ENSG00000053702.14,6.0,104.0,0.0,0.05593095454545455
NRIP3,ENSG00000175352.10,0.0,108.0,2.0,0.008531281818181819
NRK,ENSG00000123572.16,2.0,101.0,7.0,0.00043142727272727356
NRL,ENSG00000129535.12,0.0,81.0,29.0,-0.10476251818181807
NRM,ENSG00000137404.14,1.0,98.0,11.0,-0.0480051181818182
NRN1,ENSG00000124785.8,0.0,99.0,11.0,-0.05153882727272728
NRN1L,ENSG00000188038.7,9.0,99.0,2.0,0.06644604545454547
NRP1,ENSG00000099250.17,0.0,104.0,6.0,-0.019042363636363645
NRP2,ENSG00000118257.16,4.0,98.0,8.0,0.00922663636363637
NRROS,ENSG00000174004.5,5.0,94.0,11.0,0.005078718181818184
NRSN1,ENSG00000152954.11,0.0,99.0,11.0,-0.0514064090909091
NRSN2,ENSG00000125841.12,3.0,105.0,2.0,0.0395889
NRTN,ENSG00000171119.2,0.0,108.0,2.0,0.008649218181818182
NRXN1,ENSG00000179915.22,3.0,105.0,2.0,0.03041031818181818
NRXN2,ENSG00000110076.18,0.0,109.0,1.0,0.006323863636363638
NRXN3,ENSG00000021645.18,0.0,71.0,39.0,-0.1384483272727272
NSA2,ENSG00000164346.9,13.0,95.0,2.0,0.08429265454545454
NSD1,ENSG00000165671.19,38.0,72.0,0.0,0.20284410909090908
NSD2,ENSG00000109685.17,1.0,100.0,9.0,-0.02846480000000001
NSD3,ENSG00000147548.16,0.0,86.0,24.0,-0.09113388181818183
NSDHL,ENSG00000147383.10,2.0,101.0,7.0,0.0024163363636363635
