	Name	Database_ID	chromosome	start_bp	end_bp	p_arm_max	arm
42	ABCA9	ENSG00000154258.15	17	68974488	69060949	25100000	q
43	ABCB1	ENSG00000085563.13	7	87503017	87713323	60100000	q
44	ABCB10	ENSG00000135776.4	1	229516582	229558707	123400000	q
45	ABCB11	ENSG00000073734.8	2	168915498	169031324	93900000	q
46	ABCB4	ENSG00000005471.14	7	87401696	87480435	60100000	q
47	ABCB5	ENSG00000004846.15	7	20615667	20777038	60100000	p
48	ABCB6	ENSG00000115657.11	2	219209772	219218994	93900000	q
49	ABCB8	ENSG00000197150.11	7	151028422	151047782	60100000	q
50	ABCB9	ENSG00000150967.16	12	122920951	122981649	35500000	q
51	ABCC1	ENSG00000103222.17	16	15949138	16143257	36800000	p
52	ABCC10	ENSG00000124574.13	6	43427366	43450427	59800000	p
53	ABCC11	ENSG00000121270.14	16	48165773	48247568	36800000	q
54	ABCC12	ENSG00000140798.14	16	48081006	48156018	36800000	q
55	ABCC2	ENSG00000023839.9	10	99782640	99852594	39800000	q
56	ABCC3	ENSG00000108846.14	17	50634777	50692253	25100000	q
57	ABCC4	ENSG00000125257.12	13	95019835	95301475	17700000	q
58	ABCC5	ENSG00000114770.15	3	183919934	184017939	90900000	q
59	ABCC6	ENSG00000091262.13	16	16149565	16223522	36800000	p
60	ABCC8	ENSG00000006071.10	11	17392498	17476894	53400000	p
61	ABCC9	ENSG00000069431.9	12	21797389	21942543	35500000	p
62	ABCD2	ENSG00000173208.3	12	39550033	39619803	35500000	q
63	ABCD3	ENSG00000117528.10	1	94418389	94518666	123400000	p
64	ABCD4	ENSG00000119688.19	14	74285269	74303055	17200000	q
65	ABCE1	ENSG00000164163.9	4	145098288	145129524	50000000	q
66	ABCF1	ENSG00000204574.11	6	30571393	30597179	59800000	p
67	ABCF2	ENSG00000033050.6	7	151211484	151227205	60100000	q
68	ABCF3	ENSG00000161204.10	3	184186023	184194012	90900000	q
69	ABCG1	ENSG00000160179.17	21	42199689	42297244	12000000	q
70	ABCG2	ENSG00000118777.9	4	88090150	88231628	50000000	q
71	ABCG4	ENSG00000172350.8	11	119149052	119162653	53400000	q
72	ABCG5	ENSG00000138075.10	2	43812472	43838865	93900000	p
73	ABCG8	ENSG00000143921.6	2	43831942	43882988	93900000	p
74	ABHD1	ENSG00000143994.12	2	27123789	27130812	93900000	p
75	ABHD10	ENSG00000144827.7	3	111979010	111993368	90900000	q
76	ABHD11	ENSG00000106077.17	7	73736094	73738852	60100000	q
77	ABHD12	ENSG00000100997.17	20	25294742	25390835	28100000	p
78	ABHD12B	ENSG00000131969.13	14	50872053	50904970	17200000	q
79	ABHD13	ENSG00000139826.5	13	108218392	108234243	17700000	q
80	ABHD14A	ENSG00000248487.7	3	51971426	51981199	90900000	p
81	ABHD14A-ACY1	ENSG00000114786.14	3	51974706	51989183	90900000	p
82	ABHD14B	ENSG00000114779.18	3	51968510	51983409	90900000	p
83	ABHD15	ENSG00000168792.4	17	29560547	29567037	25100000	q
84	ABHD16A	ENSG00000204427.10	6	31686955	31703356	59800000	p
85	ABHD16B	ENSG00000183260.6	20	63861498	63862988	28100000	q
86	ABHD17A	ENSG00000129968.14	19	1876810	1885496	26200000	p
87	ABHD17B	ENSG00000107362.12	9	71862452	71911193	43000000	q
88	ABHD17C	ENSG00000136379.10	15	80679684	80755621	19000000	q
89	ABHD2	ENSG00000140526.15	15	89087459	89202355	19000000	q
90	ABHD3	ENSG00000158201.8	18	21650901	21704780	18500000	q
91	ABHD4	ENSG00000100439.9	14	22598237	22613215	17200000	q
92	ABHD5	ENSG00000011198.6	3	43690108	43734371	90900000	p
93	ABHD6	ENSG00000163686.12	3	58237532	58295693	90900000	p
94	ABHD8	ENSG00000127220.5	19	17292131	17310236	26200000	p
95	ABI1	ENSG00000136754.15	10	26746593	26861087	39800000	p
96	ABI2	ENSG00000138443.14	2	203328280	203447728	93900000	q
97	ABI3	ENSG00000108798.7	17	49210411	49223225	25100000	q
98	ABI3BP	ENSG00000154175.15	3	100749156	100993515	90900000	q
99	ABL1	ENSG00000097007.16	9	130713016	130887675	43000000	q
100	ABL2	ENSG00000143322.18	1	179099330	179229684	123400000	q
101	ABLIM1	ENSG00000099204.17	10	114431113	114768061	39800000	q
102	ABLIM2	ENSG00000163995.17	4	7965310	8158832	50000000	p
103	ABLIM3	ENSG00000173210.18	5	149141483	149260542	48800000	q
104	ABO	ENSG00000175164.12	9	133233278	133276024	43000000	q
105	ABR	ENSG00000159842.13	17	1003519	1229738	25100000	p
106	ABRA	ENSG00000174429.3	8	106759483	106770244	45200000	q
107	ABRACL	ENSG00000146386.7	6	139028745	139043302	59800000	q
108	ABT1	ENSG00000146109.4	6	26596953	26600739	59800000	p
109	ABTB1	ENSG00000114626.16	3	127672935	127680926	90900000	q
110	ABTB2	ENSG00000166016.5	11	34150987	34358010	53400000	p
111	AC002398.9	ENSG00000188223.9	19	35745678	35754519	26200000	q
112	AC002985.3	ENSG00000268193.4	19	18907013	18934397	26200000	p
113	AC003002.4	ENSG00000268133.1	19	57363566	57398584	26200000	q
114	AC003002.6	ENSG00000269533.4	19	57389884	57419994	26200000	q
115	AC003005.4	ENSG00000268107.4	19	57487718	57517559	26200000	q
116	AC003006.7	ENSG00000269026.2	19	57682045	57753575	26200000	q
117	AC004076.7	ENSG00000268533.1	19	57394183	57438457	26200000	q
118	AC004076.9	ENSG00000268163.1	19	57437970	57477536	26200000	q
119	AC004381.6	ENSG00000005189.18	16	20806429	20849665	36800000	p
120	AC005480.1	ENSG00000279461.1	14	74003396	74003470	17200000	q
121	AC006116.20	ENSG00000267710.4	19	56272748	56310454	26200000	q
122	AC006449.2	ENSG00000279119.1	17	38727833	38728198	25100000	q
123	AC006486.9	ENSG00000268643.1	19	42234583	42255132	26200000	q
124	AC006538.4	ENSG00000267001.1	19	2717769	2740048	26200000	p
125	AC006547.14	ENSG00000234409.6	22	20148416	20151055	15000000	q
126	AC006994.3	ENSG00000279317.1	2	210171518	210233976	93900000	q
127	AC007040.11	ENSG00000258881.5	2	70939318	70995336	93900000	p
128	AC010547.9	ENSG00000261611.5	16	71447600	71489311	36800000	q
129	AC010642.1	ENSG00000267216.1	19	58278966	58315197	26200000	q
130	AC010646.3	ENSG00000269095.1	19	17235940	17255448	26200000	p
131	AC011155.1	ENSG00000280098.1	18	52409042	52409257	18500000	q
132	AC011513.3	ENSG00000267881.1	19	41708657	41756737	26200000	q
133	AC011530.4	ENSG00000268434.4	19	45779437	45785973	26200000	q
134	AC013269.5	ENSG00000184761.7	2	130539095	130549883	93900000	q
135	AC015688.3	ENSG00000266728.4	17	27623364	27640777	25100000	q
136	AC022431.2	ENSG00000225940.4	5	56511567	56606232	48800000	q
137	AC024592.12	ENSG00000267740.4	19	5866171	5903787	26200000	p
138	AC025048.1	ENSG00000280852.1	17	60101759	60102919	25100000	q
139	AC025263.3	ENSG00000258052.1	12	69801669	69855363	35500000	q
140	AC037459.4	ENSG00000248235.5	8	22589274	22602084	45200000	p
141	AC068533.7	ENSG00000249319.2	7	66087761	66152277	60100000	q
142	AC069368.3	ENSG00000249240.2	15	64841883	64930920	19000000	q
143	AC073107.1	ENSG00000272693.2	7	65647010	65770810	60100000	q
144	AC084219.2	ENSG00000267022.1	19	44025354	44087318	26200000	q
145	AC087762.1	ENSG00000279588.1	15	100782417	100786189	19000000	q
146	AC092159.1	ENSG00000280360.1	2	687799	688348	93900000	p
147	AC092299.1	ENSG00000281379.1	19	186373	195696	26200000	p
148	AC092835.2	ENSG00000233757.5	2	95207535	95259774	93900000	q
149	AC092881.1	ENSG00000279530.1	12	70321542	70324274	35500000	q
150	AC093323.1	ENSG00000279859.1	4	6691995	6692970	50000000	p
151	AC104532.2	ENSG00000267314.1	19	5904841	5914707	26200000	p
152	AC104534.3	ENSG00000268083.4	19	38817471	38840178	26200000	q
153	AC104809.3	ENSG00000226321.5	2	240906330	240993311	93900000	q
154	AC108938.5	ENSG00000257207.5	2	110402934	110473075	93900000	q
155	AC124312.1	ENSG00000279735.1	15	25091960	25092377	19000000	q
156	AC129492.1	ENSG00000279152.1	17	8188933	8189688	25100000	p
157	AC138969.4	ENSG00000183889.11	16	16317444	16350590	36800000	p
158	AC241377.2	ENSG00000281741.1	1	120913151	120914238	123400000	p
159	AC241585.2	ENSG00000281571.1	1	145214851	145215938	123400000	q
160	AC244230.1	ENSG00000279058.1	10	46337224	46358714	39800000	q
161	AC245100.1	ENSG00000280649.1	1	148458814	148459871	123400000	q
162	ACAA1	ENSG00000060971.16	3	38103129	38137242	90900000	p
163	ACAA2	ENSG00000167315.16	18	49782164	49813953	18500000	q
164	ACACA	ENSG00000278540.3	17	37084992	37406836	25100000	q
165	ACACB	ENSG00000076555.14	12	109116595	109268226	35500000	q
166	ACAD10	ENSG00000111271.13	12	111686053	111757107	35500000	q
167	ACAD11	ENSG00000240303.6	3	132558138	132660082	90900000	q
168	ACAD8	ENSG00000151498.10	11	134253548	134265855	53400000	q
169	ACAD9	ENSG00000177646.16	3	128879596	128924003	90900000	q
170	ACADL	ENSG00000115361.6	2	210187126	210225447	93900000	q
171	ACADM	ENSG00000117054.12	1	75724431	75787575	123400000	p
172	ACADS	ENSG00000122971.7	12	120725774	120740008	35500000	q
173	ACADSB	ENSG00000196177.11	10	123008979	123058290	39800000	q
174	ACADVL	ENSG00000072778.18	17	7217125	7225266	25100000	p
175	ACAN	ENSG00000157766.14	15	88803436	88875353	19000000	q
176	ACAP1	ENSG00000072818.10	17	7336529	7351477	25100000	p
177	ACAP2	ENSG00000114331.11	3	195274745	195443044	90900000	q
178	ACAP3	ENSG00000131584.17	1	1292390	1309609	123400000	p
179	ACAT1	ENSG00000075239.12	11	108116695	108147603	53400000	q
180	ACAT2	ENSG00000120437.8	6	159762045	159779112	59800000	q
181	ACBD3	ENSG00000182827.8	1	226144679	226186741	123400000	q
182	ACBD4	ENSG00000181513.13	17	45132600	45144181	25100000	q
183	ACBD5	ENSG00000107897.17	10	27168135	27243046	39800000	p
184	ACBD7	ENSG00000176244.6	10	15075475	15088776	39800000	p
185	ACCS	ENSG00000110455.12	11	44065925	44084237	53400000	p
186	ACCSL	ENSG00000205126.2	11	44047981	44059977	53400000	p
187	ACD	ENSG00000102977.12	16	67657512	67660815	36800000	q
188	ACE	ENSG00000159640.13	17	63477061	63498380	25100000	q
189	ACER1	ENSG00000167769.4	19	6306142	6333612	26200000	p
190	ACER2	ENSG00000177076.5	9	19409009	19452505	43000000	p
191	ACER3	ENSG00000078124.10	11	76860859	77026797	53400000	q
192	ACHE	ENSG00000087085.12	7	100889994	100896974	60100000	q
193	ACIN1	ENSG00000100813.13	14	23058564	23095614	17200000	q
194	ACKR1	ENSG00000213088.8	1	159203307	159206500	123400000	q
195	ACKR2	ENSG00000144648.13	3	42804752	42887974	90900000	p
196	ACKR3	ENSG00000144476.5	2	236567787	236582354	93900000	q
197	ACKR4	ENSG00000129048.6	3	132597270	132618967	90900000	q
198	ACLY	ENSG00000131473.15	17	41866917	41930542	25100000	q
199	ACMSD	ENSG00000153086.12	2	134838616	134902034	93900000	q
200	ACN9	ENSG00000196636.7	7	97117698	97181763	60100000	q
201	ACO1	ENSG00000122729.17	9	32384603	32454769	43000000	p
202	ACO2	ENSG00000100412.14	22	41447830	41529273	15000000	q
203	ACOT1	ENSG00000184227.6	14	73537143	73543796	17200000	q
204	ACOT11	ENSG00000162390.16	1	54542257	54639192	123400000	p
205	ACOT12	ENSG00000172497.7	5	81329996	81394179	48800000	q
206	ACOT13	ENSG00000112304.9	6	24667035	24705065	59800000	p
207	ACOT2	ENSG00000119673.13	14	73567620	73575658	17200000	q
208	ACOT4	ENSG00000177465.4	14	73591873	73595766	17200000	q
209	ACOT6	ENSG00000205669.2	14	73610945	73619888	17200000	q
210	ACOT7	ENSG00000097021.18	1	6264269	6393767	123400000	p
211	ACOT8	ENSG00000101473.15	20	45841721	45857405	28100000	q
212	ACOX1	ENSG00000161533.10	17	75941507	75979177	25100000	q
213	ACOX2	ENSG00000168306.11	3	58505136	58537283	90900000	p
214	ACOX3	ENSG00000087008.14	4	8366282	8440723	50000000	p
215	ACOXL	ENSG00000153093.17	2	110732539	111120610	93900000	q
216	ACP1	ENSG00000143727.14	2	264140	278283	93900000	p
217	ACP2	ENSG00000134575.8	11	47239302	47248906	53400000	p
218	ACP5	ENSG00000102575.9	19	11574660	11579008	26200000	p
219	ACP6	ENSG00000162836.10	1	147629652	147670524	123400000	q
220	ACPP	ENSG00000014257.14	3	132317369	132368298	90900000	q
221	ACPT	ENSG00000142513.5	19	50790415	50795219	26200000	q
222	ACR	ENSG00000100312.9	22	50738196	50745339	15000000	q
223	ACRBP	ENSG00000111644.6	12	6638075	6647433	35500000	p
224	ACRV1	ENSG00000134940.12	11	125671522	125680874	53400000	q
225	ACSBG1	ENSG00000103740.8	15	78167468	78245688	19000000	q
226	ACSBG2	ENSG00000130377.12	19	6135247	6193094	26200000	p
227	ACSF2	ENSG00000167107.11	17	50426158	50474845	25100000	q
228	ACSF3	ENSG00000176715.14	16	89088375	89164121	36800000	q
229	ACSL1	ENSG00000151726.12	4	184755595	184826818	50000000	q
230	ACSL3	ENSG00000123983.12	2	222860942	222944639	93900000	q
231	ACSL5	ENSG00000197142.9	10	112374116	112428379	39800000	q
232	ACSL6	ENSG00000164398.11	5	131949973	132012243	48800000	q
233	ACSM1	ENSG00000166743.8	16	20623235	20698890	36800000	p
234	ACSM2A	ENSG00000183747.10	16	20451461	20487669	36800000	p
235	ACSM2B	ENSG00000066813.13	16	20536226	20576427	36800000	p
236	ACSM3	ENSG00000005187.10	16	20610243	20797581	36800000	p
237	ACSM4	ENSG00000215009.5	12	7304284	7328724	35500000	p
238	ACSM5	ENSG00000183549.9	16	20409534	20441336	36800000	p
239	ACSM6	ENSG00000173124.13	10	95194200	95228928	39800000	q
240	ACSS1	ENSG00000154930.13	20	25006230	25058980	28100000	p
241	ACSS2	ENSG00000131069.18	20	34872146	34927962	28100000	q
242	ACSS3	ENSG00000111058.6	12	80936414	81261210	35500000	q
243	ACTA1	ENSG00000143632.13	1	229430365	229434104	123400000	q
244	ACTA2	ENSG00000107796.11	10	88935074	88991339	39800000	q
245	ACTB	ENSG00000075624.12	7	5526409	5563902	60100000	p
246	ACTBL2	ENSG00000169067.3	5	57480018	57482811	48800000	q
247	ACTC1	ENSG00000159251.6	15	34790230	34795549	19000000	q
248	ACTG1	ENSG00000184009.8	17	81509413	81523847	25100000	q
249	ACTG2	ENSG00000163017.12	2	73892314	73919865	93900000	p
250	ACTL6A	ENSG00000136518.15	3	179562886	179588407	90900000	q
251	ACTL6B	ENSG00000077080.8	7	100643097	100656448	60100000	q
252	ACTL7A	ENSG00000187003.6	9	108862266	108863756	43000000	q
253	ACTL7B	ENSG00000148156.7	9	108854588	108855986	43000000	q
254	ACTL8	ENSG00000117148.7	1	17755333	17827063	123400000	p
255	ACTL9	ENSG00000181786.4	19	8697400	8698795	26200000	p
256	ACTN1	ENSG00000072110.12	14	68874128	68979440	17200000	q
257	ACTN2	ENSG00000077522.11	1	236664141	236764631	123400000	q
258	ACTN3	ENSG00000248746.4	11	66546395	66563334	53400000	q
259	ACTN4	ENSG00000130402.10	19	38647649	38731589	26200000	q
260	ACTR10	ENSG00000131966.12	14	58200080	58235636	17200000	q
261	ACTR1A	ENSG00000138107.10	10	102461881	102502712	39800000	q
262	ACTR1B	ENSG00000115073.7	2	97655939	97664044	93900000	q
263	ACTR2	ENSG00000138071.12	2	65227788	65271253	93900000	p
264	ACTR3	ENSG00000115091.10	2	113890063	113962596	93900000	q
265	ACTR3B	ENSG00000133627.16	7	152759749	152855378	60100000	q
266	ACTR3C	ENSG00000106526.9	7	150243916	150323725	60100000	q
267	ACTR5	ENSG00000101442.9	20	38748460	38772520	28100000	q
268	ACTR6	ENSG00000075089.8	12	100199122	100241865	35500000	q
269	ACTR8	ENSG00000113812.12	3	53867066	53882152	90900000	p
270	ACTRT2	ENSG00000169717.6	1	3021467	3022903	123400000	p
271	ACTRT3	ENSG00000184378.2	3	169766921	169769561	90900000	q
272	ACVR1	ENSG00000115170.12	2	157736251	157876330	93900000	q
273	ACVR1B	ENSG00000135503.11	12	51951699	51997078	35500000	q
274	ACVR1C	ENSG00000123612.14	2	157526767	157628864	93900000	q
275	ACVR2A	ENSG00000121989.13	2	147844517	147930826	93900000	q
276	ACVR2B	ENSG00000114739.12	3	38453890	38493142	90900000	p
277	ACVRL1	ENSG00000139567.11	12	51906908	51923361	35500000	q
278	ACY1	ENSG00000243989.6	3	51983340	51989197	90900000	p
279	ACY3	ENSG00000132744.6	11	67642555	67650730	53400000	q
280	ACYP1	ENSG00000119640.7	14	75053237	75069483	17200000	q
281	ACYP2	ENSG00000170634.11	2	53970838	54305300	93900000	p
282	AD000671.6	ENSG00000267120.3	19	35739252	35745432	26200000	q
283	ADA	ENSG00000196839.11	20	44619522	44652233	28100000	q
284	ADAD1	ENSG00000164113.9	4	122378966	122429802	50000000	q
285	ADAD2	ENSG00000140955.9	16	84191138	84197168	36800000	q
286	ADAL	ENSG00000168803.13	15	43330672	43354569	19000000	q
287	ADAM10	ENSG00000137845.13	15	58588809	58749791	19000000	q
288	ADAM11	ENSG00000073670.12	17	44758988	44781846	25100000	q
289	ADAM12	ENSG00000148848.13	10	126012381	126388477	39800000	q
290	ADAM15	ENSG00000143537.12	1	155050566	155062775	123400000	q
291	ADAM17	ENSG00000151694.11	2	9488486	9556732	93900000	p
292	ADAM18	ENSG00000168619.14	8	39584489	39730065	45200000	p
293	ADAM19	ENSG00000135074.14	5	157395534	157575775	48800000	q
294	ADAM2	ENSG00000104755.13	8	39743735	39838289	45200000	p
295	ADAM20	ENSG00000134007.3	14	70522358	70535015	17200000	q
296	ADAM21	ENSG00000139985.6	14	70417107	70460427	17200000	q
297	ADAM22	ENSG00000008277.13	7	87934143	88202889	60100000	q
298	ADAM23	ENSG00000114948.11	2	206443532	206621127	93900000	q
299	ADAM28	ENSG00000042980.11	8	24294069	24359014	45200000	p
300	ADAM29	ENSG00000168594.14	4	174829668	174978180	50000000	q
301	ADAM30	ENSG00000134249.6	1	119893533	119896515	123400000	p
302	ADAM32	ENSG00000197140.13	8	39106990	39284917	45200000	p
303	ADAM33	ENSG00000149451.16	20	3667965	3682246	28100000	p
304	ADAM7	ENSG00000069206.14	8	24440930	24526970	45200000	p
305	ADAM8	ENSG00000151651.14	10	133262420	133276868	39800000	q
306	ADAM9	ENSG00000168615.10	8	38996754	39105445	45200000	p
307	ADAMDEC1	ENSG00000134028.13	8	24384285	24406013	45200000	p
308	ADAMTS1	ENSG00000154734.13	21	26835755	26845409	12000000	q
309	ADAMTS10	ENSG00000142303.12	19	8580240	8610735	26200000	p
310	ADAMTS12	ENSG00000151388.9	5	33523535	33892019	48800000	p
311	ADAMTS13	ENSG00000160323.17	9	133414358	133459402	43000000	q
312	ADAMTS14	ENSG00000138316.9	10	70672506	70762441	39800000	q
313	ADAMTS15	ENSG00000166106.3	11	130448645	130476645	53400000	q
314	ADAMTS16	ENSG00000145536.14	5	5140330	5320304	48800000	p
315	ADAMTS17	ENSG00000140470.12	15	99971437	100342005	19000000	q
316	ADAMTS18	ENSG00000140873.14	16	77247813	77435034	36800000	q
317	ADAMTS19	ENSG00000145808.7	5	129460281	129738683	48800000	q
318	ADAMTS2	ENSG00000087116.12	5	179110853	179345461	48800000	q
319	ADAMTS20	ENSG00000173157.15	12	43353866	43552203	35500000	q
320	ADAMTS3	ENSG00000156140.7	4	72280969	72569221	50000000	q
321	ADAMTS4	ENSG00000158859.9	1	161184302	161199054	123400000	q
322	ADAMTS5	ENSG00000154736.5	21	26917922	26967088	12000000	q
323	ADAMTS6	ENSG00000049192.13	5	65148738	65481920	48800000	q
324	ADAMTS7	ENSG00000136378.13	15	78759206	78811464	19000000	q
325	ADAMTS8	ENSG00000134917.9	11	130404923	130428609	53400000	q
326	ADAMTS9	ENSG00000163638.12	3	64515654	64688000	90900000	p
327	ADAMTSL1	ENSG00000178031.14	9	17906563	18910950	43000000	p
328	ADAMTSL2	ENSG00000197859.8	9	133532164	133575519	43000000	q
329	ADAMTSL3	ENSG00000156218.11	15	83654088	84039842	19000000	q
330	ADAMTSL4	ENSG00000143382.12	1	150549369	150560937	123400000	q
331	ADAMTSL5	ENSG00000185761.9	19	1505022	1513604	26200000	p
332	ADAP1	ENSG00000105963.12	7	897900	955407	60100000	p
333	ADAP2	ENSG00000184060.9	17	30906344	30959322	25100000	q
334	ADAR	ENSG00000160710.14	1	154581695	154628013	123400000	q
335	ADARB1	ENSG00000197381.14	21	45073853	45226560	12000000	q
336	ADARB2	ENSG00000185736.14	10	1177313	1737525	39800000	p
337	ADAT1	ENSG00000065457.9	16	75596868	75623300	36800000	q
338	ADAT2	ENSG00000189007.14	6	143422832	143450695	59800000	q
339	ADAT3	ENSG00000213638.5	19	1905399	1913447	26200000	p
340	ADCK1	ENSG00000063761.14	14	77800109	77935014	17200000	q
341	ADCK2	ENSG00000133597.8	7	140672945	140696261	60100000	q
342	ADCK3	ENSG00000163050.15	1	226940286	226987544	123400000	q
343	ADCK4	ENSG00000123815.10	19	40691514	40725784	26200000	q
344	ADCK5	ENSG00000173137.10	8	144373101	144393242	45200000	q
345	ADCY1	ENSG00000164742.13	7	45574140	45723116	60100000	p
346	ADCY10	ENSG00000143199.16	1	167809386	167914215	123400000	q
347	ADCY2	ENSG00000078295.14	5	7396138	7830081	48800000	p
348	ADCY3	ENSG00000138031.13	2	24819169	24920237	93900000	p
349	ADCY4	ENSG00000129467.12	14	24318349	24335093	17200000	q
350	ADCY5	ENSG00000173175.13	3	123282296	123449090	90900000	q
351	ADCY6	ENSG00000174233.10	12	48766194	48789089	35500000	q
352	ADCY7	ENSG00000121281.11	16	50246137	50318135	36800000	q
353	ADCY8	ENSG00000155897.8	8	130780301	131040909	45200000	q
354	ADCY9	ENSG00000162104.8	16	3953387	4116442	36800000	p
355	ADCYAP1	ENSG00000141433.11	18	904871	912172	18500000	p
356	ADCYAP1R1	ENSG00000078549.13	7	31052308	31111479	60100000	p
357	ADD1	ENSG00000087274.15	4	2843844	2930076	50000000	p
358	ADD2	ENSG00000075340.21	2	70607618	70768225	93900000	p
359	ADD3	ENSG00000148700.12	10	109996368	110135565	39800000	q
360	ADGB	ENSG00000118492.15	6	146598967	146815462	59800000	q
361	ADH1A	ENSG00000187758.6	4	99276369	99291003	50000000	q
362	ADH1B	ENSG00000196616.11	4	99304971	99352760	50000000	q
363	ADH1C	ENSG00000248144.4	4	99336497	99352746	50000000	q
364	ADH4	ENSG00000198099.7	4	99123657	99157792	50000000	q
365	ADH5	ENSG00000197894.9	4	99070978	99088801	50000000	q
366	ADH6	ENSG00000172955.16	4	99202638	99219537	50000000	q
367	ADH7	ENSG00000196344.10	4	99412261	99435510	50000000	q
368	ADHFE1	ENSG00000147576.14	8	66432492	66468907	45200000	q
369	ADI1	ENSG00000182551.12	2	3497366	3519531	93900000	p
370	ADIG	ENSG00000182035.10	20	38581195	38588463	28100000	q
371	ADIPOQ	ENSG00000181092.8	3	186842704	186858463	90900000	q
372	ADIPOR1	ENSG00000159346.11	1	202940826	202958572	123400000	q
373	ADIPOR2	ENSG00000006831.9	12	1688574	1788674	35500000	p
374	ADIRF	ENSG00000148671.12	10	86968432	86983934	39800000	q
375	ADK	ENSG00000156110.12	10	74151202	74709963	39800000	q
376	ADM	ENSG00000148926.8	11	10305073	10307397	53400000	p
377	ADM2	ENSG00000128165.8	22	50481543	50486440	15000000	q
378	ADM5	ENSG00000224420.3	19	49688664	49690575	26200000	q
379	ADNP	ENSG00000101126.14	20	50888916	50931437	28100000	q
380	ADNP2	ENSG00000101544.7	18	80109262	80147523	18500000	q
381	ADO	ENSG00000181915.4	10	62804720	62808479	39800000	q
382	ADORA1	ENSG00000163485.14	1	203090654	203167405	123400000	q
383	ADORA2A	ENSG00000128271.18	22	24417879	24442357	15000000	q
384	ADORA2B	ENSG00000170425.3	17	15945130	15975746	25100000	p
385	ADORA3	ENSG00000121933.16	1	111483348	111563962	123400000	p
386	ADPGK	ENSG00000159322.16	15	72751294	72785846	19000000	q
387	ADPRH	ENSG00000144843.10	3	119579268	119589945	90900000	q
388	ADPRHL1	ENSG00000153531.11	13	113399610	113453524	17700000	q
389	ADPRHL2	ENSG00000116863.10	1	36088892	36093932	123400000	p
390	ADPRM	ENSG00000170222.11	17	10697594	10711558	25100000	p
391	ADRA1A	ENSG00000120907.16	8	26748150	26867278	45200000	p
392	ADRA1B	ENSG00000170214.3	5	159865080	159973012	48800000	q
393	ADRA1D	ENSG00000171873.7	20	4220630	4249287	28100000	p
394	ADRA2A	ENSG00000150594.6	10	111077029	111080907	39800000	q
