,index,gain,neutral,loss,chromo,location
49,ABCA4,4,56,48,1.0,94056991.0
50,ABCA5,60,42,6,17.0,69285777.5
51,ABCA6,59,42,7,17.0,69110298.5
52,ABCA7,31,48,29,19.0,1052784.5
53,ABCA8,57,45,6,17.0,68911340.5
54,ABCA9,59,42,7,17.0,69017718.5
55,ABCA9-AS1,58,44,6,17.0,68993657.5
56,ABCB1,54,50,4,7.0,87608170.0
57,ABCB10,51,47,10,1.0,229537644.5
58,ABCB11,40,61,7,2.0,168973411.0
59,ABCB4,54,50,4,7.0,87441066.0
60,ABCB5,53,39,16,7.0,20696122.5
61,ABCB6,20,59,29,2.0,219214383.0
62,ABCB7,6,18,84,,
63,ABCB8,37,54,17,7.0,151038102.0
64,ABCB9,24,70,14,12.0,122951300.0
65,ABCC1,23,62,23,16.0,16046325.5
66,ABCC10,42,52,14,6.0,43438896.5
67,ABCC11,17,52,39,16.0,48207239.0
68,ABCC12,17,52,39,16.0,48118512.0
69,ABCC13,20,48,40,21.0,14299480.0
70,ABCC2,5,57,46,10.0,99817617.0
71,ABCC3,49,53,6,17.0,50663515.0
72,ABCC4,13,36,59,13.0,95160655.0
73,ABCC5,98,9,1,3.0,183968936.5
74,ABCC5-AS1,98,9,1,3.0,184008878.5
75,ABCC6,23,62,23,16.0,16186225.0
76,ABCC6P1,23,62,23,16.0,18584745.0
77,ABCC6P2,23,62,23,16.0,14822747.0
78,ABCC8,24,51,33,11.0,17434688.5
79,ABCC9,66,37,5,12.0,21869965.0
80,ABCD1,9,16,83,,
81,ABCD2,40,61,7,12.0,39584918.0
82,ABCD3,3,55,50,1.0,94468527.5
83,ABCD4,32,43,33,14.0,74294162.0
84,ABCE1,6,41,61,4.0,145113906.0
85,ABCF1,33,53,22,6.0,30584286.0
86,ABCF2,34,56,18,7.0,151217501.5
87,ABCF3,98,9,1,3.0,184190017.5
88,ABCG1,5,55,48,21.0,42248466.5
89,ABCG2,6,47,55,4.0,88160889.0
90,ABCG4,21,58,29,11.0,119155852.5
91,ABCG5,68,39,1,2.0,43825668.5
92,ABCG8,68,39,1,2.0,43857465.0
93,ABHD1,67,40,1,2.0,27127300.5
94,ABHD10,62,35,11,3.0,111986189.0
95,ABHD11,46,51,11,7.0,73737480.5
96,ABHD11-AS1,46,51,11,7.0,73735598.0
97,ABHD12,55,42,11,20.0,25342788.5
98,ABHD12B,32,43,33,14.0,50888511.5
99,ABHD13,17,37,54,13.0,108226317.5
100,ABHD14A,3,16,89,3.0,51976312.5
101,ABHD14A-ACY1,3,16,89,3.0,51981944.5
102,ABHD14B,3,16,89,3.0,51975959.5
103,ABHD15,46,42,20,17.0,29563792.0
104,ABHD16A,32,53,23,6.0,31695155.5
105,ABHD16B,57,39,12,20.0,63862243.0
106,ABHD17A,26,51,31,19.0,1881178.5
107,ABHD17B,18,36,54,9.0,71886691.5
108,ABHD17C,28,58,22,15.0,80717652.5
109,ABHD18,5,44,59,4.0,128002616.5
110,ABHD2,31,58,19,15.0,89144907.0
111,ABHD3,39,48,21,18.0,21677840.5
112,ABHD4,36,39,33,14.0,22605726.0
113,ABHD5,5,19,84,3.0,43712239.5
114,ABHD6,3,14,91,3.0,58266612.5
115,ABHD8,26,48,34,19.0,17301183.5
116,ABI1,30,48,30,10.0,26803840.0
117,ABI2,36,58,14,2.0,203387983.5
118,ABI3,48,54,6,17.0,49216818.0
119,ABI3BP,66,31,11,3.0,100871335.5
120,ABL1,18,38,52,9.0,130800345.5
121,ABL2,56,45,7,1.0,179164507.0
122,ABLIM1,12,56,40,10.0,114599587.0
123,ABLIM2,9,35,64,4.0,8062071.0
124,ABLIM3,6,28,74,5.0,149201012.5
125,ABO,17,38,53,9.0,133263212.5
126,ABR,19,24,65,17.0,1116628.0
127,ABRA,71,34,3,8.0,106764863.5
128,ABRACL,18,58,32,6.0,139036023.5
129,ABT1,34,55,19,6.0,26598846.0
130,ABTB1,69,33,6,3.0,127676930.5
131,ABTB2,23,59,26,11.0,34254498.5
132,ACAA1,5,20,83,3.0,38120185.5
133,ACAA2,19,44,45,18.0,49798058.5
134,ACACA,43,50,15,17.0,37245914.0
135,ACACB,28,68,12,12.0,109192410.5
136,ACAD10,29,67,12,12.0,111721581.5
137,ACAD11,74,29,5,3.0,132609110.0
138,ACAD8,21,50,37,11.0,134259675.0
139,ACAD9,69,34,5,3.0,128897831.5
140,ACADL,26,60,22,2.0,210206286.5
141,ACADM,6,57,45,1.0,75755961.0
142,ACADS,27,67,14,12.0,120732891.0
143,ACADSB,12,58,38,10.0,123033634.5
144,ACADVL,14,29,65,17.0,7221195.5
145,ACAN,31,58,19,15.0,88839395.0
146,ACAP1,15,27,66,17.0,7344003.0
147,ACAP2,97,11,0,3.0,195358894.5
148,ACAP3,37,36,35,1.0,1300999.5
149,ACAT1,19,58,31,11.0,108132149.0
150,ACAT2,16,60,32,6.0,159770578.5
151,ACBD3,53,45,10,1.0,226165710.0
152,ACBD4,46,53,9,17.0,45138390.5
153,ACBD5,30,48,30,10.0,27218672.0
154,ACBD6,58,43,7,1.0,180386303.5
155,ACBD7,26,50,32,10.0,15082125.5
156,ACCS,22,62,24,11.0,44075081.0
157,ACCSL,22,62,24,11.0,44053979.0
158,ACD,23,49,36,16.0,67659163.5
159,ACE,57,45,6,17.0,63487720.5
160,ACE2,4,15,89,,
161,ACER1,19,49,40,19.0,6319877.0
162,ACER2,10,24,74,9.0,19430757.0
163,ACER3,31,60,17,11.0,76943832.0
164,ACHE,51,50,7,7.0,100893484.0
165,ACIN1,33,41,34,14.0,23077089.0
166,ACKR1,58,47,3,1.0,159204903.5
167,ACKR2,5,20,83,3.0,42846363.0
168,ACKR3,19,61,28,2.0,236575070.5
169,ACKR4,73,30,5,3.0,132608118.5
170,ACLY,44,51,13,17.0,41898729.5
171,ACMSD,34,67,7,2.0,134870325.0
172,ACO1,25,24,59,9.0,32419686.0
173,ACO2,46,44,18,22.0,41499053.0
174,ACOD1,7,40,61,13.0,76953574.5
175,ACOT1,29,45,34,14.0,73540469.5
176,ACOT11,7,65,36,1.0,54590724.5
177,ACOT12,5,23,80,5.0,81362087.5
178,ACOT13,38,53,17,6.0,24686050.0
179,ACOT2,29,45,34,14.0,73571639.0
180,ACOT4,29,45,34,14.0,73594101.0
181,ACOT6,29,45,34,14.0,73615416.5
182,ACOT7,14,51,43,1.0,6329330.0
183,ACOT8,51,45,12,20.0,45849563.0
184,ACOT9,4,14,90,,
185,ACOX1,60,44,4,17.0,75960342.0
186,ACOX2,4,13,91,3.0,58521209.5
187,ACOX3,9,35,64,4.0,8403502.5
188,ACOXL,45,59,4,2.0,110925397.5
189,ACP1,53,50,5,2.0,271211.5
190,ACP2,23,62,23,11.0,47244104.0
191,ACP5,19,51,38,19.0,11576834.0
192,ACP6,55,27,26,1.0,147650088.0
193,ACP7,58,37,13,19.0,39097703.0
194,ACPP,73,30,5,3.0,132342833.5
195,ACPT,34,47,27,,
196,ACR,47,42,19,22.0,50741767.5
197,ACRBP,61,40,7,12.0,6642754.0
198,ACRC,5,19,84,,
199,ACRV1,19,61,28,11.0,125676198.0
200,ACSBG1,27,58,23,15.0,78206578.0
201,ACSBG2,19,49,40,19.0,6164170.5
202,ACSF2,49,53,6,17.0,50450501.5
203,ACSF3,29,32,47,16.0,89126248.0
204,ACSL1,3,36,69,4.0,184791206.5
205,ACSL3,18,62,28,2.0,222902790.5
206,ACSL4,8,14,86,,
207,ACSL5,12,56,40,10.0,112401199.0
208,ACSL6,6,29,73,5.0,131981108.0
209,ACSM1,24,60,24,16.0,20661063.5
210,ACSM2A,23,61,24,16.0,20469565.0
211,ACSM2B,23,61,24,16.0,20556326.5
212,ACSM3,24,60,24,16.0,20703912.0
213,ACSM4,59,43,6,12.0,7316504.0
214,ACSM5,22,62,24,16.0,20425435.0
215,ACSM6,6,56,46,10.0,95211564.0
216,ACSS1,55,42,11,20.0,25032605.0
217,ACSS2,64,40,4,20.0,34900054.0
218,ACSS3,29,66,13,12.0,81098812.0
219,ACTA1,51,47,10,1.0,229432671.5
220,ACTA2,5,54,49,10.0,88963206.5
221,ACTA2-AS1,5,54,49,10.0,88936605.0
222,ACTB,56,38,14,7.0,5545466.0
223,ACTBL2,6,25,77,5.0,57481414.5
224,ACTC1,19,58,31,15.0,34792889.5
225,ACTG1,65,36,7,17.0,81516909.0
226,ACTG1P17,28,58,22,15.0,82732388.5
227,ACTG1P20,10,57,41,1.0,27325562.5
228,ACTG1P4,4,44,60,1.0,103570113.5
229,ACTG2,63,41,4,2.0,73906089.5
230,ACTL10,70,35,3,20.0,33667734.0
231,ACTL6A,100,8,0,3.0,179575646.5
232,ACTL6B,51,51,6,7.0,100649772.5
233,ACTL7A,19,36,53,9.0,108863011.0
234,ACTL7B,19,36,53,9.0,108855287.0
235,ACTL8,12,55,41,1.0,17791198.0
236,ACTL9,18,49,41,19.0,8698097.5
237,ACTN1,25,42,41,14.0,68926791.5
238,ACTN1-AS1,25,42,41,14.0,68983572.5
239,ACTN2,52,46,10,1.0,236714386.0
240,ACTN3,35,62,11,11.0,66554864.5
241,ACTN4,57,38,13,19.0,38689619.0
242,ACTR10,31,43,34,14.0,58217858.0
243,ACTR1A,6,55,47,10.0,102482296.5
244,ACTR1B,54,53,1,2.0,97659991.5
245,ACTR2,66,41,1,2.0,65249503.0
246,ACTR3,43,62,3,2.0,113926329.5
247,ACTR3B,31,57,20,7.0,152807563.5
248,ACTR3BP2,68,36,4,2.0,91941354.0
249,ACTR3BP5,27,51,30,10.0,38697163.0
250,ACTR3C,36,56,16,7.0,150283820.5
251,ACTR5,53,45,10,20.0,38760490.0
252,ACTR6,27,68,13,12.0,100220493.5
253,ACTR8,3,15,90,3.0,53874609.0
254,ACTRT1,7,16,85,,
255,ACTRT2,37,36,35,1.0,3022185.0
256,ACTRT3,100,8,0,3.0,169768241.0
257,ACVR1,32,67,9,2.0,157806387.0
258,ACVR1B,38,61,9,12.0,51974388.5
259,ACVR1C,32,67,9,2.0,157577815.5
260,ACVR2A,34,65,9,2.0,147887671.5
261,ACVR2B,5,20,83,3.0,38473516.0
262,ACVR2B-AS1,5,20,83,3.0,38452923.5
263,ACVRL1,38,61,9,12.0,51915134.5
264,ACY1,3,16,89,3.0,51986268.5
265,ACY3,38,57,13,11.0,67646642.5
266,ACYP1,29,45,34,14.0,75061360.0
267,ACYP2,71,36,1,2.0,54138069.0
268,ADA,52,45,11,20.0,44635877.5
269,ADAD1,4,47,57,4.0,122404384.0
270,ADAD2,19,42,47,16.0,84194153.0
271,ADAL,17,60,31,15.0,43342606.0
272,ADAM10,20,61,27,15.0,58669300.0
273,ADAM11,45,54,9,17.0,44770417.0
274,ADAM12,12,57,39,10.0,126200418.0
275,ADAM15,58,47,3,1.0,155056670.5
276,ADAM17,60,45,3,2.0,9522609.0
277,ADAM18,58,20,30,8.0,39657277.0
278,ADAM19,5,30,73,5.0,157485654.5
279,ADAM1A,29,66,13,12.0,111900327.0
280,ADAM2,56,24,28,8.0,39791012.0
281,ADAM20,27,45,36,14.0,70528686.5
282,ADAM20P1,27,45,36,14.0,70468658.0
283,ADAM21,27,45,36,14.0,70456039.5
284,ADAM21P1,27,45,36,14.0,70246646.0
285,ADAM22,54,50,4,7.0,88068516.0
286,ADAM23,33,60,15,2.0,206532329.5
287,ADAM28,11,22,75,8.0,24326541.5
288,ADAM29,3,38,67,4.0,174903924.0
289,ADAM30,20,47,41,1.0,119895024.0
290,ADAM32,61,23,24,8.0,39195953.5
291,ADAM33,52,48,8,20.0,3675105.5
292,ADAM3A,59,21,28,8.0,39486948.5
293,ADAM5,59,21,28,8.0,39365984.5
294,ADAM6,41,29,38,14.0,105970999.0
295,ADAM7,10,23,75,8.0,24483950.0
296,ADAM8,19,53,36,10.0,133269644.0
297,ADAM9,61,23,24,8.0,39051065.0
298,ADAMDEC1,11,22,75,8.0,24395149.0
299,ADAMTS1,10,58,40,21.0,26840582.0
300,ADAMTS10,18,48,42,19.0,8595487.5
301,ADAMTS12,87,20,1,5.0,33707777.0
302,ADAMTS13,17,38,53,9.0,133436880.0
303,ADAMTS14,10,52,46,10.0,70717473.5
304,ADAMTS15,20,58,30,11.0,130462807.5
305,ADAMTS16,92,15,1,5.0,5230317.0
306,ADAMTS17,35,54,19,15.0,100156721.0
307,ADAMTS18,23,42,43,16.0,77341423.5
308,ADAMTS19,6,28,74,5.0,129599482.0
309,ADAMTS19-AS1,5,29,74,5.0,129442929.0
310,ADAMTS2,6,29,73,5.0,179228157.0
311,ADAMTS20,40,60,8,12.0,43453034.5
312,ADAMTS3,15,45,48,4.0,72425095.0
313,ADAMTS4,59,45,4,1.0,161191678.0
314,ADAMTS5,10,58,40,21.0,26942505.0
315,ADAMTS6,6,23,79,5.0,65315329.0
316,ADAMTS7,28,57,23,15.0,78785335.0
317,ADAMTS7P1,28,58,22,15.0,82316581.0
318,ADAMTS8,20,58,30,11.0,130416766.0
319,ADAMTS9,1,15,92,3.0,64601827.0
320,ADAMTS9-AS1,1,15,92,3.0,64577039.5
321,ADAMTS9-AS2,1,15,92,3.0,64869174.0
322,ADAMTSL1,14,22,72,9.0,18408756.5
323,ADAMTSL2,17,39,52,9.0,133553841.5
324,ADAMTSL3,30,56,22,15.0,83846965.0
325,ADAMTSL4,60,45,3,1.0,150555153.0
326,ADAMTSL4-AS1,60,45,3,1.0,150567377.0
327,ADAMTSL5,27,50,31,19.0,1509313.0
328,ADAP1,66,28,14,7.0,926653.5
329,ADAP2,44,45,19,17.0,30932833.0
330,ADAR,58,47,3,1.0,154605035.0
331,ADARB1,5,55,48,21.0,45150206.5
332,ADARB2,27,46,35,10.0,1457419.0
333,ADARB2-AS1,26,47,35,10.0,1541810.5
334,ADAT1,25,44,39,16.0,75610140.5
335,ADAT2,17,60,31,6.0,143436763.5
336,ADAT3,26,50,32,19.0,1909423.0
337,ADCK1,30,43,35,14.0,77867561.5
338,ADCK2,41,52,15,7.0,140684603.0
339,ADCK5,71,28,9,8.0,144383171.5
340,ADCY1,50,39,19,7.0,45648628.0
341,ADCY10,57,46,5,1.0,167861800.5
342,ADCY10P1,39,52,17,6.0,41120928.5
343,ADCY2,92,15,1,5.0,7613109.5
344,ADCY3,66,40,2,2.0,24869504.0
345,ADCY4,32,41,35,14.0,24326721.0
346,ADCY5,68,35,5,3.0,123366027.0
347,ADCY6,42,59,7,12.0,48777615.5
348,ADCY7,17,53,38,16.0,50282136.0
349,ADCY8,80,22,6,8.0,130910605.0
350,ADCY9,20,64,24,16.0,4034914.5
351,ADCYAP1,40,49,19,18.0,908521.5
352,ADCYAP1R1,52,40,16,7.0,31081970.0
353,ADD1,8,38,62,4.0,2886966.5
354,ADD2,65,40,3,2.0,70687921.5
355,ADD3,10,55,43,10.0,110065966.5
356,ADD3-AS1,11,54,43,10.0,109974242.5
357,ADGB,16,60,32,6.0,146707214.5
358,ADGRA1,20,52,36,10.0,133101302.0
359,ADGRA1-AS1,20,52,36,10.0,133085782.0
360,ADGRA2,50,27,31,8.0,37814543.5
361,ADGRA3,6,39,63,4.0,22430568.5
362,ADGRB1,78,26,4,8.0,142497219.5
363,ADGRB2,13,61,34,1.0,31746005.0
364,ADGRB3,28,60,20,6.0,69012394.0
365,ADGRD1,26,66,16,12.0,131047688.0
366,ADGRE1,18,49,41,19.0,6914012.5
367,ADGRE2,23,49,36,19.0,14755476.0
368,ADGRE3,23,49,36,19.0,14654572.0
369,ADGRE4P,18,49,41,19.0,6975186.0
370,ADGRE5,24,47,37,19.0,14394613.0
371,ADGRF1,38,54,16,6.0,47020029.0
372,ADGRF2,38,54,16,6.0,47677116.5
373,ADGRF3,67,40,1,2.0,26327495.0
374,ADGRF4,38,54,16,6.0,47703942.5
375,ADGRF5,39,54,15,6.0,46903732.5
376,ADGRG1,19,52,37,16.0,57638116.0
377,ADGRG2,4,15,89,,
378,ADGRG3,19,52,37,16.0,57678827.5
379,ADGRG4,7,17,84,,
380,ADGRG5,19,52,37,16.0,57567162.0
381,ADGRG6,18,58,32,6.0,142374060.0
382,ADGRG7,65,32,11,3.0,100652540.0
383,ADGRL1,22,48,38,19.0,14176965.0
384,ADGRL2,5,57,46,1.0,81649298.0
385,ADGRL3,13,43,52,4.0,61639796.5
386,ADGRL3-AS1,13,46,49,4.0,62118653.0
387,ADGRL4,4,58,46,1.0,79085944.0
388,ADGRV1,3,25,80,5.0,90846890.5
389,ADH1A,5,44,59,4.0,99283686.0
390,ADH1B,5,44,59,4.0,99328865.5
391,ADH1C,5,44,59,4.0,99344621.5
392,ADH4,5,44,59,4.0,99140724.5
393,ADH5,5,44,59,4.0,99079889.5
394,ADH6,5,44,59,4.0,99211087.5
395,ADH7,5,44,59,4.0,99423999.0
396,ADHFE1,56,39,13,8.0,66450699.5
397,ADI1,53,51,4,2.0,3508448.5
398,ADIG,53,45,10,20.0,38584829.0
399,ADIPOQ,97,10,1,3.0,186850583.5
400,ADIPOQ-AS1,97,10,1,3.0,186854004.5
401,ADIPOR1,53,50,5,1.0,202949699.0
402,ADIPOR2,59,42,7,12.0,1738624.0
403,ADIRF,5,52,51,10.0,86976183.0
404,ADK,12,51,45,10.0,74430582.5
405,ADM,16,55,37,11.0,10306235.0
406,ADM2,47,42,19,22.0,50483991.5
407,ADM5,36,46,26,19.0,49689619.5
408,ADNP,51,47,10,20.0,50910176.5
409,ADNP-AS1,51,47,10,20.0,50938066.0
410,ADNP2,20,38,50,18.0,80128392.5
411,ADO,12,52,44,10.0,62806599.5
412,ADORA1,54,49,5,1.0,203129029.5
413,ADORA2A,55,43,10,22.0,24430118.0
414,ADORA2A-AS1,55,43,10,22.0,24462140.0
415,ADORA2B,16,29,63,17.0,15960331.5
416,ADORA3,5,44,59,1.0,111501531.0
417,ADPGK,23,62,23,15.0,72768607.5
418,ADPGK-AS1,23,62,23,15.0,72790517.0
419,ADPRH,67,35,6,3.0,119584606.5
420,ADPRHL1,16,36,56,13.0,113426567.0
421,ADPRHL2,15,63,30,1.0,36091412.0
422,ADPRM,14,27,67,17.0,10704576.0
423,ADRA1A,9,24,75,8.0,26807714.0
424,ADRA1B,5,30,73,5.0,159919046.0
425,ADRA1D,52,49,7,20.0,4234958.5
426,ADRA2A,10,57,41,10.0,111078968.0
427,ADRA2B,54,53,1,2.0,96114723.5
428,ADRA2C,9,35,64,4.0,3767437.0
429,ADRB1,12,56,40,10.0,114045385.0
430,ADRB2,5,29,74,5.0,148826966.0
431,ADRB3,52,26,30,8.0,37964794.5
432,ADRM1,60,37,11,20.0,62305477.5
433,ADSL,49,46,13,22.0,40368481.5
434,ADSS,53,47,8,,
435,ADSSL1,36,40,32,,
436,ADTRP,35,56,17,6.0,11759550.0
437,AEBP1,50,39,19,7.0,44109453.5
438,AEBP2,66,39,3,12.0,19562423.0
439,AEN,31,57,20,15.0,88626809.0
440,AES,15,54,39,,
441,AFAP1,9,36,63,4.0,7849320.0
442,AFAP1-AS1,9,36,63,4.0,7766502.5
443,AFAP1L1,6,28,74,5.0,149307748.0
444,AFAP1L2,12,56,40,10.0,114349790.0
445,AFDN,19,61,28,6.0,167899472.5
446,AFDN-AS1,19,61,28,,
447,AFF1,7,45,56,4.0,87038028.0
448,AFF2,10,15,83,,
449,AFF3,48,59,1,2.0,99868923.5
450,AFF4,6,29,73,5.0,132919514.5
451,AFG3L1P,26,39,43,16.0,89987373.5
452,AFG3L2,33,52,23,18.0,12353085.5
453,AFM,15,45,48,4.0,73492873.0
454,AFMID,58,42,8,17.0,78197509.0
455,AFP,15,45,48,4.0,73443656.0
456,AFTPH,66,42,0,2.0,64558655.0
457,AGA,4,37,67,4.0,177436605.5
458,AGAP1,20,58,30,2.0,235812921.5
459,AGAP1-IT1,19,61,28,2.0,235506658.5
460,AGAP11,5,52,51,10.0,86990433.5
461,AGAP12P,18,49,41,10.0,48020756.5
462,AGAP2,40,59,9,12.0,57732959.0
463,AGAP2-AS1,40,59,9,12.0,57727313.5
464,AGAP3,42,47,19,7.0,151115133.5
465,AGAP4,19,51,38,10.0,45839734.5
466,AGAP5,12,52,44,10.0,73686222.0
467,AGAP6,19,49,40,10.0,49996344.5
468,AGAP7P,20,48,40,10.0,46120489.5
469,AGAP9,18,49,41,10.0,47512746.0
470,AGBL1,31,57,20,15.0,86554512.5
471,AGBL1-AS1,30,59,19,15.0,86306411.0
472,AGBL2,23,63,22,11.0,47687490.0
473,AGBL3,40,53,15,7.0,135067235.5
474,AGBL4,9,66,33,1.0,49278404.0
475,AGBL4-IT1,9,66,33,1.0,49423143.0
476,AGBL5,67,40,1,2.0,27056493.0
477,AGBL5-AS1,67,40,1,2.0,27049973.5
478,AGER,32,53,23,6.0,32182645.0
479,AGFG1,17,60,31,2.0,227516683.0
480,AGFG2,51,51,6,7.0,100553711.5
481,AGGF1,3,24,81,5.0,77047242.5
482,AGK,40,53,15,7.0,141603261.0
483,AGL,5,50,53,1.0,99887192.0
484,AGMAT,13,53,42,1.0,15578375.0
485,AGMO,55,38,15,7.0,15381166.0
486,AGO1,14,64,30,1.0,35900170.0
487,AGO2,78,25,5,8.0,140577894.5
488,AGO3,15,63,30,1.0,36001609.0
489,AGO4,14,64,30,1.0,35832953.0
490,AGPAT1,32,53,23,6.0,32173154.0
491,AGPAT2,32,36,40,9.0,136680300.0
492,AGPAT3,7,52,49,21.0,43926407.5
493,AGPAT4,17,60,31,6.0,161202014.0
494,AGPAT4-IT1,16,61,31,,
495,AGPAT5,10,24,74,8.0,6735072.5
496,AGPS,46,56,6,2.0,177476028.0
497,AGR2,57,36,15,7.0,16812622.0
498,AGR3,57,36,15,7.0,16870699.5
499,AGRN,37,36,35,1.0,1038119.0
500,AGRP,23,49,36,16.0,67483192.0
501,AGT,51,47,10,1.0,230708322.5
502,AGTPBP1,20,35,53,9.0,85644284.0
503,AGTR1,89,17,2,3.0,148720396.0
504,AGTR2,6,16,86,,
505,AGTRAP,13,54,41,1.0,11745443.0
506,AGXT,20,63,25,2.0,240874663.0
507,AGXT2,91,17,0,5.0,35023118.0
508,AHCTF1,52,47,9,1.0,246885532.5
509,AHCTF1P1,33,66,9,,
510,AHCY,68,36,4,20.0,34296035.0
511,AHCYL1,5,44,59,1.0,110004253.5
512,AHCYL2,39,55,14,7.0,129327617.0
513,AHDC1,12,55,41,1.0,27569233.0
514,AHI1,19,58,31,6.0,135390648.5
515,AHNAK,28,67,13,11.0,62494888.5
516,AHNAK2,35,39,34,14.0,104957809.0
517,AHR,57,36,15,7.0,17131255.5
518,AHRR,91,15,2,5.0,354980.5
519,AHSA1,30,44,34,14.0,77463671.0
520,AHSA2,70,38,0,,
521,AHSG,98,9,1,3.0,186617189.0
522,AHSP,27,62,19,16.0,31528351.5
523,AICDA,59,43,6,12.0,8607518.5
524,AIDA,51,47,10,1.0,222690611.5
525,AIF1,32,53,23,6.0,31616119.0
526,AIF1L,18,39,51,9.0,131109814.0
527,AIFM1,8,16,84,,
528,AIFM2,10,52,46,10.0,70115578.5
529,AIFM3,58,39,11,22.0,20973234.0
530,AIG1,17,60,31,6.0,143200777.0
531,AIM1,18,60,30,,
532,AIM1L,10,56,42,,
533,AIM2,58,47,3,1.0,159104790.0
534,AIMP1,3,48,57,4.0,106332500.0
535,AIMP2,55,38,15,7.0,6016544.5
536,AIP,36,59,13,11.0,67487064.5
537,AIPL1,13,30,65,17.0,6414446.0
538,AIRE,12,48,48,21.0,44292243.0
539,AIRN,16,61,31,6.0,160005477.5
540,AJAP1,13,53,42,1.0,4723571.5
541,AJUBA,33,41,34,14.0,22976864.0
542,AK1,18,38,52,9.0,127872080.5
543,AK2,15,62,31,1.0,33044468.0
544,AK3,17,19,72,9.0,4725799.5
545,AK4,6,60,42,1.0,65189847.0
546,AK5,5,58,45,1.0,77420992.5
547,AK6,6,22,80,5.0,69360498.5
548,AK7,32,43,33,14.0,96440777.5
549,AK8,18,38,52,9.0,132802177.5
550,AK9,18,60,30,6.0,109592036.5
551,AKAIN1,34,55,19,18.0,5170207.0
552,AKAP1,48,51,9,17.0,57103219.0
553,AKAP10,20,27,61,17.0,19941322.5
554,AKAP11,8,28,72,13.0,42297706.5
555,AKAP12,17,59,32,6.0,151299263.0
556,AKAP13,30,57,21,15.0,85564964.5
557,AKAP14,7,16,85,,
558,AKAP17A|chrX,8,11,89,,
559,AKAP17A|chrY,1,6,101,,
560,AKAP2,19,36,53,,
561,AKAP3,59,42,7,12.0,4632279.5
562,AKAP4,3,17,88,,
563,AKAP5,28,43,37,14.0,64470001.0
564,AKAP6,35,37,36,14.0,32583491.0
565,AKAP7,21,57,30,6.0,131209501.0
566,AKAP8,24,48,36,19.0,15366591.5
567,AKAP8L,24,48,36,19.0,15399595.5
568,AKAP9,55,49,4,7.0,92025770.0
569,AKIP1,16,53,39,11.0,8915611.5
570,AKIRIN1,15,65,28,1.0,38998667.5
571,AKIRIN2,20,63,25,6.0,87688546.5
572,AKNA,18,35,55,9.0,114364280.5
573,AKNAD1,4,46,58,1.0,108889691.0
574,AKR1A1,13,67,28,1.0,45560296.0
575,AKR1B1,39,54,15,7.0,134450820.0
576,AKR1B10,40,53,15,7.0,134534489.5
577,AKR1B15,40,53,15,7.0,134564492.5
578,AKR1C1,30,46,32,10.0,4973268.0
579,AKR1C2,31,45,32,10.0,5002715.5
580,AKR1C3,32,45,31,10.0,5071520.0
581,AKR1C4,31,46,31,10.0,5207205.5
582,AKR1C6P,30,46,32,10.0,4881938.0
583,AKR1C8P,31,46,31,10.0,5169663.5
