Name	brca_Database_ID	luad_Database_ID	lscc_Database_ID	ovarian_Database_ID	brca_pvalue	hnscc_pvalue	lscc_pvalue	luad_pvalue	ovarian_pvalue	brca_diff	hnscc_diff	lscc_diff	luad_diff	ovarian_diff
MRPS30	NP_057724.2	NP_057724.2	NP_057724.2	NP_057724	0.0630013416656332	0.06223540007890468	0.014844888393170526	0.0618664503648209	0.512390531347676	0.4701513605442177	0.10749695274883209	0.4067339488636364	0.3770474505327245	0.12722937054051178
MTMR12	NP_001035536.1|NP_001281272.1|NP_001281273.1	NP_001035536.1|NP_001281272.1|NP_001281273.1	NP_001035536.1|NP_001281272.1|NP_001281273.1	NP_001035536	0.2047598138775631	8.840323140844404e-05	4.635799526495186e-05	1.9286327298201313e-05	0.17342074784081515	0.26854532312925167	0.24127827253024137	0.6317176136363636	0.7765932648401825	0.23466258868869938
MTRR	NP_076915.2|NP_002445.2	NP_001351369.1	NP_001351369.1		0.016448628703026297	0.107665085744799	0.006736022133885988	0.0003171739360165454		0.7011293367346939	0.15285416751915193	0.6405588068181818	0.9805724885844749	
MYO10	NP_036466.2	NP_036466.2	NP_036466.2	NP_036466	0.018741007007563964	0.00011761522433582051	0.00034434709019427366	0.002854809029992734	0.95729225007141	0.7496695578231293	0.304309504277537	0.8213911931818183	0.5828492770167428	-0.013003586947761192
NADK2	NP_001078880.1|NP_001274269.1	NP_001078880.1|NP_001274269.1|NP_001274270.1	NP_001078880.1|NP_001274269.1|NP_001274270.1	NP_001078880	0.011594408352675122	7.380495442354445e-08	0.0007780491225537082	4.5163080674668016e-06	0.2669224067145348	0.728216156462585	0.4251375692699	0.8345313920454545	0.9549915144596651	0.18254302305650322
NDUFS6	NP_004544.1	NP_004544.1	NP_004544.1	NP_004544	0.3051994606969921	0.6879562295624856	0.654421575135781	0.8169552736025825	0.5117216944637019	-0.30040646258503406	-0.04656729750526267	-0.08903778409090904	-0.040210083713850764	0.14186479364072493
NIPBL	NP_597677.2|NP_056199.2		NP_597677.2|NP_056199.2	NP_597677	0.00013400126541684214	6.243528264206099e-07	0.0018291423313196622		0.8746724758443389	0.6057752551020409	0.28681603116388743	0.43185795454545456		0.020475639252665254
NIPBL	NP_597677.2|NP_056199.2		NP_597677.2|NP_056199.2	NP_056199	0.00013400126541684214	6.243528264206099e-07	0.0018291423313196622		0.8836568100942197	0.6057752551020409	0.28681603116388743	0.43185795454545456		0.016502973875266523
NNT	NP_036475.3	NP_036475.3	NP_001317955.1	NP_036475	0.0006794588946800242	0.16238614684133978	0.0012456194760012973	1.409947479764233e-05	0.6095047289135955	1.5328550170068027	0.17940403425193097	0.8666785511363637	1.5511888127853881	0.08232802078891255
NNT	NP_036475.3	NP_036475.3	NP_001317955.1	NP_001317955	0.0006794588946800242	0.16238614684133978	0.0012456194760012973	1.409947479764233e-05	0.6095047289135955	1.5328550170068027	0.17940403425193097	0.8666785511363637	1.5511888127853881	0.07695339219936034
NNT	NP_036475.3	NP_001317955.1	NP_001317955.1	NP_036475	0.0006794588946800242	0.16238614684133978	0.0012456194760012973	0.00011347617953740622	0.6095047289135955	1.5328550170068027	0.17940403425193097	0.8666785511363637	1.933081659056317	0.08232802078891255
NNT	NP_036475.3	NP_001317955.1	NP_001317955.1	NP_001317955	0.0006794588946800242	0.16238614684133978	0.0012456194760012973	0.00011347617953740622	0.6095047289135955	1.5328550170068027	0.17940403425193097	0.8666785511363637	1.933081659056317	0.07695339219936034
NNT	NP_036475.3	NP_036475.3	NP_036475.3	NP_036475	0.0006794588946800242	0.16238614684133978	0.0018291423313196622	1.409947479764233e-05	0.6095047289135955	1.5328550170068027	0.17940403425193097	0.7965796875	1.5511888127853881	0.08232802078891255
NNT	NP_036475.3	NP_036475.3	NP_036475.3	NP_001317955	0.0006794588946800242	0.16238614684133978	0.0018291423313196622	1.409947479764233e-05	0.6095047289135955	1.5328550170068027	0.17940403425193097	0.7965796875	1.5511888127853881	0.07695339219936034
NNT	NP_036475.3	NP_001317955.1	NP_036475.3	NP_036475	0.0006794588946800242	0.16238614684133978	0.0018291423313196622	0.00011347617953740622	0.6095047289135955	1.5328550170068027	0.17940403425193097	0.7965796875	1.933081659056317	0.08232802078891255
NNT	NP_036475.3	NP_001317955.1	NP_036475.3	NP_001317955	0.0006794588946800242	0.16238614684133978	0.0018291423313196622	0.00011347617953740622	0.6095047289135955	1.5328550170068027	0.17940403425193097	0.7965796875	1.933081659056317	0.07695339219936034
NNT	NP_001317955.1	NP_036475.3	NP_001317955.1	NP_036475	0.0009567329638275373	0.16238614684133978	0.0012456194760012973	1.409947479764233e-05	0.6095047289135955	1.2821001700680272	0.17940403425193097	0.8666785511363637	1.5511888127853881	0.08232802078891255
NNT	NP_001317955.1	NP_036475.3	NP_001317955.1	NP_001317955	0.0009567329638275373	0.16238614684133978	0.0012456194760012973	1.409947479764233e-05	0.6095047289135955	1.2821001700680272	0.17940403425193097	0.8666785511363637	1.5511888127853881	0.07695339219936034
NNT	NP_001317955.1	NP_001317955.1	NP_001317955.1	NP_036475	0.0009567329638275373	0.16238614684133978	0.0012456194760012973	0.00011347617953740622	0.6095047289135955	1.2821001700680272	0.17940403425193097	0.8666785511363637	1.933081659056317	0.08232802078891255
NNT	NP_001317955.1	NP_001317955.1	NP_001317955.1	NP_001317955	0.0009567329638275373	0.16238614684133978	0.0012456194760012973	0.00011347617953740622	0.6095047289135955	1.2821001700680272	0.17940403425193097	0.8666785511363637	1.933081659056317	0.07695339219936034
NNT	NP_001317955.1	NP_036475.3	NP_036475.3	NP_036475	0.0009567329638275373	0.16238614684133978	0.0018291423313196622	1.409947479764233e-05	0.6095047289135955	1.2821001700680272	0.17940403425193097	0.7965796875	1.5511888127853881	0.08232802078891255
NNT	NP_001317955.1	NP_036475.3	NP_036475.3	NP_001317955	0.0009567329638275373	0.16238614684133978	0.0018291423313196622	1.409947479764233e-05	0.6095047289135955	1.2821001700680272	0.17940403425193097	0.7965796875	1.5511888127853881	0.07695339219936034
NNT	NP_001317955.1	NP_001317955.1	NP_036475.3	NP_036475	0.0009567329638275373	0.16238614684133978	0.0018291423313196622	0.00011347617953740622	0.6095047289135955	1.2821001700680272	0.17940403425193097	0.7965796875	1.933081659056317	0.08232802078891255
NNT	NP_001317955.1	NP_001317955.1	NP_036475.3	NP_001317955	0.0009567329638275373	0.16238614684133978	0.0018291423313196622	0.00011347617953740622	0.6095047289135955	1.2821001700680272	0.17940403425193097	0.7965796875	1.933081659056317	0.07695339219936034
NSUN2	NP_060225.4|NP_001180384.1	NP_060225.4|NP_001180384.1	NP_060225.4|NP_001180384.1	NP_060225	1.479153008059752e-05	2.693918706841944e-12	1.0704170338380885e-07	1.4826771844952213e-08	0.04801348788453261	0.9244608843537414	0.45211722762931217	1.2148801136363636	1.3238901445966513	0.2968134496918976
OTULIN	NP_612357.4	NP_612357.4	NP_612357.4	NP_612357	0.0009849338911341655	6.243528264206099e-07	0.0005324725629734234	7.794625920878993e-08	0.6095047289135955	0.5275278061224489	0.2855271541342752	0.6437092329545455	1.0722791476407916	0.06414053289445631
OXCT1	NP_000427.1	NP_000427.1|NP_001351229.1|NP_001351228.1|NP_001351230.1|NP_001351231.1|NP_001351232.1	NP_000427.1|NP_001351229.1|NP_001351228.1|NP_001351230.1|NP_001351231.1|NP_001351232.1	NP_000427	0.5443153638837933	0.0034135003766081313	3.5459085483850705e-05	0.04079886703419208	0.36955315735668065	0.2809291666666666	0.30974831715444395	1.4182619318181815	0.9340702815829529	0.2473176662217484
PAIP1	NP_006442.2	NP_006442.2	NP_006442.2	NP_006442	5.1319747227011557e-05	4.056152525751649e-09	1.0704170338380885e-07	1.3560162864878589e-08	0.26685694577877894	0.7400794217687077	0.384522180711965	1.1720661931818182	1.0353060882800609	0.1698011942206823
PAIP1	NP_006442.2	NP_006442.2	NP_006442.2	NP_877590	5.1319747227011557e-05	4.056152525751649e-09	1.0704170338380885e-07	1.3560162864878589e-08	0.29893596306779746	0.7400794217687077	0.384522180711965	1.1720661931818182	1.0353060882800609	0.1635912439978678
PAIP1	NP_899152.1	NP_006442.2	NP_006442.2	NP_006442	0.15585981434299206	4.056152525751649e-09	1.0704170338380885e-07	1.3560162864878589e-08	0.26685694577877894	0.5413172619047619	0.384522180711965	1.1720661931818182	1.0353060882800609	0.1698011942206823
PAIP1	NP_899152.1	NP_006442.2	NP_006442.2	NP_877590	0.15585981434299206	4.056152525751649e-09	1.0704170338380885e-07	1.3560162864878589e-08	0.29893596306779746	0.5413172619047619	0.384522180711965	1.1720661931818182	1.0353060882800609	0.1635912439978678
PDCD6	NP_037364.1|NP_001254485.1|NP_001254487.1|NP_001254486.1|NP_001254488.1	NP_037364.1|NP_001254485.1|NP_001254487.1|NP_001254486.1|NP_001254488.1	NP_037364.1|NP_001254485.1|NP_001254487.1|NP_001254486.1|NP_001254488.1	NP_001254485	0.04455738749049302	1.2433128493285142e-12	0.000868656921949701	1.409947479764233e-05	0.4430369722873653	0.44552976190476185	0.3688717464804796	0.8068848011363636	0.849451293759513	0.1258523002665245
PDCD6	NP_037364.1|NP_001254485.1|NP_001254487.1|NP_001254486.1|NP_001254488.1	NP_037364.1|NP_001254485.1|NP_001254487.1|NP_001254486.1|NP_001254488.1	NP_037364.1|NP_001254485.1|NP_001254487.1|NP_001254486.1|NP_001254488.1	NP_037364	0.04455738749049302	1.2433128493285142e-12	0.000868656921949701	1.409947479764233e-05	0.4602897355769982	0.44552976190476185	0.3688717464804796	0.8068848011363636	0.849451293759513	0.11758241483049037
PRKAA1	NP_996790.3|NP_006242.5	NP_996790.3|NP_006242.5|NP_001341958.1|NP_001341964.1|NP_001341963.1	NP_996790.3|NP_006242.5|NP_001341958.1|NP_001341964.1|NP_001341963.1	NP_996790	0.9783039392702596	0.03758956288600364	0.0018169761588788138	0.4558642275656501	0.11335664487339038	-0.005563435374149675	0.0899957036729333	0.36810369318181824	0.12939109589041092	0.1537644640639659
RAD1	NP_002844.1	NP_002844.1	NP_002844.1	NP_002844	0.8276512837477089	0.009074073602788875	0.08859348927910404	0.001583490635471334	0.21595244163673866	0.05710246598639453	0.20184991999941104	0.23360752840909094	0.6091318112633182	0.26170824790724945
RAI14	NP_056392.2|NP_001138997.1|NP_001138995.1	NP_001138992.1|NP_001138997.1|NP_001138995.1	NP_001138992.1|NP_001138997.1|NP_001138995.1	NP_056392	0.47341936255644484	0.043203503325142625	0.15771457393367674	0.10860500689613528	0.6095047289135955	0.25476471088435365	0.17420636498043507	0.3132825284090909	0.31469086757990866	0.07220776335074627
RAI14	NP_056392.2|NP_001138997.1|NP_001138995.1	NP_001138992.1|NP_001138997.1|NP_001138995.1	NP_001138992.1|NP_001138997.1|NP_001138995.1	NP_001138994	0.47341936255644484	0.043203503325142625	0.15771457393367674	0.10860500689613528	0.6141807371323766	0.25476471088435365	0.17420636498043507	0.3132825284090909	0.31469086757990866	0.06996964890511728
RAI14	NP_056392.2|NP_001138997.1|NP_001138995.1	NP_001138992.1|NP_001138997.1|NP_001138995.1	NP_001138994.1	NP_056392	0.47341936255644484	0.043203503325142625	0.9966129985301109	0.10860500689613528	0.6095047289135955	0.25476471088435365	0.17420636498043507	0.0011292613636363913	0.31469086757990866	0.07220776335074627
RAI14	NP_056392.2|NP_001138997.1|NP_001138995.1	NP_001138992.1|NP_001138997.1|NP_001138995.1	NP_001138994.1	NP_001138994	0.47341936255644484	0.043203503325142625	0.9966129985301109	0.10860500689613528	0.6141807371323766	0.25476471088435365	0.17420636498043507	0.0011292613636363913	0.31469086757990866	0.06996964890511728
RAI14	NP_001138994.1	NP_001138992.1|NP_001138997.1|NP_001138995.1	NP_001138992.1|NP_001138997.1|NP_001138995.1	NP_056392	0.8191476629087694	0.043203503325142625	0.15771457393367674	0.10860500689613528	0.6095047289135955	-0.10765127551020409	0.17420636498043507	0.3132825284090909	0.31469086757990866	0.07220776335074627
RAI14	NP_001138994.1	NP_001138992.1|NP_001138997.1|NP_001138995.1	NP_001138992.1|NP_001138997.1|NP_001138995.1	NP_001138994	0.8191476629087694	0.043203503325142625	0.15771457393367674	0.10860500689613528	0.6141807371323766	-0.10765127551020409	0.17420636498043507	0.3132825284090909	0.31469086757990866	0.06996964890511728
RAI14	NP_001138994.1	NP_001138992.1|NP_001138997.1|NP_001138995.1	NP_001138994.1	NP_056392	0.8191476629087694	0.043203503325142625	0.9966129985301109	0.10860500689613528	0.6095047289135955	-0.10765127551020409	0.17420636498043507	0.0011292613636363913	0.31469086757990866	0.07220776335074627
RAI14	NP_001138994.1	NP_001138992.1|NP_001138997.1|NP_001138995.1	NP_001138994.1	NP_001138994	0.8191476629087694	0.043203503325142625	0.9966129985301109	0.10860500689613528	0.6141807371323766	-0.10765127551020409	0.17420636498043507	0.0011292613636363913	0.31469086757990866	0.06996964890511728
RICTOR	NP_001272368.1|NP_689969.2|NP_001272369.1	NP_001272368.1|NP_689969.2|NP_001272369.1	NP_001272368.1|NP_689969.2|NP_001272369.1	NP_001272368	0.0007226311575305543	8.350943507544872e-05	4.635799526495186e-05	1.409947479764233e-05	0.6095047289135955	0.4569103741496599	0.18498138056346036	0.5387794034090909	0.6135706621004566	0.04536892252132198
RPL37	NP_000988.1		NP_000988.1	NP_000988	0.5443153638837933	0.6879562295624856	0.41126784140532313		0.4430369722873653	-0.4911480442176869	-0.111283085866134	-0.3652401988636363		0.1849837518422175
SDHA	NP_004159.2|NP_001317687.1|NP_001281261.1	NP_004159.2|NP_001317687.1|NP_001281261.1	NP_004159.2|NP_001317687.1|NP_001281261.1	NP_004159	0.11898944612246362	0.059026436598149226	0.000158000314280599	0.003712720915006815	0.8836568100942197	0.33507006802721084	0.13475442061083243	0.6559661931818181	0.4941314687975647	0.024876485124733505
SLC12A7	NP_006589.2	NP_006589.2	NP_006589.2	NP_006589	0.056297772352594415	0.08422422143993293	0.0667887823991675	0.06972081920673984	0.16395274017710085	0.6801900510204082	0.2479443116591078	0.5836437499999999	0.5705199391171994	0.2381166923400853
SUB1	NP_006704.3	NP_006704.3	NP_006704.3	NP_006704	0.3658465647397703	0.107665085744799	0.06035833730917041	0.001583490635471334	0.030191906540793404	0.4727704081632654	0.15592033828079366	0.47039076704545435	0.6974259512937593	0.4176217091513859
TPPP	NP_008961.1	NP_008961.1	NP_008961.1	NP_008961	0.9015863204200354	0.0012331175270001644	0.25353420513432157	0.4367013047784997	0.04801348788453261	0.09659498299319713	0.46606710687741426	0.48559218750000044	0.3782746194824962	0.7715793869584222
TRIO	NP_009049.2	NP_009049.2	NP_009049.2	NP_009049	0.011594408352675122	0.0005034957099490485	0.0009940645455549114	1.4854013085301953e-08	0.15502119703067	0.48555671768707487	0.21237250365452098	0.8527563920454544	1.06932298325723	0.1827321859466951
TRIP13	NP_004228.1|NP_001159732.1	NP_004228.1|NP_001159732.1	NP_004228.1|NP_001159732.1	NP_004228	0.0019619109034237	1.400119470327771e-09	1.4345932965100555e-06	0.0003046239579007942	0.17342074784081515	1.3708006802721089	0.648475495474564	1.6808801136363638	1.9155776636225266	0.34544980591577823
TTC33	NP_036514.1	NP_036514.1	NP_036514.1		0.4567280652241913	0.08951396983681786	0.006148775448268633	0.039278149691227414		0.2186094387755102	0.15961499297606352	0.6199960227272727	0.40070890410958904	
WDR70	NP_060504.1	NP_060504.1|NP_001332927.1|NP_001332928.1	NP_060504.1|NP_001332927.1|NP_001332928.1	NP_060504	0.0011950784489211926	3.247674947239832e-07	5.276015473500797e-07	1.550600569540096e-09	1.7731742779104052e-05	0.5375628401360544	0.33142749322031406	1.0843607954545456	0.9774291856925419	0.40426150339552236
ZFR	NP_057191.2	NP_057191.2	NP_057191.2	NP_057191	0.07478635557946474	3.018448699060361e-06	0.00022620047247651434	1.4826771844952213e-08	0.11825275985011269	0.2626501700680272	0.26690767914018565	0.4635232954545454	0.5466419330289194	0.16153307108848614
ZNF622	NP_219482.1	NP_219482.1	NP_219482.1	NP_219482	0.005130761681877603	2.9553506595812234e-06	0.004289447230089954	0.0015528157219648659	0.29893596306779746	0.5750613945578231	0.31667346255424533	0.5910683238636364	0.6909339421613394	0.19714168549466948
