cancer_type	protein	Database_ID	adj_p
brca	STMN4	NP_110422.2|NP_001269982.1|NP_001269983.1|NP_001269984.1	0.016400909702375042
brca	TDRP	NP_778250.2|NP_001243042.1	0.016400909702375042
brca	TNKS	NP_003738.2	0.10082116293977403
brca	TTI2	NP_001095871.1|NP_001317434.1	0.011296356448341273
brca	VPS37A	NP_689628.2|NP_001138624.1	0.8350563796316821
brca	WRN	NP_000544.2	0.7097754390852811
brca	XPO7	NP_055839.3	0.9825610794601655
colon	ADAMDEC1		0.1591975618169071
colon	AGPAT5		0.6310466407680742
colon	ARHGEF10		0.03893192673308385
colon	ASAH1		0.7002760944590513
colon	ATP6V1B2		0.9999817572048554
colon	BIN3		0.07082637000186813
colon	CHMP7		0.8412273606078015
colon	CLU		0.02901782829846976
colon	CNOT7		0.16616914788538883
colon	CTSB		0.5440622432616772
colon	DCTN6		0.3738665424490294
colon	DEFA3		0.05772096181559243
colon	DEFA4		0.02901782829846976
colon	DOCK5		0.6562890965085628
colon	DOK2		0.02901782829846976
colon	ERI1		0.5420390092340301
colon	FAM160B2		0.4136440193504481
colon	FDFT1		0.9999817572048554
colon	GSR		0.9999817572048554
colon	GTF2E2		0.12028641241970074
colon	KBTBD11		0.06587753856762091
colon	KCTD9		0.05006261958282962
colon	KIF13B		0.9999817572048554
colon	LOXL2		0.02901782829846976
colon	MAK16		0.2733068502102516
colon	MSR1		0.02901782829846976
colon	MSRA		0.3127120319719886
colon	MTMR9		0.03893192673308385
colon	NAT1		0.9999817572048554
colon	NEFL		0.09680395229411787
colon	NUDT18		0.17036010980353725
colon	PBK		0.1591975618169071
colon	PDLIM2		0.03893192673308385
colon	PINX1		0.5454426471919526
colon	POLR3D		0.02901782829846976
colon	PPP2CB		0.9999817572048554
colon	PPP2R2A		0.9999817572048554
colon	PPP3CC		0.1591975618169071
colon	R3HCC1		0.15541125457074156
colon	RBPMS		0.11010826155876093
colon	SARAF		0.1591975618169071
colon	SH2D4A		0.9999817572048554
colon	SLC39A14		0.9999817572048554
colon	SORBS3		0.02901782829846976
colon	TTI2		0.03893192673308385
colon	VPS37A		0.27310778373942546
colon	XPO7		0.9999817572048554
hnscc	ADAMDEC1		0.026655789019604248
hnscc	AGPAT5		0.9998799402067778
hnscc	ANGPT2		0.026655789019604248
hnscc	ARHGEF10		0.428447421177789
hnscc	ASAH1		0.2145237010021319
hnscc	ATP6V1B2		0.38633892505980605
hnscc	BIN3		0.022355461906620473
hnscc	BLK		0.13172825828220885
hnscc	BMP1		0.28914254747670864
hnscc	BNIP3L		0.026655789019604248
hnscc	CDCA2		0.09585309898701223
hnscc	CHMP7		0.9998799402067778
hnscc	CLU		0.022355461906620473
hnscc	CNOT7		0.9998799402067778
hnscc	CTSB		0.030648731565677913
hnscc	DCTN6		0.22081261384630338
hnscc	DEFA3		0.1023326479472882
hnscc	DEFA4		0.030648731565677913
hnscc	DLC1		0.3183875413447547
hnscc	DOCK5		0.28914254747670864
hnscc	DOK2		0.428447421177789
hnscc	ERI1		0.9998799402067778
hnscc	ERICH1		0.9998799402067778
hnscc	FAM160B2		0.33331874508330045
hnscc	FDFT1		0.3195527421982611
hnscc	GSR		0.22081261384630338
hnscc	GTF2E2		0.6698038240161194
hnscc	HMBOX1		0.1469935045529038
hnscc	KBTBD11		0.313226857068684
hnscc	KCTD9		0.028280993303090668
hnscc	KIF13B		0.9998799402067778
hnscc	LOXL2		0.07214622027330836
hnscc	LPL		0.022355461906620473
hnscc	LZTS1		0.022355461906620473
hnscc	MAK16		0.022355461906620473
hnscc	MFHAS1		0.026655789019604248
hnscc	MSR1		0.022355461906620473
hnscc	MSRA		0.8542189501059873
hnscc	MTMR9		0.30251061328698914
hnscc	MYOM2		0.022355461906620473
hnscc	NAT1		0.27348938312407167
hnscc	NEFL		0.09585309898701223
hnscc	NEIL2		0.35085344332300816
hnscc	NUDT18		0.027044265974442927
hnscc	PBK		0.1441389873808443
hnscc	PDGFRL		0.12213678946167918
hnscc	PDLIM2		0.27348938312407167
hnscc	PEBP4		0.1469935045529038
hnscc	PINX1		0.9998799402067778
hnscc	PNMA2		0.026655789019604248
hnscc	POLR3D		0.2080392943335931
hnscc	PPP2CB		0.8595885632692848
hnscc	PPP2R2A		0.9266393207795095
hnscc	PPP3CC		0.9998799402067778
hnscc	PSD3		0.046248829456673884
hnscc	R3HCC1		0.22958116611752774
hnscc	RBPMS		0.05985624248412814
hnscc	SARAF		0.33998784951045685
hnscc	SH2D4A		0.428447421177789
hnscc	SLC39A14		0.07214622027330836
hnscc	SLC7A2		0.04218536207917402
hnscc	SORBS3		0.4852858106992469
hnscc	STC1		0.09205804158800095
hnscc	TDRP		0.38633892505980605
hnscc	TNKS		0.08145378682037079
hnscc	TTI2		0.03804637692950062
hnscc	VPS37A		0.8405883481148495
hnscc	WRN		0.38633892505980605
hnscc	XPO7		0.9998799402067778
lscc	ADAMDEC1	NP_055294.1|NP_001138743.1	0.009818818554686845
lscc	AGPAT5	NP_060831.2	0.5022531811630584
lscc	ANGPT2	NP_001112359.1|NP_001138.1	0.04571364245488508
lscc	ARHGEF10	NP_001295082.1	0.05291860132276084
lscc	ASAH1	NP_004306.3|NP_808592.2|NP_001350672.1|NP_001120977.1	0.013561930661001021
lscc	ATP6V1B2	NP_001684.2	0.9341918460568487
lscc	BIN3	NP_061158.1|NP_001349975.1	0.009818818554686845
lscc	BMP1	NP_006120.1|NP_001190.1	0.013648146983877063
lscc	BNIP3L	NP_001317420.1|NP_004322.1	0.011824873175002705
lscc	CDCA2	NP_689775.2|NP_001304835.1|NP_001304836.1	0.013648146983877063
lscc	CHMP7	NP_689485.1|NP_001304828.1|NP_001350112.1	0.9999899898342729
lscc	CLU	NP_001822.3	0.02181017879215255
lscc	CNOT7	NP_001309022.1|NP_001309019.1|NP_001309023.1|NP_001309016.1|NP_001309024.1|NP_001309027.1	0.3455142761107239
lscc	CTSB	NP_001899.1|NP_001304166.1	0.4116067819141795
lscc	DCTN6	NP_006562.1	0.5022531811630584
lscc	DEFA3	NP_005208.1|NP_001289194.1|NP_001035965.1	0.009818818554686845
lscc	DEFA4	NP_001916.1	0.013648146983877063
lscc	DLC1	NP_001335010.1|NP_001303597.1|NP_006085.2|NP_001157743.1|NP_079043.3	0.009818818554686845
lscc	DOCK5	NP_079216.4	0.45545122712718844
lscc	DOK2	NP_003965.2|NP_001304729.1	0.30554295452224134
lscc	ERI1	NP_699163.2|NP_001341564.1|NP_001341565.1|NP_001341567.1	0.9999899898342729
lscc	ERICH1	NP_997215.1|NP_001290029.1	0.5546546412682292
lscc	FAM160B2	NP_073586.5|NP_001341179.1|NP_001341180.1	0.9395297849008872
lscc	FDFT1	NP_001274671.1|NP_001274679.1|NP_001274673.1|NP_001274680.1|NP_001274685.1	0.11583914782997594
lscc	GSR	NP_000628.2|NP_001182031.1|NP_001182032.1|NP_001182033.1	0.009818818554686845
lscc	GTF2E2	NP_002086.1|NP_001335282.1	0.2372214494379532
lscc	HMBOX1	NP_001311312.1|NP_001317427.1|NP_001311314.1|NP_001311318.1|NP_001311320.1|NP_001311322.1|NP_001129198.1|NP_001311315.1|NP_001311316.1|NP_001311324.1	0.2904279744270678
lscc	KBTBD11	NP_055682.1	0.009818818554686845
lscc	KCTD9	NP_060104.2	0.032080267395621025
lscc	KIF13B	NP_056069.2	0.9999899898342729
lscc	LOXL2	NP_002309.1	0.028352181241245097
lscc	LPL	NP_000228.1	0.009818818554686845
lscc	LZTS1	NP_001349813.1	0.06167448659068333
lscc	MAK16	NP_115898.2	0.013648146983877063
lscc	MFHAS1	NP_004216.2	0.013648146983877063
lscc	MSR1	NP_619729.1|NP_001350673.1|NP_619730.1|NP_002436.1	0.04658487339528279
lscc	MSRA	NP_036463.1|NP_001129143.1|NP_001129142.1|NP_001186658.1	0.8538679690477725
lscc	MTMR7	NP_004677.3	0.2372214494379532
lscc	MTMR9	NP_056273.2	0.7923969246573478
lscc	NAT1	NP_000653.3|NP_001153647.1	0.9999899898342729
lscc	NEFL	NP_006149.2	0.013648146983877063
lscc	NEIL2	NP_001129218.1|NP_001129219.1|NP_001129220.1	0.2188326705046086
lscc	NUDT18	NP_079091.3	0.9999899898342729
lscc	PBK	NP_001349969.1|NP_001265874.1	0.01727758178423189
lscc	PCM1	NP_001339564.1|NP_001302436.1|NP_001339562.1|NP_001339572.1|NP_001339586.1|NP_001339588.1	0.9999899898342729
lscc	PCM1	NP_001339565.1|NP_001339566.1|NP_001339569.1|NP_001339573.1|NP_001339568.1|NP_001302437.1|NP_001339571.1|NP_001339583.1	0.5138623972747781
lscc	PDGFRL	NP_006198.1	0.055282766667380266
lscc	PDLIM2	NP_067643.3	0.015866327779706278
lscc	PEBP4	NP_001350162.1	0.009818818554686845
lscc	PINX1	NP_060354.4|NP_001271285.1	0.038529462066733154
lscc	PNMA2	NP_009188.1	0.17384611095788258
lscc	POLR3D	NP_001713.2	0.01646764677313694
lscc	PPP2CB	NP_001009552.1|NP_001341948.1	0.04571364245488508
lscc	PPP2R2A	NP_002708.1|NP_001171062.1	0.9999899898342729
lscc	PPP3CC	NP_001230904.1|NP_001230903.1|NP_005596.2	0.9999899898342729
lscc	PSD3	NP_056125.3|NP_001349748.1|NP_996792.1	0.04571364245488508
lscc	PTK2B	NP_004094.3	0.9999899898342729
lscc	PTK2B	NP_775267.1	0.9097988988077433
lscc	R3HCC1	NP_001129580.2|NP_001288579.1	0.2372214494379532
lscc	RBPMS	NP_001008712.1|NP_001008711.1	0.7923969246573478
lscc	SARAF	NP_057211.4|NP_001271168.1	0.11757932952259822
lscc	SH2D4A	NP_001167630.1|NP_001350039.1|NP_001167631.1	0.10437064025408282
lscc	SLC39A14	NP_001338586.1|NP_001121903.1|NP_056174.2|NP_001128626.1	0.9097988988077433
lscc	SORBS3	NP_005766.3	0.04683731928264519
lscc	STC1	NP_003146.1	0.01727758178423189
lscc	TDRP	NP_778250.2|NP_001243042.1	0.1338500033438705
lscc	TNKS	NP_003738.2	0.011824873175002705
lscc	TTI2	NP_001095871.1|NP_001317434.1	0.011912053332502996
lscc	VPS37A	NP_001350102.1|NP_001350096.1|NP_001138624.1|NP_001350097.1|NP_001350099.1	0.9999899898342729
lscc	WRN	NP_000544.2	0.34040486961269745
lscc	XPO7	NP_055839.3|NP_001093631.1|NP_001349731.1	0.49903288166182697
luad	ADAMDEC1	NP_055294.1|NP_001138743.1	0.16440054756060746
luad	AGPAT5	NP_060831.2	0.9999908060336037
luad	ANGPT2	NP_001112359.1|NP_001138.1|NP_001112360.1	0.07571672163583137
luad	ARHGEF10	NP_001295082.1|NP_055444.2|NP_001295081.1	0.7930807008554221
luad	ASAH1	NP_808592.2|NP_004306.3|NP_001350672.1|NP_001120977.1	0.1350266711636225
luad	ATP6V1B2	NP_001684.2	0.9999908060336037
luad	BIN3	NP_061158.1|NP_001349975.1	0.06614547601412223
luad	BLK	NP_001706.2|NP_001317394.1	0.5628478562374898
luad	BMP1	NP_006120.1|NP_001190.1	0.1350266711636225
luad	BNIP3L	NP_001317420.1|NP_004322.1	0.08531451936706093
luad	CCDC25	NP_001291459.1	0.23347243427947956
luad	CCDC25	NP_060716.2|NP_001291461.1|NP_001291458.1	0.9999908060336037
luad	CHMP7	NP_689485.1|NP_001350112.1|NP_001304828.1	0.9999908060336037
luad	CLU	NP_001822.3	0.07571672163583137
luad	CNOT7	NP_001309019.1|NP_001309022.1|NP_001309023.1|NP_001309016.1|NP_001309024.1|NP_001309027.1	0.9999908060336037
luad	CTSB	NP_001899.1|NP_001304166.1	0.8498787293336951
luad	DCTN6	NP_006562.1	0.9999908060336037
luad	DEFA3	NP_005208.1|NP_001289194.1|NP_001035965.1	0.22338086442950844
luad	DEFA4	NP_001916.1	0.3882335213282701
luad	DLC1	NP_001335010.1|NP_001303597.1|NP_006085.2|NP_001157743.1|NP_079043.3	0.025325472784544386
luad	DOCK5	NP_079216.4	0.9999908060336037
luad	DOK2	NP_003965.2|NP_001304729.1	0.08531451936706093
luad	ERI1	NP_699163.2|NP_001341567.1|NP_001341564.1|NP_001341565.1	0.9999908060336037
luad	ERICH1	NP_997215.1|NP_001290029.1	0.7930807008554221
luad	FAM160B2	NP_073586.5|NP_001341179.1|NP_001341180.1	0.9999908060336037
luad	FDFT1	NP_001274671.1|NP_001274679.1|NP_001274673.1|NP_001274680.1|NP_001274685.1	0.30975894476793825
luad	GSR	NP_000628.2|NP_001182031.1|NP_001182032.1|NP_001182033.1	0.9999908060336037
luad	GTF2E2	NP_002086.1|NP_001335282.1	0.9999908060336037
luad	HMBOX1	NP_001311312.1|NP_001317427.1|NP_001311314.1|NP_001129198.1|NP_001311315.1|NP_001311316.1|NP_001311318.1|NP_001311320.1|NP_001311322.1|NP_001311324.1|NP_001293108.1|NP_000536.5	0.3370760589375359
luad	KBTBD11	NP_055682.1	0.6232651258065806
luad	KCTD9	NP_060104.2	0.9999908060336037
luad	KIF13B	NP_056069.2|NP_872312.2	0.9999908060336037
luad	LOXL2	NP_002309.1	0.06614547601412223
luad	LPL	NP_000228.1	0.5686728935229158
luad	LZTS1	NP_001349813.1	0.08531451936706093
luad	MAK16	NP_115898.2	0.13278992156994493
luad	MFHAS1	NP_004216.2	0.13278992156994493
luad	MSR1	NP_619729.1|NP_001350673.1|NP_619730.1|NP_002436.1	0.03690012916922444
luad	MSRA	NP_036463.1|NP_001129143.1|NP_001186658.1|NP_001129142.1	0.9999908060336037
luad	MTMR7	NP_004677.3	0.41655653479398624
luad	MTMR9	NP_056273.2	0.9999908060336037
luad	NAT1	NP_000653.3|NP_001153647.1	0.9999908060336037
luad	NEIL2	NP_001129218.1|NP_001129219.1|NP_001129220.1	0.39215944283278076
luad	NUDT18	NP_079091.3	0.7930807008554221
luad	PBK	NP_001349969.1|NP_001265874.1	0.654532226965967
luad	PDGFRL	NP_006198.1	0.10817223737683535
luad	PDLIM2	NP_067643.3	0.08531451936706093
luad	PEBP4	NP_001350162.1	0.06614547601412223
luad	PINX1	NP_060354.4|NP_001271285.1	0.39644214958261725
luad	PNMA2	NP_009188.1	0.4227746753350419
luad	POLR3D	NP_001713.2	0.025325472784544386
luad	PPP2CB	NP_001009552.1|NP_001341948.1	0.9999908060336037
luad	PPP2R2A	NP_002708.1|NP_001171062.1	0.9999908060336037
luad	PPP3CC	NP_001230903.1|NP_005596.2|NP_001230904.1	0.9999908060336037
luad	PSD3	NP_056125.3|NP_001349748.1|NP_996792.1	0.13278992156994493
luad	PURG	NP_001015508.1	0.050222463138242905
luad	PURG	NP_001310240.1	0.025325472784544386
luad	R3HCC1	NP_001129580.2|NP_001288579.1	0.9999908060336037
luad	RBPMS	NP_001008712.1|NP_001008711.1	0.6928583257182241
luad	SARAF	NP_057211.4|NP_001271168.1	0.6719529379445445
luad	SH2D4A	NP_001167630.1|NP_001350039.1|NP_001167631.1	0.7127622231428249
luad	SLC39A14	NP_001338586.1|NP_001121903.1|NP_056174.2|NP_001128626.1	0.9489587995803938
luad	SLC7A2	NP_001158243.1|NP_001008539.3|NP_003037.4	0.15781899721840567
luad	SORBS3	NP_005766.3	0.2616363280416617
luad	TDRP	NP_778250.2|NP_001243042.1	0.13278992156994493
luad	TNKS	NP_003738.2	0.08531451936706093
luad	TTI2	NP_001095871.1|NP_001317434.1	0.08531451936706093
luad	VPS37A	NP_001350102.1|NP_001350096.1|NP_001138624.1|NP_001350097.1|NP_001350099.1	0.9999908060336037
luad	WRN	NP_000544.2	0.9999908060336037
luad	XPO7	NP_001349731.1|NP_001093631.1	0.9999908060336037
ovarian	ADAMDEC1	NP_001138744	0.021224753508298794
ovarian	AGPAT5	NP_060831	0.4840800337250351
ovarian	ANGPT2	NP_001112359	0.10582151748983493
ovarian	ARHGEF10	NP_001295081	0.28257013397383796
ovarian	ASAH1	NP_004306	0.44065526809723565
ovarian	ATP6V1B2	NP_001684	0.5977110723575395
ovarian	BIN3	NP_061158	0.08189222341155192
ovarian	BLK	NP_001317394	0.013935206308884994
ovarian	BMP1	NP_006120	0.2752378743515693
ovarian	BNIP3L	NP_001317420	0.27066579523768924
ovarian	CDCA2	NP_001304835	0.021276442614339818
ovarian	CHMP7	NP_689485	0.3865629801109408
ovarian	CLU	NP_001822	0.17866313368378786
ovarian	CNOT7	NP_001309020	0.046101160390759455
ovarian	CTSB	NP_001899	0.8535744061241775
ovarian	DCTN6	NP_006562	0.013935206308884994
ovarian	DLC1	NP_001157743	0.06777782575453602
ovarian	DOCK5	NP_079216	0.10274557389180422
ovarian	DOK2	NP_003965	0.04061912655127074
ovarian	DPYSL2	NP_001184222	0.2704282626071131
ovarian	DPYSL2	NP_001231533	0.2864467916158025
ovarian	ELP3	NP_001271151	0.06777782575453602
ovarian	ELP3	NP_060561	0.08189222341155192
ovarian	EPHX2	NP_001243412	0.10274557389180422
ovarian	EPHX2	NP_001970	0.10883861097467115
ovarian	ERI1	NP_699163	0.9531457422779996
ovarian	FAM160B2	NP_073586	0.10582151748983493
ovarian	FDFT1	NP_001274671	0.33737780724740574
ovarian	GSR	NP_000628	0.9483093838091313
ovarian	GTF2E2	NP_002086	0.5977456467031739
ovarian	KBTBD11	NP_055682	0.01730736398387097
ovarian	KCTD9	NP_060104	0.03849458052438317
ovarian	KIF13B	NP_056069	0.4329795744325011
ovarian	LOXL2	NP_002309	0.10274557389180422
ovarian	LPL	NP_000228	0.0732748921410426
ovarian	LZTS1	NP_066300	0.019760869521859892
ovarian	MAK16	NP_115898	0.06077683336177871
ovarian	MFHAS1	NP_004216	0.10883861097467115
ovarian	MSR1	NP_619729	0.01730736398387097
ovarian	MSRA	NP_036463	0.5304429261990713
ovarian	MTMR9	NP_056273	0.26124588453324765
ovarian	MYOM2	NP_003961	0.013935206308884994
ovarian	NAT1	NP_001153651	0.6565443613249046
ovarian	NEFL	NP_006149	0.31154261442128417
ovarian	NEIL2	NP_659480	0.018637465698510745
ovarian	NUDT18	NP_079091	0.03221452440721901
ovarian	PBK	NP_060962	0.22899210919250143
ovarian	PDGFRL	NP_006198	0.018637465698510745
ovarian	PDLIM2	NP_067643	0.04750961491868706
ovarian	PINX1	NP_060354	0.4318309564581552
ovarian	POLR3D	NP_001713	0.05557603070492196
ovarian	PPP2CB	NP_001009552	0.7302070809811829
ovarian	PPP2R2A	NP_001171062	0.8321204338930935
ovarian	PPP3CC	NP_001230904	0.013935206308884994
ovarian	PSD3	NP_056125	0.40304952493611074
ovarian	R3HCC1	NP_001129580	0.2864467916158025
ovarian	RBPMS	NP_001008710	0.16552729257520588
ovarian	SARAF	NP_057211	0.3248365541943868
ovarian	SH2D4A	NP_071354	0.2864467916158025
ovarian	SLC39A14	NP_001121903	0.46270815898838324
ovarian	SLC7A2	NP_001008539	0.0732748921410426
ovarian	SORBS3	NP_005766	0.1810473168311277
ovarian	TDRP	NP_001243042	0.096591759066423
ovarian	TNKS	NP_003738	0.024695487891281943
ovarian	TTI2	NP_001095871	0.08497017765710814
ovarian	VPS37A	NP_689628	0.5407398322882464
ovarian	WRN	NP_000544	0.03470369248317944
ovarian	XPO7	NP_055839	0.9793605528270449
