Database_ID	start_bp	end_bp	cnv_type	num_patients_with_cnv	cancer_type_total_patients	cancer
ENSG00000104723	15417215	15766649	gain	16	122	brca
ENSG00000104723	15417215	15766649	loss	50	122	brca
ENSG00000038945	16107878	16567490	gain	17	122	brca
ENSG00000038945	16107878	16567490	loss	50	122	brca
ENSG00000078579	16992181	17002345	gain	17	122	brca
ENSG00000078579	16992181	17002345	loss	50	122	brca
ENSG00000155970	17027238	17122642	gain	17	122	brca
ENSG00000155970	17027238	17122642	loss	50	122	brca
ENSG00000104219	17156482	17224799	gain	17	122	brca
ENSG00000104219	17156482	17224799	loss	50	122	brca
ENSG00000198791	17224966	17246878	gain	17	122	brca
ENSG00000198791	17224966	17246878	loss	50	122	brca
ENSG00000155975	17246931	17302427	gain	17	122	brca
ENSG00000155975	17246931	17302427	loss	50	122	brca
ENSG00000003987	17296794	17413528	gain	17	122	brca
ENSG00000003987	17296794	17413528	loss	50	122	brca
ENSG00000003989	17497088	17570573	gain	17	122	brca
ENSG00000003989	17497088	17570573	loss	50	122	brca
ENSG00000104213	17576433	17644071	gain	17	122	brca
ENSG00000104213	17576433	17644071	loss	49	122	brca
ENSG00000129422	17643795	17801094	gain	17	122	brca
ENSG00000129422	17643795	17801094	loss	50	122	brca
ENSG00000104760	17864380	17910365	gain	17	122	brca
ENSG00000104760	17864380	17910365	loss	50	122	brca
ENSG00000078674	17922968	18029948	gain	17	122	brca
ENSG00000078674	17922968	18029948	loss	50	122	brca
ENSG00000104763	18055992	18084998	gain	15	122	brca
ENSG00000104763	18055992	18084998	loss	50	122	brca
ENSG00000171428	18170477	18223689	gain	15	122	brca
ENSG00000171428	18170477	18223689	loss	50	122	brca
ENSG00000156006	18391282	18401218	gain	15	122	brca
ENSG00000156006	18391282	18401218	loss	50	122	brca
ENSG00000156011	18527303	19084730	gain	15	122	brca
ENSG00000156011	18527303	19084730	loss	50	122	brca
ENSG00000104611	19313693	19396218	gain	15	122	brca
ENSG00000104611	19313693	19396218	loss	49	122	brca
ENSG00000147408	19404161	19758029	gain	15	122	brca
ENSG00000147408	19404161	19758029	loss	48	122	brca
ENSG00000104613	19817391	19852083	gain	15	122	brca
ENSG00000104613	19817391	19852083	loss	49	122	brca
ENSG00000175445	19901717	19967259	gain	15	122	brca
ENSG00000175445	19901717	19967259	loss	49	122	brca
ENSG00000036565	20144855	20183206	gain	15	122	brca
ENSG00000036565	20144855	20183206	loss	49	122	brca
ENSG00000147416	20197381	20226819	gain	15	122	brca
ENSG00000147416	20197381	20226819	loss	49	122	brca
ENSG00000061337	20246165	20303963	gain	16	122	brca
ENSG00000061337	20246165	20303963	loss	48	122	brca
ENSG00000168546	21690398	21812357	gain	16	122	brca
ENSG00000168546	21690398	21812357	loss	48	122	brca
ENSG00000147443	21908873	21913690	gain	16	122	brca
ENSG00000147443	21908873	21913690	loss	48	122	brca
ENSG00000130227	21919662	22006585	gain	16	122	brca
ENSG00000130227	21919662	22006585	loss	48	122	brca
ENSG00000158806	22024125	22036897	gain	16	122	brca
ENSG00000158806	22024125	22036897	loss	48	122	brca
ENSG00000158815	22042398	22048809	gain	16	122	brca
ENSG00000158815	22042398	22048809	loss	48	122	brca
ENSG00000158856	22048995	22082527	gain	16	122	brca
ENSG00000158856	22048995	22082527	loss	48	122	brca
ENSG00000158863	22089150	22104911	gain	16	122	brca
ENSG00000158863	22089150	22104911	loss	48	122	brca
ENSG00000275074	22106874	22109419	gain	16	122	brca
ENSG00000275074	22106874	22109419	loss	48	122	brca
ENSG00000168453	22114419	22133384	gain	16	122	brca
ENSG00000168453	22114419	22133384	loss	48	122	brca
ENSG00000168476	22138020	22141951	gain	16	122	brca
ENSG00000168476	22138020	22141951	loss	48	122	brca
ENSG00000168481	22146830	22157084	gain	16	122	brca
ENSG00000168481	22146830	22157084	loss	48	122	brca
ENSG00000168484	22156913	22164479	gain	16	122	brca
ENSG00000168484	22156913	22164479	loss	48	122	brca
ENSG00000168487	22165140	22212326	gain	16	122	brca
ENSG00000168487	22165140	22212326	loss	48	122	brca
ENSG00000168490	22219703	22232101	gain	16	122	brca
ENSG00000168490	22219703	22232101	loss	48	122	brca
ENSG00000168495	22245133	22254601	gain	16	122	brca
ENSG00000168495	22245133	22254601	loss	48	122	brca
ENSG00000197181	22275316	22357568	gain	16	122	brca
ENSG00000197181	22275316	22357568	loss	48	122	brca
ENSG00000104635	22367278	22434129	gain	16	122	brca
ENSG00000104635	22367278	22434129	loss	48	122	brca
ENSG00000120910	22440819	22541142	gain	16	122	brca
ENSG00000120910	22440819	22541142	loss	48	122	brca
ENSG00000120896	22544986	22575788	gain	16	122	brca
ENSG00000120896	22544986	22575788	loss	48	122	brca
ENSG00000120913	22578279	22598025	gain	16	122	brca
ENSG00000120913	22578279	22598025	loss	48	122	brca
ENSG00000248235	22589274	22602084	gain	16	122	brca
ENSG00000248235	22589274	22602084	loss	48	122	brca
ENSG00000241852	22599599	22604150	gain	16	122	brca
ENSG00000241852	22599599	22604150	loss	48	122	brca
ENSG00000158941	22604757	22620964	gain	16	122	brca
ENSG00000158941	22604757	22620964	loss	48	122	brca
ENSG00000147439	22620418	22669148	gain	16	122	brca
ENSG00000147439	22620418	22669148	loss	48	122	brca
ENSG00000179388	22687659	22693480	gain	16	122	brca
ENSG00000179388	22687659	22693480	loss	48	122	brca
ENSG00000134020	22713251	23000000	gain	16	122	brca
ENSG00000134020	22713251	23000000	loss	49	122	brca
ENSG00000008853	22987417	23020509	gain	16	122	brca
ENSG00000008853	22987417	23020509	loss	49	122	brca
ENSG00000120889	23020133	23069031	gain	16	122	brca
ENSG00000120889	23020133	23069031	loss	48	122	brca
ENSG00000173535	23102921	23117445	gain	16	122	brca
ENSG00000173535	23102921	23117445	loss	48	122	brca
ENSG00000173530	23135588	23164027	gain	16	122	brca
ENSG00000173530	23135588	23164027	loss	48	122	brca
ENSG00000104689	23190452	23225102	gain	16	122	brca
ENSG00000104689	23190452	23225102	loss	48	122	brca
ENSG00000147457	23243637	23262000	gain	16	122	brca
ENSG00000147457	23243637	23262000	loss	48	122	brca
ENSG00000104679	23270120	23296279	gain	16	122	brca
ENSG00000104679	23270120	23296279	loss	48	122	brca
ENSG00000134013	23296897	23425328	gain	16	122	brca
ENSG00000134013	23296897	23425328	loss	47	122	brca
ENSG00000197217	23385783	23457695	gain	16	122	brca
ENSG00000197217	23385783	23457695	loss	47	122	brca
ENSG00000147454	23528956	23575463	gain	16	122	brca
ENSG00000147454	23528956	23575463	loss	48	122	brca
ENSG00000167034	23678697	23682938	gain	16	122	brca
ENSG00000167034	23678697	23682938	loss	47	122	brca
ENSG00000180053	23701740	23706756	gain	16	122	brca
ENSG00000180053	23701740	23706756	loss	48	122	brca
ENSG00000159167	23841929	23854806	gain	16	122	brca
ENSG00000159167	23841929	23854806	loss	48	122	brca
ENSG00000042980	24294069	24359014	gain	16	122	brca
ENSG00000042980	24294069	24359014	loss	48	122	brca
ENSG00000134028	24384285	24406013	gain	16	122	brca
ENSG00000134028	24384285	24406013	loss	48	122	brca
ENSG00000069206	24440930	24526970	gain	16	122	brca
ENSG00000069206	24440930	24526970	loss	48	122	brca
ENSG00000104722	24913758	24919098	gain	16	122	brca
ENSG00000104722	24913758	24919098	loss	48	122	brca
ENSG00000277586	24950955	24956721	gain	16	122	brca
ENSG00000277586	24950955	24956721	loss	48	122	brca
ENSG00000147459	25184689	25418082	gain	16	122	brca
ENSG00000147459	25184689	25418082	loss	48	122	brca
ENSG00000147437	25419258	25424654	gain	16	122	brca
ENSG00000147437	25419258	25424654	loss	49	122	brca
ENSG00000104756	25427847	25458476	gain	16	122	brca
ENSG00000104756	25427847	25458476	loss	49	122	brca
ENSG00000184661	25459199	25507911	gain	16	122	brca
ENSG00000184661	25459199	25507911	loss	49	122	brca
ENSG00000221818	25841725	26045413	gain	16	122	brca
ENSG00000221818	25841725	26045413	loss	49	122	brca
ENSG00000221914	26291508	26372680	gain	15	122	brca
ENSG00000221914	26291508	26372680	loss	50	122	brca
ENSG00000104765	26383054	26505636	gain	16	122	brca
ENSG00000104765	26383054	26505636	loss	49	122	brca
ENSG00000240694	26504701	26514092	gain	16	122	brca
ENSG00000240694	26504701	26514092	loss	49	122	brca
ENSG00000092964	26514031	26658178	gain	16	122	brca
ENSG00000092964	26514031	26658178	loss	49	122	brca
ENSG00000120907	26748150	26867278	gain	16	122	brca
ENSG00000120907	26748150	26867278	loss	49	122	brca
ENSG00000015592	27235308	27258420	gain	17	122	brca
ENSG00000015592	27235308	27258420	loss	49	122	brca
ENSG00000104228	27284886	27311272	gain	17	122	brca
ENSG00000104228	27284886	27311272	loss	49	122	brca
ENSG00000120899	27311482	27459391	gain	17	122	brca
ENSG00000120899	27311482	27459391	loss	48	122	brca
ENSG00000120903	27459756	27479883	gain	18	122	brca
ENSG00000120903	27459756	27479883	loss	47	122	brca
ENSG00000120915	27490781	27545564	gain	18	122	brca
ENSG00000120915	27490781	27545564	loss	47	122	brca
ENSG00000120885	27596917	27614700	gain	18	122	brca
ENSG00000120885	27596917	27614700	loss	47	122	brca
ENSG00000168077	27633868	27676776	gain	17	122	brca
ENSG00000168077	27633868	27676776	loss	48	122	brca
ENSG00000147419	27733316	27772653	gain	17	122	brca
ENSG00000147419	27733316	27772653	loss	48	122	brca
ENSG00000171320	27771949	27812640	gain	17	122	brca
ENSG00000171320	27771949	27812640	loss	48	122	brca
ENSG00000168078	27809624	27838082	gain	17	122	brca
ENSG00000168078	27809624	27838082	loss	48	122	brca
ENSG00000168079	27869883	27992673	gain	17	122	brca
ENSG00000168079	27869883	27992673	loss	48	122	brca
ENSG00000189233	28021964	28083936	gain	17	122	brca
ENSG00000189233	28021964	28083936	loss	48	122	brca
ENSG00000134014	28089673	28191156	gain	17	122	brca
ENSG00000134014	28089673	28191156	loss	48	122	brca
ENSG00000168081	28316986	28343355	gain	17	122	brca
ENSG00000168081	28316986	28343355	loss	48	122	brca
ENSG00000186918	28345590	28402701	gain	17	122	brca
ENSG00000186918	28345590	28402701	loss	48	122	brca
ENSG00000214050	28348287	28490278	gain	17	122	brca
ENSG00000214050	28348287	28490278	loss	48	122	brca
ENSG00000104290	28494205	28574267	gain	17	122	brca
ENSG00000104290	28494205	28574267	loss	48	122	brca
ENSG00000012232	28600469	28756561	gain	17	122	brca
ENSG00000012232	28600469	28756561	loss	49	122	brca
ENSG00000104299	28767661	28890242	gain	17	122	brca
ENSG00000104299	28767661	28890242	loss	48	122	brca
ENSG00000147421	28890395	29064764	gain	17	122	brca
ENSG00000147421	28890395	29064764	loss	48	122	brca
ENSG00000197892	29067278	29263124	gain	17	122	brca
ENSG00000197892	29067278	29263124	loss	49	122	brca
ENSG00000120875	29333064	29350684	gain	17	122	brca
ENSG00000120875	29333064	29350684	loss	48	122	brca
ENSG00000133872	30063003	30083208	gain	19	122	brca
ENSG00000133872	30063003	30083208	loss	44	122	brca
ENSG00000104660	30095408	30177208	gain	19	122	brca
ENSG00000104660	30095408	30177208	loss	45	122	brca
ENSG00000177669	30131671	30144665	gain	19	122	brca
ENSG00000177669	30131671	30144665	loss	45	122	brca
ENSG00000104671	30156319	30183639	gain	19	122	brca
ENSG00000104671	30156319	30183639	loss	45	122	brca
ENSG00000157110	30384511	30572256	gain	19	122	brca
ENSG00000157110	30384511	30572256	loss	45	122	brca
ENSG00000197265	30578318	30658236	gain	18	122	brca
ENSG00000197265	30578318	30658236	loss	44	122	brca
ENSG00000253457	30638580	30646064	gain	18	122	brca
ENSG00000253457	30638580	30646064	loss	44	122	brca
ENSG00000104687	30678066	30727846	gain	18	122	brca
ENSG00000104687	30678066	30727846	loss	44	122	brca
ENSG00000104691	30729131	30767006	gain	18	122	brca
ENSG00000104691	30729131	30767006	loss	44	122	brca
ENSG00000104695	30774457	30814314	gain	18	122	brca
ENSG00000104695	30774457	30814314	loss	44	122	brca
ENSG00000133863	30831544	30913008	gain	18	122	brca
ENSG00000133863	30831544	30913008	loss	43	122	brca
ENSG00000172733	30995802	31033715	gain	19	122	brca
ENSG00000172733	30995802	31033715	loss	43	122	brca
ENSG00000165392	31033788	31176138	gain	17	122	brca
ENSG00000165392	31033788	31176138	loss	45	122	brca
ENSG00000157168	31639222	32855666	gain	18	122	brca
ENSG00000157168	31639222	32855666	loss	45	122	brca
ENSG00000172728	33370824	33473146	gain	19	122	brca
ENSG00000172728	33370824	33473146	loss	47	122	brca
ENSG00000129696	33473386	33513185	gain	18	122	brca
ENSG00000129696	33473386	33513185	loss	50	122	brca
ENSG00000198042	33485182	33501262	gain	18	122	brca
ENSG00000198042	33485182	33501262	loss	50	122	brca
ENSG00000133874	33547754	33567128	gain	17	122	brca
ENSG00000133874	33547754	33567128	loss	50	122	brca
ENSG00000133878	33591330	33600023	gain	17	122	brca
ENSG00000133878	33591330	33600023	loss	52	122	brca
ENSG00000156687	35235475	35796550	gain	5	122	brca
ENSG00000156687	35235475	35796550	loss	38	122	brca
ENSG00000215262	36784324	36936125	gain	6	122	brca
ENSG00000215262	36784324	36936125	loss	90	122	brca
ENSG00000183779	37695782	37700019	gain	10	122	brca
ENSG00000183779	37695782	37700019	loss	89	122	brca
ENSG00000147475	37736601	37758422	gain	10	122	brca
ENSG00000147475	37736601	37758422	loss	88	122	brca
ENSG00000147471	37762595	37779768	gain	10	122	brca
ENSG00000147471	37762595	37779768	loss	88	122	brca
ENSG00000020181	37784191	37844896	gain	10	122	brca
ENSG00000020181	37784191	37844896	loss	88	122	brca
ENSG00000104221	37843268	37849861	gain	10	122	brca
ENSG00000104221	37843268	37849861	loss	88	122	brca
ENSG00000156675	37858618	37899497	gain	10	122	brca
ENSG00000156675	37858618	37899497	loss	88	122	brca
ENSG00000169154	37934281	37940124	gain	10	122	brca
ENSG00000169154	37934281	37940124	loss	88	122	brca
ENSG00000188778	37962990	37966599	gain	10	122	brca
ENSG00000188778	37962990	37966599	loss	89	122	brca
ENSG00000187840	38030534	38060365	gain	9	122	brca
ENSG00000187840	38030534	38060365	loss	89	122	brca
ENSG00000129691	38105493	38144076	gain	9	122	brca
ENSG00000129691	38105493	38144076	loss	89	122	brca
ENSG00000147465	38142700	38150992	gain	9	122	brca
ENSG00000147465	38142700	38150992	loss	89	122	brca
ENSG00000175324	38163335	38176730	gain	9	122	brca
ENSG00000175324	38163335	38176730	loss	89	122	brca
ENSG00000156735	38176533	38213301	gain	9	122	brca
ENSG00000156735	38176533	38213301	loss	89	122	brca
ENSG00000085788	38225218	38275558	gain	9	122	brca
ENSG00000085788	38225218	38275558	loss	89	122	brca
ENSG00000147535	38263130	38269243	gain	10	122	brca
ENSG00000147535	38263130	38269243	loss	89	122	brca
ENSG00000147548	38269704	38382272	gain	10	122	brca
ENSG00000147548	38269704	38382272	loss	89	122	brca
ENSG00000165046	38386207	38409527	gain	10	122	brca
ENSG00000165046	38386207	38409527	loss	88	122	brca
ENSG00000077782	38400215	38468834	gain	9	122	brca
ENSG00000077782	38400215	38468834	loss	88	122	brca
ENSG00000196166	38510834	38560939	gain	10	122	brca
ENSG00000196166	38510834	38560939	loss	88	122	brca
ENSG00000147526	38728186	38853028	gain	10	122	brca
ENSG00000147526	38728186	38853028	loss	86	122	brca
ENSG00000169499	38901235	38973912	gain	10	122	brca
ENSG00000169499	38901235	38973912	loss	87	122	brca
ENSG00000169495	38974228	38988663	gain	10	122	brca
ENSG00000169495	38974228	38988663	loss	86	122	brca
ENSG00000169490	38988808	38996824	gain	10	122	brca
ENSG00000169490	38988808	38996824	loss	86	122	brca
ENSG00000168615	38996754	39105445	gain	10	122	brca
ENSG00000168615	38996754	39105445	loss	86	122	brca
ENSG00000197140	39106990	39284917	gain	10	122	brca
ENSG00000197140	39106990	39284917	loss	66	122	brca
ENSG00000168619	39584489	39730065	gain	12	122	brca
ENSG00000168619	39584489	39730065	loss	49	122	brca
ENSG00000104755	39743735	39838227	gain	12	122	brca
ENSG00000104755	39743735	39838227	loss	48	122	brca
ENSG00000131203	39902275	39928790	gain	13	122	brca
ENSG00000131203	39902275	39928790	loss	47	122	brca
ENSG00000188676	39934614	40016392	gain	12	122	brca
ENSG00000188676	39934614	40016392	loss	46	122	brca
ENSG00000176907	40153482	40155310	gain	13	122	brca
ENSG00000176907	40153482	40155310	loss	45	122	brca
ENSG00000165061	40530590	40897833	gain	14	122	brca
ENSG00000165061	40530590	40897833	loss	45	122	brca
ENSG00000104332	41261962	41309473	gain	16	122	brca
ENSG00000104332	41261962	41309473	loss	43	122	brca
ENSG00000147533	41488200	41511095	gain	18	122	brca
ENSG00000147533	41488200	41511095	loss	41	122	brca
ENSG00000147536	41529218	41545030	gain	18	122	brca
ENSG00000147536	41529218	41545030	loss	40	122	brca
ENSG00000158669	41577187	41625001	gain	17	122	brca
ENSG00000158669	41577187	41625001	loss	41	122	brca
ENSG00000165066	41645177	41650817	gain	17	122	brca
ENSG00000165066	41645177	41650817	loss	41	122	brca
ENSG00000029534	41653220	41896762	gain	16	122	brca
ENSG00000029534	41653220	41896762	loss	42	122	brca
ENSG00000083168	41929479	42051994	gain	15	122	brca
ENSG00000083168	41929479	42051994	loss	42	122	brca
ENSG00000070718	42152946	42171673	gain	15	122	brca
ENSG00000070718	42152946	42171673	loss	42	122	brca
ENSG00000104368	42174718	42207709	gain	15	122	brca
ENSG00000104368	42174718	42207709	loss	41	122	brca
ENSG00000104365	42271302	42332460	gain	14	122	brca
ENSG00000104365	42271302	42332460	loss	42	122	brca
ENSG00000070501	42338454	42371808	gain	15	122	brca
ENSG00000070501	42338454	42371808	loss	42	122	brca
ENSG00000104371	42374063	42377229	gain	15	122	brca
ENSG00000104371	42374063	42377229	loss	42	122	brca
ENSG00000078668	42391624	42405937	gain	15	122	brca
ENSG00000078668	42391624	42405937	loss	42	122	brca
ENSG00000168575	42416475	42541926	gain	13	122	brca
ENSG00000168575	42416475	42541926	loss	42	122	brca
ENSG00000176209	42541155	42555195	gain	13	122	brca
ENSG00000176209	42541155	42555195	loss	43	122	brca
ENSG00000147432	42697366	42737407	gain	14	122	brca
ENSG00000147432	42697366	42737407	loss	42	122	brca
ENSG00000147434	42752620	42796392	gain	14	122	brca
ENSG00000147434	42752620	42796392	loss	41	122	brca
ENSG00000131931	42836674	42843325	gain	14	122	brca
ENSG00000131931	42836674	42843325	loss	41	122	brca
ENSG00000120925	42849637	42897290	gain	14	122	brca
ENSG00000120925	42849637	42897290	loss	41	122	brca
ENSG00000168172	42896946	43030535	gain	14	122	brca
ENSG00000168172	42896946	43030535	loss	41	122	brca
ENSG00000254673	43018424	43077334	gain	14	122	brca
ENSG00000254673	43018424	43077334	loss	41	122	brca
ENSG00000168522	43034194	43085788	gain	14	122	brca
ENSG00000168522	43034194	43085788	loss	41	122	brca
ENSG00000185900	43093498	43131180	gain	14	122	brca
ENSG00000185900	43093498	43131180	loss	41	122	brca
ENSG00000165102	43140464	43202855	gain	14	122	brca
ENSG00000165102	43140464	43202855	loss	41	122	brca
ENSG00000164808	47260878	47736306	gain	21	122	brca
ENSG00000164808	47260878	47736306	loss	28	122	brca
ENSG00000221869	47736913	47738164	gain	21	122	brca
