,level_0,level_1,gain,neutral,loss,chromo,location
181,ACOX1,ENSG00000161533.7,36,67,19,17.0,75960342.0
182,ACOX2,ENSG00000168306.8,12,79,31,3.0,58521209.5
183,ACOX3,ENSG00000087008.11,5,79,38,4.0,8403502.5
184,ACOXL,ENSG00000153093.14,13,93,16,2.0,110925397.5
185,ACP1,ENSG00000143727.11,19,89,14,2.0,271211.5
186,ACP2,ENSG00000134575.5,14,93,15,11.0,47244104.0
187,ACP5,ENSG00000102575.6,17,91,14,19.0,11576834.0
188,ACP6,ENSG00000162836.6,86,33,3,1.0,147650088.0
189,ACPL2,ENSG00000155893.7,32,85,5,,
190,ACPP,ENSG00000014257.11,27,90,5,3.0,132342833.5
191,ACPT,ENSG00000142513.4,15,90,17,,
192,ACR,ENSG00000100312.6,11,74,37,22.0,50741767.5
193,ACRBP,ENSG00000111644.3,18,89,15,12.0,6642754.0
194,ACRV1,ENSG00000134940.8,2,69,51,11.0,125676198.0
195,ACSBG1,ENSG00000103740.5,7,94,21,15.0,78206578.0
196,ACSBG2,ENSG00000130377.9,12,91,19,19.0,6164170.5
197,ACSF2,ENSG00000167107.8,37,67,18,17.0,50450501.5
198,ACSF3,ENSG00000176715.11,9,47,66,16.0,89126248.0
199,ACSL1,ENSG00000151726.9,6,89,27,4.0,184791206.5
200,ACSL3,ENSG00000123983.9,11,88,23,2.0,222902790.5
201,ACSL5,ENSG00000197142.6,6,94,22,10.0,112401199.0
202,ACSL6,ENSG00000164398.8,9,88,25,5.0,131981108.0
203,ACSM1,ENSG00000166743.5,39,74,9,16.0,20661063.5
204,ACSM2A,ENSG00000183747.7,39,74,9,16.0,20469565.0
205,ACSM2B,ENSG00000066813.10,39,74,9,16.0,20556326.5
206,ACSM3,ENSG00000005187.7,39,74,9,16.0,20703912.0
207,ACSM4,ENSG00000215009.5,17,89,16,12.0,7316504.0
208,ACSM5,ENSG00000183549.6,39,74,9,16.0,20425435.0
209,ACSS1,ENSG00000154930.10,39,80,3,20.0,25032605.0
210,ACSS2,ENSG00000131069.15,45,74,3,20.0,34900054.0
211,ACSS3,ENSG00000111058.3,27,84,11,12.0,81098812.0
212,ACTA1,ENSG00000143632.10,84,36,2,1.0,229432671.5
213,ACTA2,ENSG00000107796.8,14,91,17,10.0,88963206.5
214,ACTB,ENSG00000075624.9,25,86,11,7.0,5545466.0
215,ACTBL2,ENSG00000169067.2,11,83,28,5.0,57481414.5
216,ACTBP12,ENSG00000233125.2,14,82,26,1.0,92229226.5
217,ACTC1,ENSG00000159251.6,4,85,33,15.0,34792889.5
218,ACTG1,ENSG00000184009.5,35,65,22,17.0,81516909.0
219,ACTG2,ENSG00000163017.9,19,94,9,2.0,73906089.5
220,ACTL10,ENSG00000182584.4,42,77,3,20.0,33667734.0
221,ACTL6A,ENSG00000136518.12,31,83,8,3.0,179575646.5
222,ACTL6B,ENSG00000077080.5,31,79,12,7.0,100649772.5
223,ACTL7A,ENSG00000187003.5,3,97,22,9.0,108863011.0
224,ACTL7B,ENSG00000148156.6,3,97,22,9.0,108855287.0
225,ACTL8,ENSG00000117148.6,5,71,46,1.0,17791198.0
226,ACTL9,ENSG00000181786.3,10,77,35,19.0,8698097.5
227,ACTN1,ENSG00000072110.9,10,77,35,14.0,68926791.5
228,ACTN2,ENSG00000077522.8,75,43,4,1.0,236714386.0
229,ACTN3,ENSG00000248746.1,19,94,9,11.0,66554864.5
230,ACTN4,ENSG00000130402.7,21,88,13,19.0,38689619.0
231,ACTR10,ENSG00000131966.8,11,80,31,14.0,58217858.0
232,ACTR1A,ENSG00000138107.7,4,98,20,10.0,102482296.5
233,ACTR1B,ENSG00000115073.6,24,86,12,2.0,97659991.5
234,ACTR2,ENSG00000138071.9,18,93,11,2.0,65249503.0
235,ACTR3,ENSG00000115091.7,12,93,17,2.0,113926329.5
236,ACTR3B,ENSG00000133627.13,25,79,18,7.0,152807563.5
237,ACTR3C,ENSG00000106526.6,31,77,14,7.0,150283820.5
238,ACTR5,ENSG00000101442.8,42,76,4,20.0,38760490.0
239,ACTR6,ENSG00000075089.5,11,90,21,12.0,100220493.5
240,ACTR8,ENSG00000113812.9,9,79,34,3.0,53874609.0
241,ACTRT2,ENSG00000169717.5,31,43,48,1.0,3022185.0
242,ACTRT3,ENSG00000184378.2,41,77,4,3.0,169768241.0
243,ACVR1,ENSG00000115170.9,10,95,17,2.0,157806387.0
244,ACVR1B,ENSG00000135503.8,15,90,17,12.0,51974388.5
245,ACVR1C,ENSG00000123612.10,10,95,17,2.0,157577815.5
246,ACVR2A,ENSG00000121989.10,14,86,22,2.0,147887671.5
247,ACVR2B,ENSG00000114739.8,12,90,20,3.0,38473516.0
248,ACVRL1,ENSG00000139567.8,15,90,17,12.0,51915134.5
249,ACY1,ENSG00000243989.3,6,79,37,3.0,51986268.5
250,ACY3,ENSG00000132744.3,27,85,10,11.0,67646642.5
251,ACYP1,ENSG00000119640.4,7,79,36,14.0,75061360.0
252,ACYP2,ENSG00000170634.8,18,90,14,2.0,54138069.0
253,ADA,ENSG00000196839.8,41,75,6,20.0,44635877.5
254,ADAD1,ENSG00000164113.6,8,94,20,4.0,122404384.0
255,ADAD2,ENSG00000140955.6,6,53,63,16.0,84194153.0
256,ADAL,ENSG00000168803.10,4,85,33,15.0,43342606.0
257,ADAM10,ENSG00000137845.10,4,89,29,15.0,58669300.0
258,ADAM11,ENSG00000073670.9,20,65,37,17.0,44770417.0
259,ADAM12,ENSG00000148848.10,7,94,21,10.0,126200418.0
260,ADAM15,ENSG00000143537.9,88,34,0,1.0,155056670.5
261,ADAM17,ENSG00000151694.8,19,88,15,2.0,9522609.0
262,ADAM18,ENSG00000168619.11,49,49,24,8.0,39657277.0
263,ADAM19,ENSG00000135074.11,13,91,18,5.0,157485654.5
264,ADAM1A,ENSG00000229186.3,6,93,23,12.0,111900327.0
265,ADAM2,ENSG00000104755.10,44,53,25,8.0,39791012.0
266,ADAM20,ENSG00000134007.3,10,77,35,14.0,70528686.5
267,ADAM20P1,ENSG00000259158.1,10,77,35,14.0,70468658.0
268,ADAM21,ENSG00000139985.5,10,77,35,14.0,70456039.5
269,ADAM21P1,ENSG00000235812.4,10,77,35,14.0,70246646.0
270,ADAM22,ENSG00000008277.10,32,82,8,7.0,88068516.0
271,ADAM23,ENSG00000114948.8,11,92,19,2.0,206532329.5
272,ADAM28,ENSG00000042980.8,22,39,61,8.0,24326541.5
273,ADAM29,ENSG00000168594.11,8,90,24,4.0,174903924.0
274,ADAM30,ENSG00000134249.6,31,76,15,1.0,119895024.0
275,ADAM32,ENSG00000197140.10,49,46,27,8.0,39195953.5
276,ADAM33,ENSG00000149451.13,33,80,9,20.0,3675105.5
277,ADAM3A,ENSG00000197475.7,48,51,23,8.0,39486948.5
278,ADAM5,ENSG00000196115.8,48,51,23,8.0,39365984.5
279,ADAM6,ENSG00000233988.1,12,82,28,14.0,105970999.0
280,ADAM7,ENSG00000069206.11,21,40,61,8.0,24483950.0
281,ADAM8,ENSG00000151651.11,7,93,22,10.0,133269644.0
282,ADAM9,ENSG00000168615.7,42,53,27,8.0,39051065.0
283,ADAMDEC1,ENSG00000134028.10,22,39,61,8.0,24395149.0
284,ADAMTS1,ENSG00000154734.9,15,87,20,21.0,26840582.0
285,ADAMTS10,ENSG00000142303.9,11,76,35,19.0,8595487.5
286,ADAMTS12,ENSG00000151388.6,32,82,8,5.0,33707777.0
287,ADAMTS13,ENSG00000160323.14,6,93,23,9.0,133436880.0
288,ADAMTS14,ENSG00000138316.6,16,85,21,10.0,70717473.5
289,ADAMTS15,ENSG00000166106.2,8,67,47,11.0,130462807.5
290,ADAMTS16,ENSG00000145536.11,38,78,6,5.0,5230317.0
291,ADAMTS17,ENSG00000140470.9,14,91,17,15.0,100156721.0
292,ADAMTS18,ENSG00000140873.11,10,52,60,16.0,77341423.5
293,ADAMTS19,ENSG00000145808.4,13,88,21,5.0,129599482.0
294,ADAMTS2,ENSG00000087116.9,15,83,24,5.0,179228157.0
295,ADAMTS20,ENSG00000173157.12,20,88,14,12.0,43453034.5
296,ADAMTS3,ENSG00000156140.4,18,86,18,4.0,72425095.0
297,ADAMTS4,ENSG00000158859.8,89,32,1,1.0,161191678.0
298,ADAMTS5,ENSG00000154736.5,17,85,20,21.0,26942505.0
299,ADAMTS6,ENSG00000049192.10,12,78,32,5.0,65315329.0
300,ADAMTS7,ENSG00000136378.10,5,94,23,15.0,78785335.0
301,ADAMTS8,ENSG00000134917.9,4,71,47,11.0,130416766.0
302,ADAMTS9,ENSG00000163638.9,11,85,26,3.0,64601827.0
303,ADAMTSL1,ENSG00000178031.11,12,77,33,9.0,18408756.5
304,ADAMTSL2,ENSG00000197859.5,6,92,24,9.0,133553841.5
305,ADAMTSL3,ENSG00000156218.8,12,87,23,15.0,83846965.0
306,ADAMTSL4,ENSG00000143382.9,85,37,0,1.0,150555153.0
307,ADAMTSL5,ENSG00000185761.6,6,82,34,19.0,1509313.0
308,ADAP1,ENSG00000105963.9,27,82,13,7.0,926653.5
309,ADAP2,ENSG00000184060.6,21,63,38,17.0,30932833.0
310,ADAR,ENSG00000160710.11,88,34,0,1.0,154605035.0
311,ADARB1,ENSG00000197381.11,23,88,11,21.0,45150206.5
312,ADARB2,ENSG00000185736.11,38,71,13,10.0,1457419.0
313,ADAT1,ENSG00000065457.6,11,52,59,16.0,75610140.5
314,ADAT2,ENSG00000189007.11,17,82,23,6.0,143436763.5
315,ADAT3,ENSG00000213638.4,4,83,35,19.0,1909423.0
316,ADC,ENSG00000142920.12,9,81,32,,
317,ADCK1,ENSG00000063761.11,7,81,34,14.0,77867561.5
318,ADCK2,ENSG00000133597.5,29,82,11,7.0,140684603.0
319,ADCK3,ENSG00000163050.11,85,35,2,,
320,ADCK4,ENSG00000123815.7,17,88,17,,
321,ADCK5,ENSG00000173137.7,66,49,7,8.0,144383171.5
322,ADCY1,ENSG00000164742.10,30,86,6,7.0,45648628.0
323,ADCY10,ENSG00000143199.13,89,32,1,1.0,167861800.5
324,ADCY10P1,ENSG00000161912.13,26,83,13,6.0,41120928.5
325,ADCY2,ENSG00000078295.11,34,82,6,5.0,7613109.5
326,ADCY3,ENSG00000138031.10,16,91,15,2.0,24869504.0
327,ADCY4,ENSG00000129467.9,17,79,26,14.0,24326721.0
328,ADCY5,ENSG00000173175.10,25,90,7,3.0,123366027.0
329,ADCY6,ENSG00000174233.7,15,90,17,12.0,48777615.5
330,ADCY7,ENSG00000121281.8,21,54,47,16.0,50282136.0
331,ADCY8,ENSG00000155897.5,74,42,6,8.0,130910605.0
332,ADCY9,ENSG00000162104.5,41,72,9,16.0,4034914.5
333,ADCYAP1,ENSG00000141433.8,15,81,26,18.0,908521.5
334,ADCYAP1R1,ENSG00000078549.10,34,82,6,7.0,31081970.0
335,ADD1,ENSG00000087274.12,7,79,36,4.0,2886966.5
336,ADD2,ENSG00000075340.17,20,92,10,2.0,70687921.5
337,ADD3,ENSG00000148700.9,5,96,21,10.0,110065966.5
338,ADGB,ENSG00000118492.12,19,82,21,6.0,146707214.5
339,ADH1A,ENSG00000187758.3,9,94,19,4.0,99283686.0
340,ADH1B,ENSG00000196616.8,9,94,19,4.0,99328865.5
341,ADH1C,ENSG00000248144.1,9,94,19,4.0,99344621.5
342,ADH4,ENSG00000198099.4,9,94,19,4.0,99140724.5
343,ADH5,ENSG00000197894.6,8,95,19,4.0,99079889.5
344,ADH6,ENSG00000172955.13,9,94,19,4.0,99211087.5
345,ADH7,ENSG00000196344.7,9,94,19,4.0,99423999.0
346,ADHFE1,ENSG00000147576.11,66,49,7,8.0,66450699.5
347,ADI1,ENSG00000182551.9,19,90,13,2.0,3508448.5
348,ADIG,ENSG00000182035.7,42,76,4,20.0,38584829.0
349,ADIPOQ,ENSG00000181092.5,33,79,10,3.0,186850583.5
350,ADIPOR1,ENSG00000159346.8,85,37,0,1.0,202949699.0
351,ADIPOR2,ENSG00000006831.9,23,84,15,12.0,1738624.0
352,ADIRF,ENSG00000148671.9,7,94,21,10.0,86976183.0
353,ADK,ENSG00000156110.9,11,87,24,10.0,74430582.5
354,ADM,ENSG00000148926.5,10,82,30,11.0,10306235.0
355,ADM2,ENSG00000128165.7,11,74,37,22.0,50483991.5
356,ADM5,ENSG00000224420.3,16,88,18,19.0,49689619.5
357,ADNP,ENSG00000101126.11,51,69,2,20.0,50910176.5
358,ADNP2,ENSG00000101544.4,14,71,37,18.0,80128392.5
359,ADO,ENSG00000181915.3,14,89,19,10.0,62806599.5
360,ADORA1,ENSG00000163485.11,85,37,0,1.0,203129029.5
361,ADORA2A,ENSG00000128271.15,8,81,33,22.0,24430118.0
362,ADORA2B,ENSG00000170425.3,9,54,59,17.0,15960331.5
363,ADORA3,ENSG00000121933.13,13,86,23,1.0,111501531.0
364,ADPGK,ENSG00000159322.13,5,95,22,15.0,72768607.5
365,ADPRH,ENSG00000144843.7,24,91,7,3.0,119584606.5
366,ADPRHL1,ENSG00000153531.8,22,63,37,13.0,113426567.0
367,ADPRHL2,ENSG00000116863.10,13,80,29,1.0,36091412.0
368,ADPRM,ENSG00000170222.10,4,53,65,17.0,10704576.0
369,ADRA1A,ENSG00000120907.13,19,41,62,8.0,26807714.0
370,ADRA1B,ENSG00000170214.3,12,91,19,5.0,159919046.0
371,ADRA1D,ENSG00000171873.6,31,83,8,20.0,4234958.5
372,ADRA2A,ENSG00000150594.5,6,93,23,10.0,111078968.0
373,ADRA2B,ENSG00000222040.3,20,89,13,2.0,96114723.5
374,ADRA2C,ENSG00000184160.6,8,78,36,4.0,3767437.0
375,ADRB1,ENSG00000043591.4,3,96,23,10.0,114045385.0
376,ADRB2,ENSG00000169252.4,19,85,18,5.0,148826966.0
377,ADRB3,ENSG00000188778.3,41,50,31,8.0,37964794.5
378,ADRBK1,ENSG00000173020.6,22,89,11,,
379,ADRBK2,ENSG00000100077.9,8,79,35,,
380,ADRM1,ENSG00000130706.8,50,71,1,20.0,62305477.5
381,ADSL,ENSG00000239900.6,9,76,37,22.0,40368481.5
382,ADSS,ENSG00000035687.9,80,39,3,,
383,ADSSL1,ENSG00000185100.6,11,84,27,,
384,ADTRP,ENSG00000111863.8,29,83,10,6.0,11759550.0
385,AEBP1,ENSG00000106624.4,32,85,5,7.0,44109453.5
386,AEBP2,ENSG00000139154.10,21,90,11,12.0,19562423.0
387,AEN,ENSG00000181026.13,14,88,20,15.0,88626809.0
388,AES,ENSG00000104964.10,7,90,25,,
389,AFAP1,ENSG00000196526.6,6,79,37,4.0,7849320.0
390,AFAP1L1,ENSG00000157510.9,17,86,19,5.0,149307748.0
391,AFAP1L2,ENSG00000169129.10,6,93,23,10.0,114349790.0
392,AFF1,ENSG00000172493.16,5,94,23,4.0,87038028.0
393,AFF3,ENSG00000144218.13,18,90,14,2.0,99868923.5
394,AFF4,ENSG00000072364.8,9,86,27,5.0,132919514.5
395,AFG3L1P,ENSG00000223959.4,10,46,66,16.0,89987373.5
396,AFG3L2,ENSG00000141385.5,17,77,28,18.0,12353085.5
397,AFM,ENSG00000079557.3,20,87,15,4.0,73492873.0
398,AFMID,ENSG00000183077.11,38,66,18,17.0,78197509.0
399,AFP,ENSG00000081051.3,18,89,15,4.0,73443656.0
400,AFTPH,ENSG00000119844.10,18,94,10,2.0,64558655.0
401,AGA,ENSG00000038002.4,9,89,24,4.0,177436605.5
402,AGAP1,ENSG00000157985.12,12,88,22,2.0,235812921.5
403,AGAP10,ENSG00000204172.7,20,83,19,,
404,AGAP11,ENSG00000151303.11,7,94,21,10.0,86990433.5
