NCBI_ID	start_bp	end_bp	cnv_type	num_patients_with_cnv	cancer_type_total_patients	cancer
406907	9903387.0	9903471.0	loss	58	122	brca
4482	10054291.0	10428890.0	gain	18	122	brca
4482	10054291.0	10428890.0	loss	58	122	brca
101929191	10474564.0	10481973.0	gain	18	122	brca
101929191	10474564.0	10481973.0	loss	58	122	brca
203074	10525531.0	10554165.0	gain	18	122	brca
203074	10525531.0	10554165.0	loss	58	122	brca
94137	10606348.0	10655142.0	gain	18	122	brca
94137	10606348.0	10655142.0	loss	58	122	brca
100422982	10666977.0	10667069.0	gain	18	122	brca
100422982	10666977.0	10667069.0	loss	58	122	brca
203076	10672627.0	10700589.0	gain	18	122	brca
203076	10672627.0	10700589.0	loss	58	122	brca
83595	10723767.0	10730510.0	gain	18	122	brca
83595	10723767.0	10730510.0	loss	58	122	brca
54984	10764960.0	10839874.0	gain	18	122	brca
54984	10764960.0	10839874.0	loss	58	122	brca
100302166	10825372.0	10825442.0	gain	18	122	brca
100302166	10825372.0	10825442.0	loss	58	122	brca
101929229	10840025.0	10846508.0	gain	18	122	brca
101929229	10840025.0	10846508.0	loss	58	122	brca
286046	10896044.0	11201832.0	gain	18	122	brca
286046	10896044.0	11201832.0	loss	58	122	brca
693183	11035205.0	11035301.0	gain	18	122	brca
693183	11035205.0	11035301.0	loss	58	122	brca
101929269	11062651.0	11067088.0	gain	18	122	brca
101929269	11062651.0	11067088.0	loss	58	122	brca
66036	11284815.0	11339525.0	gain	18	122	brca
66036	11284815.0	11339525.0	loss	58	122	brca
83650	11331011.0	11332359.0	gain	18	122	brca
83650	11331011.0	11332359.0	loss	58	122	brca
157739	11339636.0	11368451.0	gain	18	122	brca
157739	11339636.0	11368451.0	loss	58	122	brca
83656	11368401.0	11438656.0	gain	18	122	brca
83656	11368401.0	11438656.0	loss	58	122	brca
83648	11421475.0	11475907.0	gain	18	122	brca
83648	11421475.0	11475907.0	loss	58	122	brca
640	11494386.0	11564598.0	gain	18	122	brca
640	11494386.0	11564598.0	loss	58	122	brca
83655	11576534.0	11581340.0	gain	18	122	brca
83655	11576534.0	11581340.0	loss	58	122	brca
2626	11676934.0	11760001.0	gain	18	122	brca
2626	11676934.0	11760001.0	loss	58	122	brca
106635531	11705361.0	11705557.0	gain	18	122	brca
106635531	11705361.0	11705557.0	loss	58	122	brca
606553	11761255.0	11763223.0	gain	18	122	brca
606553	11761255.0	11763223.0	loss	58	122	brca
252969	11769709.0	11787344.0	gain	18	122	brca
252969	11769709.0	11787344.0	loss	58	122	brca
2222	11795581.0	11839308.0	gain	18	122	brca
2222	11795581.0	11839308.0	loss	58	122	brca
1508	11842523.0	11868086.0	gain	18	122	brca
1508	11842523.0	11868086.0	loss	58	122	brca
613210	11973936.0	11974598.0	gain	18	122	brca
613210	11973936.0	11974598.0	loss	58	122	brca
613209	11982255.0	11984589.0	gain	18	122	brca
613209	11982255.0	11984589.0	loss	58	122	brca
613211	11993173.0	12000751.0	gain	18	122	brca
613211	11993173.0	12000751.0	loss	58	122	brca
728957	12089337.0	12115515.0	gain	18	122	brca
728957	12089337.0	12115515.0	loss	58	122	brca
100132923	12115781.0	12151188.0	gain	18	122	brca
100132923	12115781.0	12151188.0	loss	58	122	brca
392196	12127857.0	12129296.0	gain	18	122	brca
392196	12127857.0	12129296.0	loss	58	122	brca
392197	12132416.0	12134098.0	gain	18	122	brca
392197	12132416.0	12134098.0	loss	58	122	brca
377630	12136434.0	12138848.0	gain	18	122	brca
377630	12136434.0	12138848.0	loss	58	122	brca
729689	12173453.0	12177266.0	gain	18	122	brca
729689	12173453.0	12177266.0	loss	58	122	brca
85002	12182105.0	12194936.0	gain	18	122	brca
85002	12182105.0	12194936.0	loss	58	122	brca
245940	12310961.0	12318315.0	gain	18	122	brca
245940	12310961.0	12318315.0	loss	58	122	brca
100133172	12362018.0	12411000.0	gain	18	122	brca
100133172	12362018.0	12411000.0	loss	58	122	brca
649352	12379266.0	12379788.0	gain	18	122	brca
649352	12379266.0	12379788.0	loss	58	122	brca
245912	12393283.0	12400364.0	gain	18	122	brca
245912	12393283.0	12400364.0	loss	58	122	brca
389633	12414520.0	12418031.0	gain	18	122	brca
389633	12414520.0	12418031.0	loss	58	122	brca
653333	12424420.0	12436399.0	gain	18	122	brca
653333	12424420.0	12436399.0	loss	58	122	brca
100506990	12437012.0	12566844.0	gain	18	122	brca
100506990	12437012.0	12566844.0	loss	58	122	brca
729732	12537078.0	12665610.0	gain	18	122	brca
729732	12537078.0	12665610.0	loss	58	122	brca
100847038	12719131.0	12719189.0	gain	18	122	brca
100847038	12719131.0	12719189.0	loss	58	122	brca
91694	12721905.0	12755525.0	gain	18	122	brca
91694	12721905.0	12755525.0	loss	58	122	brca
100500870	12727231.0	12727303.0	gain	18	122	brca
100500870	12727231.0	12727303.0	loss	57	122	brca
100500838	12727236.0	12727298.0	gain	18	122	brca
100500838	12727236.0	12727298.0	loss	57	122	brca
340357	12765848.0	12811477.0	gain	18	122	brca
340357	12765848.0	12811477.0	loss	57	122	brca
101409254	12794239.0	12818290.0	gain	18	122	brca
101409254	12794239.0	12818290.0	loss	57	122	brca
57604	12945672.0	13029776.0	gain	18	122	brca
57604	12945672.0	13029776.0	loss	57	122	brca
10395	13083360.0	13604619.0	gain	17	122	brca
10395	13083360.0	13604619.0	loss	58	122	brca
157773	13566868.0	13568287.0	gain	17	122	brca
157773	13566868.0	13568287.0	loss	58	122	brca
102725080	13629689.0	13632575.0	gain	17	122	brca
102725080	13629689.0	13632575.0	loss	58	122	brca
137868	14084844.0	15238430.0	gain	17	122	brca
137868	14084844.0	15238430.0	loss	58	122	brca
494332	14853437.0	14853509.0	gain	17	122	brca
494332	14853437.0	14853509.0	loss	58	122	brca
7991	15540086.0	15766648.0	gain	17	122	brca
7991	15540086.0	15766648.0	loss	58	122	brca
4481	16107880.0	16192650.0	gain	18	122	brca
4481	16107880.0	16192650.0	loss	58	122	brca
26281	16992180.0	17002344.0	gain	18	122	brca
26281	16992180.0	17002344.0	loss	58	122	brca
286097	17027237.0	17138639.0	gain	18	122	brca
286097	17027237.0	17138639.0	loss	58	122	brca
51201	17156481.0	17224798.0	gain	18	122	brca
51201	17156481.0	17224798.0	loss	58	122	brca
29883	17224965.0	17246856.0	gain	18	122	brca
29883	17224965.0	17246856.0	loss	58	122	brca
137492	17246957.0	17333454.0	gain	18	122	brca
137492	17246957.0	17333454.0	loss	58	122	brca
9108	17296793.0	17413350.0	gain	18	122	brca
9108	17296793.0	17413350.0	loss	58	122	brca
6542	17494068.0	17570565.0	gain	18	122	brca
6542	17494068.0	17570565.0	loss	58	122	brca
5157	17576432.0	17643143.0	gain	18	122	brca
5157	17576432.0	17643143.0	loss	58	122	brca
57509	17643801.0	17801520.0	gain	18	122	brca
57509	17643801.0	17801520.0	loss	58	122	brca
100422850	17681577.0	17681656.0	gain	18	122	brca
100422850	17681577.0	17681656.0	loss	58	122	brca
2267	17864388.0	17895537.0	gain	18	122	brca
2267	17864388.0	17895537.0	loss	58	122	brca
5108	17922987.0	18029947.0	gain	18	122	brca
5108	17922987.0	18029947.0	loss	58	122	brca
427	18055991.0	18084960.0	gain	17	122	brca
427	18055991.0	18084960.0	loss	58	122	brca
101929066	18084867.0	18097650.0	gain	16	122	brca
101929066	18084867.0	18097650.0	loss	58	122	brca
9	18170466.0	18223688.0	gain	16	122	brca
9	18170466.0	18223688.0	loss	58	122	brca
10	18386300.0	18401217.0	gain	16	122	brca
10	18386300.0	18401217.0	loss	58	122	brca
23362	18527302.0	19085011.0	gain	16	122	brca
23362	18527302.0	19085011.0	loss	58	122	brca
100128993	19183673.0	19245521.0	gain	16	122	brca
100128993	19183673.0	19245521.0	loss	57	122	brca
63898	19313692.0	19396217.0	gain	16	122	brca
63898	19313692.0	19396217.0	loss	57	122	brca
55790	19404160.0	19757907.0	gain	16	122	brca
55790	19404160.0	19757907.0	loss	57	122	brca
55174	19817415.0	19852066.0	gain	16	122	brca
55174	19817415.0	19852066.0	loss	57	122	brca
4023	19939252.0	19967258.0	gain	16	122	brca
4023	19939252.0	19967258.0	loss	57	122	brca
6570	20144854.0	20183135.0	gain	16	122	brca
6570	20144854.0	20183135.0	loss	57	122	brca
526	20197380.0	20221695.0	gain	16	122	brca
526	20197380.0	20221695.0	loss	57	122	brca
11178	20246164.0	20303962.0	gain	16	122	brca
11178	20246164.0	20303962.0	loss	57	122	brca
100874051	20275772.0	20290457.0	gain	16	122	brca
100874051	20275772.0	20290457.0	loss	57	122	brca
102467222	20953632.0	20968937.0	gain	16	122	brca
102467222	20953632.0	20968937.0	loss	57	122	brca
286114	20973985.0	20995118.0	gain	16	122	brca
286114	20973985.0	20995118.0	loss	57	122	brca
101929172	21298238.0	21309448.0	gain	16	122	brca
101929172	21298238.0	21309448.0	loss	57	122	brca
2675	21690397.0	21812344.0	gain	16	122	brca
2675	21690397.0	21812344.0	loss	57	122	brca
9046	21908872.0	21913689.0	gain	16	122	brca
9046	21908872.0	21913689.0	loss	56	122	brca
23039	21919661.0	22006584.0	gain	16	122	brca
23039	21919661.0	22006584.0	loss	56	122	brca
10361	22024133.0	22036896.0	gain	16	122	brca
10361	22024133.0	22036896.0	loss	56	122	brca
8822	22039671.0	22048808.0	gain	16	122	brca
8822	22039671.0	22048808.0	loss	56	122	brca
2039	22048930.0	22082524.0	gain	16	122	brca
2039	22048930.0	22082524.0	loss	56	122	brca
64760	22089149.0	22104910.0	gain	16	122	brca
64760	22089149.0	22104910.0	loss	56	122	brca
79873	22106877.0	22110481.0	gain	16	122	brca
79873	22106877.0	22110481.0	loss	56	122	brca
55806	22114418.0	22131051.0	gain	16	122	brca
55806	22114418.0	22131051.0	loss	56	122	brca
80346	22138019.0	22141906.0	gain	16	122	brca
80346	22138019.0	22141906.0	loss	56	122	brca
203190	22146829.0	22156805.0	gain	16	122	brca
203190	22146829.0	22156805.0	loss	56	122	brca
6440	22157382.0	22164478.0	gain	16	122	brca
6440	22157382.0	22164478.0	loss	56	122	brca
649	22165371.0	22212325.0	gain	16	122	brca
649	22165371.0	22212325.0	loss	56	122	brca
9796	22219702.0	22232098.0	gain	16	122	brca
9796	22219702.0	22232098.0	loss	56	122	brca
407037	22244965.0	22245036.0	gain	16	122	brca
407037	22244965.0	22245036.0	loss	56	122	brca
661	22245132.0	22254600.0	gain	16	122	brca
661	22245132.0	22254600.0	loss	56	122	brca
100507071	22254575.0	22275161.0	gain	16	122	brca
100507071	22254575.0	22275161.0	loss	56	122	brca
55124	22275315.0	22357567.0	gain	16	122	brca
55124	22275315.0	22357567.0	loss	56	122	brca
23516	22367277.0	22434128.0	gain	16	122	brca
23516	22367277.0	22434128.0	loss	56	122	brca
5533	22441077.0	22541124.0	gain	16	122	brca
5533	22441077.0	22541124.0	loss	56	122	brca
10174	22544972.0	22575787.0	gain	16	122	brca
10174	22544972.0	22575787.0	loss	56	122	brca
64236	22578740.0	22598025.0	gain	16	122	brca
64236	22578740.0	22598025.0	loss	56	122	brca
541565	22599598.0	22604141.0	gain	16	122	brca
541565	22599598.0	22604141.0	loss	56	122	brca
57805	22604756.0	22621513.0	gain	16	122	brca
57805	22604756.0	22621513.0	loss	56	122	brca
55909	22620417.0	22669120.0	gain	16	122	brca
55909	22620417.0	22669120.0	loss	56	122	brca
80094	22640370.0	22642208.0	gain	16	122	brca
80094	22640370.0	22642208.0	loss	56	122	brca
1960	22687658.0	22693479.0	gain	16	122	brca
1960	22687658.0	22693479.0	loss	56	122	brca
157310	22713250.0	22941076.0	gain	16	122	brca
157310	22713250.0	22941076.0	loss	58	122	brca
101929237	22877971.0	22888021.0	gain	16	122	brca
101929237	22877971.0	22888021.0	loss	58	122	brca
23221	22950812.0	23020198.0	gain	16	122	brca
23221	22950812.0	23020198.0	loss	58	122	brca
8795	23020132.0	23069030.0	gain	16	122	brca
8795	23020132.0	23069030.0	loss	57	122	brca
286059	23068228.0	23083618.0	gain	16	122	brca
286059	23068228.0	23083618.0	loss	57	122	brca
254896	23084354.0	23103557.0	gain	16	122	brca
254896	23084354.0	23103557.0	loss	57	122	brca
8794	23102920.0	23117444.0	gain	16	122	brca
8794	23102920.0	23117444.0	loss	57	122	brca
8793	23135587.0	23164026.0	gain	16	122	brca
8793	23135587.0	23164026.0	loss	57	122	brca
8797	23190451.0	23225101.0	gain	16	122	brca
8797	23190451.0	23225101.0	loss	57	122	brca
389641	23225220.0	23230925.0	gain	16	122	brca
389641	23225220.0	23230925.0	loss	57	122	brca
91782	23243636.0	23261998.0	gain	16	122	brca
91782	23243636.0	23261998.0	loss	57	122	brca
203069	23288091.0	23296278.0	gain	16	122	brca
203069	23288091.0	23296278.0	loss	57	122	brca
4017	23296896.0	23404119.0	gain	16	122	brca
4017	23296896.0	23404119.0	loss	57	122	brca
100507156	23336207.0	23366124.0	gain	16	122	brca
100507156	23336207.0	23366124.0	loss	57	122	brca
9583	23429161.0	23457646.0	gain	16	122	brca
9583	23429161.0	23457646.0	loss	57	122	brca
51312	23528955.0	23575462.0	gain	16	122	brca
51312	23528955.0	23575462.0	loss	57	122	brca
4824	23678692.0	23682937.0	gain	16	122	brca
4824	23678692.0	23682937.0	loss	57	122	brca
137814	23701739.0	23706755.0	gain	16	122	brca
137814	23701739.0	23706755.0	loss	57	122	brca
6781	23841928.0	23854805.0	gain	16	122	brca
6781	23841928.0	23854805.0	loss	57	122	brca
10863	24294068.0	24359013.0	gain	16	122	brca
10863	24294068.0	24359013.0	loss	57	122	brca
101929294	24295813.0	24548617.0	gain	16	122	brca
101929294	24295813.0	24548617.0	loss	57	122	brca
27299	24384284.0	24406012.0	gain	16	122	brca
27299	24384284.0	24406012.0	loss	57	122	brca
8756	24441025.0	24509564.0	gain	16	122	brca
8756	24441025.0	24509564.0	loss	57	122	brca
101929315	24490311.0	24514867.0	gain	16	122	brca
101929315	24490311.0	24514867.0	loss	57	122	brca
4741	24913760.0	24919092.0	gain	16	122	brca
4741	24913760.0	24919092.0	loss	57	122	brca
4747	24950954.0	24956611.0	gain	16	122	brca
4747	24950954.0	24956611.0	loss	57	122	brca
102465506	24953795.0	24953866.0	gain	16	122	brca
102465506	24953795.0	24953866.0	loss	57	122	brca
80005	25184688.0	25415710.0	gain	16	122	brca
80005	25184688.0	25415710.0	loss	57	122	brca
102465527	25345401.0	25345473.0	gain	16	122	brca
102465527	25345401.0	25345473.0	loss	57	122	brca
2796	25419257.0	25425039.0	gain	16	122	brca
2796	25419257.0	25425039.0	loss	57	122	brca
54793	25427846.0	25458432.0	gain	16	122	brca
54793	25427846.0	25458432.0	loss	57	122	brca
157313	25458930.0	25507916.0	gain	16	122	brca
157313	25458930.0	25507916.0	loss	57	122	brca
64641	25841724.0	26045412.0	gain	16	122	brca
64641	25841724.0	26045412.0	loss	57	122	brca
5520	26291507.0	26372679.0	gain	17	122	brca
5520	26291507.0	26372679.0	loss	56	122	brca
665	26383053.0	26413126.0	gain	16	122	brca
665	26383053.0	26413126.0	loss	57	122	brca
10687	26504700.0	26513871.0	gain	16	122	brca
10687	26504700.0	26513871.0	loss	57	122	brca
1808	26514030.0	26658174.0	gain	16	122	brca
1808	26514030.0	26658174.0	loss	57	122	brca
148	26748149.0	26867378.0	gain	17	122	brca
148	26748149.0	26867378.0	loss	57	122	brca
100313884	27048852.0	27048962.0	gain	17	122	brca
100313884	27048852.0	27048962.0	loss	56	122	brca
81551	27235307.0	27258403.0	gain	17	122	brca
81551	27235307.0	27258403.0	loss	56	122	brca
23087	27284885.0	27311271.0	gain	18	122	brca
23087	27284885.0	27311271.0	loss	55	122	brca
2185	27310505.0	27459390.0	gain	18	122	brca
2185	27310505.0	27459390.0	loss	55	122	brca
102465507	27433369.0	27433433.0	gain	18	122	brca
102465507	27433369.0	27433433.0	loss	55	122	brca
1135	27459755.0	27479260.0	gain	18	122	brca
1135	27459755.0	27479260.0	loss	55	122	brca
2053	27491142.0	27545563.0	gain	18	122	brca
2053	27491142.0	27545563.0	loss	55	122	brca
1191	27596916.0	27614699.0	gain	18	122	brca
1191	27596916.0	27614699.0	loss	55	122	brca
102465508	27610600.0	27610750.0	gain	18	122	brca
102465508	27610600.0	27610750.0	loss	55	122	brca
51435	27633462.0	27734140.0	gain	18	122	brca
51435	27633462.0	27734140.0	loss	55	122	brca
100500871	27701672.0	27701766.0	gain	17	122	brca
100500871	27701672.0	27701766.0	loss	56	122	brca
100500858	27701676.0	27701758.0	gain	17	122	brca
100500858	27701676.0	27701758.0	loss	56	122	brca
55246	27733315.0	27772639.0	gain	17	122	brca
55246	27733315.0	27772639.0	loss	56	122	brca
157570	27771973.0	27819659.0	gain	17	122	brca
157570	27771973.0	27819659.0	loss	56	122	brca
55872	27809623.0	27837816.0	gain	17	122	brca
55872	27809623.0	27837816.0	loss	56	122	brca
286133	27869882.0	27992672.0	gain	17	122	brca
286133	27869882.0	27992672.0	loss	58	122	brca
100422828	27886038.0	27886115.0	gain	17	122	brca
100422828	27886038.0	27886115.0	loss	57	122	brca
389643	28021963.0	28083935.0	gain	17	122	brca
389643	28021963.0	28083935.0	loss	58	122	brca
55140	28090231.0	28191152.0	gain	17	122	brca
55140	28090231.0	28191152.0	loss	58	122	brca
5368	28316987.0	28343350.0	gain	17	122	brca
5368	28316987.0	28343350.0	loss	58	122	brca
55893	28345589.0	28386459.0	gain	17	122	brca
55893	28345589.0	28386459.0	loss	58	122	brca
157574	28428411.0	28490228.0	gain	17	122	brca
157574	28428411.0	28490228.0	loss	58	122	brca
7976	28494211.0	28574257.0	gain	17	122	brca
7976	28494211.0	28574257.0	loss	58	122	brca
100422903	28505115.0	28505181.0	gain	17	122	brca
100422903	28505115.0	28505181.0	loss	58	122	brca
2137	28607735.0	28755598.0	gain	17	122	brca
2137	28607735.0	28755598.0	loss	58	122	brca
101929402	28698402.0	28701463.0	gain	17	122	brca
101929402	28698402.0	28701463.0	loss	58	122	brca
55756	28767660.0	28889968.0	gain	17	122	brca
55756	28767660.0	28889968.0	loss	58	122	brca
79618	28890115.0	29053269.0	gain	17	122	brca
79618	28890115.0	29053269.0	loss	58	122	brca
23303	29067277.0	29263387.0	gain	17	122	brca
23303	29067277.0	29263387.0	loss	58	122	brca
1846	29333063.0	29350683.0	gain	20	122	brca
1846	29333063.0	29350683.0	loss	54	122	brca
619351	29721258.0	29748108.0	gain	20	122	brca
619351	29721258.0	29748108.0	loss	54	122	brca
101929450	29748308.0	29798491.0	gain	20	122	brca
101929450	29748308.0	29798491.0	loss	54	122	brca
101929470	29815003.0	29828503.0	gain	20	122	brca
101929470	29815003.0	29828503.0	loss	54	122	brca
286135	29921512.0	29953608.0	gain	20	122	brca
286135	29921512.0	29953608.0	loss	54	122	brca
100422876	29957271.0	29957347.0	gain	20	122	brca
100422876	29957271.0	29957347.0	loss	54	122	brca
51669	30063002.0	30083207.0	gain	20	122	brca
51669	30063002.0	30083207.0	loss	54	122	brca
23484	30095407.0	30138347.0	gain	18	122	brca
23484	30095407.0	30138347.0	loss	53	122	brca
619373	30131670.0	30144664.0	gain	18	122	brca
619373	30131670.0	30144664.0	loss	53	122	brca
10671	30156368.0	30183638.0	gain	18	122	brca
10671	30156368.0	30183638.0	loss	53	122	brca
100128750	30382118.0	30385400.0	gain	18	122	brca
100128750	30382118.0	30385400.0	loss	53	122	brca
11030	30384540.0	30572255.0	gain	18	122	brca
11030	30384540.0	30572255.0	loss	53	122	brca
2961	30578317.0	30658235.0	gain	17	122	brca
2961	30578317.0	30658235.0	loss	53	122	brca
100507341	30638579.0	30646063.0	gain	17	122	brca
