Name	lscc_Database_ID	brca_Database_ID	luad_Database_ID	ovarian_Database_ID	brca_pvalue	colon_pvalue	hnscc_pvalue	lscc_pvalue	luad_pvalue	ovarian_pvalue
AASS	NP_005754.2	NP_005754.2	NP_005754.2	NP_005754	0.014709538881145897	0.0013724638717754064	0.004350730192205198	0.00269737611962613	0.5989690619054154	0.002648190016882177
AATF	NP_036270.1	NP_036270.1	NP_036270.1	NP_036270	0.0006429843989939485	0.008307268624806323	0.006320278527944124	0.0015153796851947287	0.005112275739330448	0.000562311333199008
ABAT	NP_000654.2	NP_065737.2	NP_000654.2	NP_065737	0.00037954008061073487	0.002089280118219624	0.01976817375500649	0.0025342501130684214	0.0013180397870308793	0.0036496372623008515
ABCA1	NP_005493.2	NP_005493.2	NP_005493.2	NP_005493	0.00037764630928135154		0.00401032715095255	0.0008458149291513972	0.006269439120994461	0.0031814928288030637
ABCA12	NP_775099.2|NP_056472.2	NP_775099.2|NP_056472.2	NP_775099.2|NP_056472.2		0.0017796337838618984		0.007135393605537222	0.002620687145658059	0.0012065840386939332	
ABCA13	NP_689914.3	NP_689914.3	NP_689914.3		0.0027329096741338637			0.0008458149291513972	0.0015886308927444178	
ABCA2	NP_997698.1|NP_001597.2	NP_997698.1|NP_001597.2	NP_997698.1|NP_001597.2	NP_001597	0.0009424331570952539		0.00532924621190593	0.0008458149291513972	0.0034079694688968413	0.0005435893060783982
ABCA3	NP_001080.2	NP_001080.2	NP_001080.2		0.00037764630928135154		0.003332963889967686	0.029860462956382047	0.041510092035742956	
ABCA6	NP_525023.2	NP_525023.2	NP_525023.2	NP_525023	0.023031939700926114		0.005256179167952709	0.008611686552753153	0.010208922891018647	0.0016577812400029141
ABCA8	NP_001275914.1|NP_001275915.1|NP_009099.1	NP_001275914.1|NP_001275915.1	NP_001275914.1|NP_001275915.1|NP_009099.1	NP_001275914	0.013938699515849352	0.0016769253307252039	0.02095171902225345	0.13894685092111014	0.0032595591388365572	0.0006195924227126082
ABCB1	NP_001335874.1|NP_000918.2	NP_000918.2|NP_003733.2	NP_000918.2|NP_001335874.1	NP_000918	0.00037764630928135154	0.004740885997464238	0.005845355691412501	0.004090532395988921	0.009108791030292874	0.0039550268989877995
ABCB10	NP_036221.2	NP_036221.2	NP_036221.2	NP_036221	0.011373872733835435	0.0012409239563522024	0.002185495231761614	0.0013709668927607526	0.0013115165235954966	0.0005175402027134085
ABCB5	NP_001157413.1|NP_848654.3|NP_001157414.1|NP_001157465.1	NP_001157413.1|NP_848654.3	NP_001157413.1|NP_848654.3|NP_001157414.1|NP_001157465.1		0.000766322762248369			0.07888296563036565	0.0015302859365936838	
ABCB6	NP_005680.1|NP_001336757.1	NP_005680.1	NP_005680.1|NP_001336757.1	NP_005680	0.0008064771798311118	0.02227115552470363	0.016242057670900666	0.0018343401802025415	0.0012065840386939332	0.0005082479471238339
ABCB7	NP_004290.2|NP_001258625.1|NP_001258627.1	NP_001258628.1|NP_001258626.1	NP_004290.2|NP_001258625.1|NP_001258627.1	NP_001258625	0.007074749361127366	0.03128874514375496	0.002907544781244076	0.006897285003608293	0.009812837526108037	0.0023394757045700587
ABCB7	NP_004290.2|NP_001258625.1|NP_001258627.1	NP_004290.2|NP_001258625.1|NP_001258627.1	NP_004290.2|NP_001258625.1|NP_001258627.1	NP_001258625	0.0004650259732570813	0.03128874514375496	0.002907544781244076	0.006897285003608293	0.009812837526108037	0.0023394757045700587
ABCB8	NP_001269220.1|NP_009119.2|NP_001269222.1|NP_001269221.1	NP_001269220.1|NP_009119.2|NP_001269222.1|NP_001269221.1	NP_001269220.1|NP_009119.2|NP_001269222.1|NP_001269221.1	NP_001269220	0.00037913505365490616	0.003911716865868039	0.011754428112673108	0.0022485339773376423	0.10245088777642639	0.007946606066305354
ABCC1	NP_004987.2	NP_004987.2	NP_004987.2	NP_004987	0.000658604499602585	0.0033216322445438003		0.01594810525331785	0.008851424705576271	0.0014051789579304103
ABCC10	NP_001185863.1|NP_258261.2|NP_001337447.1	NP_001185863.1|NP_258261.2	NP_001185863.1|NP_258261.2|NP_001337447.1	NP_001185863	0.0009200083045873461		0.024191003589686632	0.0008458149291513972	0.07483138069997344	0.0005082479471238339
ABCC11		NP_149163.2|NP_660187.1|NP_150229.2			0.003662300780370817					
ABCC2	NP_000383.2	NP_000383.1	NP_000383.2		0.0005716763244140907		0.003616467761968077	0.0012715841117034398	0.004742859917528072	
ABCC3	NP_003777.2|NP_001137542.1	NP_003777.2|NP_001137542.1	NP_003777.2|NP_001137542.1	NP_003777	0.0018670419810237146	0.0010930779504217576	0.019220488777603108	0.0008458149291513972	0.07092187495590982	0.0005396174149582756
ABCC4	NP_005836.2|NP_001288758.1|NP_001098985.1|NP_001288759.1	NP_005836.2|NP_001288758.1|NP_001098985.1|NP_001288759.1	NP_001288759.1	NP_005836	0.00037764630928135154	0.003482811975285567	0.061008232332973436	0.000977104674518555	0.0012065840386939332	0.002347844379163871
ABCC4	NP_005836.2|NP_001288758.1|NP_001098985.1|NP_001288759.1	NP_005836.2|NP_001288758.1|NP_001098985.1|NP_001288759.1	NP_005836.2|NP_001288758.1|NP_001098985.1	NP_005836	0.00037764630928135154	0.003482811975285567	0.061008232332973436	0.000977104674518555	0.00149777850482225	0.002347844379163871
ABCC5	NP_005679.2|NP_001306961.1|NP_001018881.1	NP_005679.2|NP_001306961.1|NP_001018881.1	NP_005679.2|NP_001306961.1|NP_001018881.1	NP_005679	0.002876970684415433		0.06232445373886766	0.0008458149291513972	0.019184329357815413	0.014220149785225844
ABCD1	NP_000024.2	NP_000024.2	NP_000024.2	NP_000024	0.00037764630928135154	0.0014817353715580743	0.0024213783799305923	0.0021727066102295274	0.12239648483263621	0.0030388405217929796
ABCD3	NP_002849.1	NP_002849.1|NP_001116146.1	NP_002849.1	NP_002849	0.0006827934651624113	0.0010930779504217576	0.0059249367663437216	0.0015695758250227274	0.029293417603767247	0.0005082479471238339
ABCE1	NP_001035809.1	NP_001035809.1	NP_001035809.1	NP_001035809	0.0005061291209650848	0.0010930779504217576	0.011363724864402194	0.003545605844978262	0.0022146252229721967	0.0057607679913293484
ABCF1	NP_001020262.1|NP_001081.1	NP_001020262.1|NP_001081.1	NP_001020262.1|NP_001081.1	NP_001020262	0.00037764630928135154	0.02127210490250135	0.0035231951614689925	0.0008458149291513972	0.029988148272279695	0.0048118412686208685
ABCF2	NP_005683.2|NP_009120.1	NP_005683.2|NP_009120.1	NP_005683.2|NP_009120.1	NP_005683	0.0005192612323054272	0.004906129516572053	0.0021902834587317226	0.0008458149291513972	0.014359316075557682	0.014009867800981575
ABCF3	NP_060828.2|NP_001338227.1|NP_001338229.1|NP_001338228.1	NP_060828.2	NP_060828.2|NP_001338227.1|NP_001338229.1|NP_001338228.1	NP_060828	0.003094878891328739	0.0015085719871133422	0.13590318556342876	0.000968707450908371	0.0012169400112527983	0.002254936096033669
ABCG1	NP_004906.3|NP_997057.1|NP_997510.1|NP_058198.2|NP_997512.1|NP_997511.1|NP_001135977.1|NP_001335121.1	NP_997512.1|NP_004906.3|NP_997057.1|NP_997510.1|NP_058198.2|NP_997511.1|NP_001135977.1	NP_997511.1|NP_004906.3|NP_997057.1|NP_997510.1|NP_058198.2|NP_997512.1|NP_001135977.1|NP_001335121.1		0.0006189233509248604		0.0034133535769593584	0.0008458149291513972	0.0014697919899385558	
ABHD10	NP_060864.1|NP_001258998.1	NP_060864.1|NP_001258998.1	NP_060864.1|NP_001258998.1	NP_060864	0.0005742029199067515	0.007586807384320064	0.002472403839577723	0.0010741222467402058	0.07120630072416435	0.0020987025231146298
ABHD11	NP_683710.1|NP_683711.1|NP_001138836.1|NP_001308311.1|NP_001308312.1|NP_001287987.1	NP_683710.1|NP_683711.1|NP_001138836.1|NP_001308311.1|NP_001308312.1|NP_001287987.1	NP_683710.1|NP_683711.1|NP_001138836.1|NP_001308311.1|NP_001308312.1|NP_001287987.1	NP_683710	0.0026120389223938663	0.001329675012944076	0.022004116616220506	0.0011279862467237648	0.022041261877135412	0.019179984224806258
ABHD12	NP_001035937.1|NP_056415.1	NP_056415.1|NP_001035937.1	NP_001035937.1|NP_056415.1	NP_001035937	0.003940323962333262	0.0010930779504217576	0.003465796313328661	0.024340362770487407	0.014370105806079508	0.0010513355586012547
ABHD13	NP_116248.2	NP_116248.2	NP_116248.2		0.007094253551155402		0.003237669595809473	0.006697987291078333	0.014972996162913428	
ABHD14B	NP_001139786.1|NP_001241682.1	NP_001139786.1|NP_001241682.1	NP_001139786.1|NP_001241682.1	NP_001139786	0.000546018371907138	0.0011228638531324546	0.008530546402233824	0.015735980345029404	0.0012065840386939332	0.0008647368213168874
ABHD16A	NP_066983.1|NP_001170986.1	NP_066983.1|NP_001170986.1	NP_066983.1|NP_001170986.1	NP_066983	0.0008692349754578576	0.007884334604420718	0.04554423502892105	0.015736823241613143	0.0857183352021137	0.017797457875046555
ABHD17A	NP_112490.3|NP_001123583.1	NP_112490.3|NP_001123583.1	NP_112490.3|NP_001123583.1	NP_001123583	0.00039089471377339686	0.010224203665889454	0.004761641348393171	0.005124126737242858	0.002208427353529361	0.0005619534727570024
ABHD17B	NP_001020951.1|NP_057098.2	NP_001020951.1|NP_057098.2	NP_001020951.1|NP_057098.2	NP_001020951	0.00045806142202649714	0.004898252808325895	0.002376464309685461	0.002063202180103239	0.004340068972153256	0.0013913918531102355
ABHD17C	NP_067037.1	NP_067037.1	NP_067037.1	NP_067037	0.0006347296428049065	0.002302638253587632	0.004824486195859724	0.0008458149291513972	0.009892471943267875	0.002407142542223008
ABHD3	NP_612213.2|NP_001295185.1|NP_001295186.1	NP_612213.2|NP_001295185.1|NP_001295186.1	NP_612213.2|NP_001295185.1|NP_001295186.1		0.00041313868129070757	0.002447854134542368	0.00317537205346918	0.0011884445305074248	0.002241286671699017	
ABHD4	NP_071343.2	NP_071343.2	NP_071343.2	NP_071343	0.0007214063677319647		0.0029825743626784263	0.0021152105732520476	0.0014005142479068082	0.000682419377266297
ABHD5	NP_001342115.1	NP_057090.2	NP_001342115.1	NP_057090	0.0005243292574589533		0.016761292802761237	0.0008458149291513972	0.0015218542689365688	0.0006897228744440424
ABHD6	NP_001307055.1	NP_001307055.1	NP_001307055.1	NP_001307055	0.0022891893024849473	0.0025467049803728366	0.004649309381718191	0.0008458149291513972	0.0064088799333261925	0.0007823643089913328
ABI1	NP_001012768.1|NP_001012770.1|NP_001012769.1|NP_001334959.1	NP_001012768.1|NP_001012770.1|NP_001012769.1	NP_001171590.1|NP_001171591.1|NP_001171592.1|NP_005461.2|NP_001334958.1|NP_001334961.1|NP_001334962.1|NP_001334963.1|NP_001171593.1|NP_001334960.1|NP_001171594.1|NP_001171595.1|NP_001171587.1|NP_001171596.1	NP_001012768	0.00037764630928135154	0.0019165408303535682	0.0030494206196136184	0.0021779117824267235	0.024508994342847725	0.0007015803405071039
ABI1	NP_001171590.1|NP_001171591.1|NP_001171592.1|NP_005461.2|NP_001334958.1|NP_001334961.1|NP_001334962.1|NP_001334963.1|NP_001171593.1|NP_001334960.1|NP_001171594.1|NP_001171595.1|NP_001171587.1|NP_001171596.1	NP_001012768.1|NP_001012770.1|NP_001012769.1	NP_001171590.1|NP_001171591.1|NP_001171592.1|NP_005461.2|NP_001334958.1|NP_001334961.1|NP_001334962.1|NP_001334963.1|NP_001171593.1|NP_001334960.1|NP_001171594.1|NP_001171595.1|NP_001171587.1|NP_001171596.1	NP_001012768	0.00037764630928135154	0.0019165408303535682	0.0030494206196136184	0.0029841139364509576	0.024508994342847725	0.0007015803405071039
ABI2	NP_001269854.1|NP_001269855.1|NP_005750.4|NP_001269856.1|NP_001269861.1	NP_001269854.1|NP_001269855.1|NP_005750.4	NP_001269854.1|NP_001269855.1|NP_005750.4|NP_001269856.1|NP_001269861.1	NP_005750	0.0026979945002160682	0.017602328901795968	0.003635143367491171	0.0008458149291513972	0.007127646223778093	0.0009608117639903754
ABI3	NP_057512.1|NP_001128658.1	NP_057512.1|NP_001128658.1	NP_057512.1|NP_001128658.1	NP_057512	0.00037764630928135154	0.009275433073945514	0.03656819663500142	0.00484749854176921	0.04624037819610815	0.0005082479471238339
ABI3BP	NP_001336259.1|NP_001336258.1|NP_001336261.1|NP_001336260.1|NP_056244.2	NP_056244.2	NP_001336258.1|NP_001336259.1	NP_056244	0.00037954008061073487	0.0027151510326621615	0.014621744174451277	0.006024777883702151	0.00374463390102803	0.001639064446182227
ABI3BP	NP_001336259.1|NP_001336258.1|NP_001336261.1|NP_001336260.1|NP_056244.2	NP_056244.2	NP_001336261.1|NP_056244.2	NP_056244	0.00037954008061073487	0.0027151510326621615	0.014621744174451277	0.006024777883702151	0.0029041712811374294	0.001639064446182227
ABL1	NP_009297.2|NP_005148.2	NP_009297.2|NP_005148.2		NP_005148	0.0019266054751260018	0.007478199421339748	0.03430883986782092	0.000850165120770183		0.0009843725751477672
ABLIM1	NP_001003407.1|NP_002304.3|NP_001309812.1|NP_001309814.1|NP_001339371.1|NP_006711.3|NP_001309821.1|NP_001309825.1	NP_001309811.1|NP_001309815.1	NP_001309811.1|NP_001309813.1|NP_001339369.1|NP_001309815.1|NP_001309816.1|NP_001339370.1|NP_001339372.1|NP_001309819.1|NP_001309818.1|NP_001309823.1|NP_001309817.1|NP_001309826.1|NP_001309827.1|NP_001309829.1	NP_001003407	0.00043513849383680636	0.0015788742142404666	0.004986141069025487	0.0024260845391791226	0.0037761160644771198	0.0011012314988738203
ABLIM1	NP_001003407.1|NP_002304.3|NP_001309812.1|NP_001309814.1|NP_001339371.1|NP_006711.3|NP_001309821.1|NP_001309825.1	NP_001309811.1|NP_001309815.1	NP_001309811.1|NP_001309813.1|NP_001339369.1|NP_001309815.1|NP_001309816.1|NP_001339370.1|NP_001339372.1|NP_001309819.1|NP_001309818.1|NP_001309823.1|NP_001309817.1|NP_001309826.1|NP_001309827.1|NP_001309829.1	NP_001309811	0.00043513849383680636	0.0015788742142404666	0.004986141069025487	0.0024260845391791226	0.0037761160644771198	0.0012188210038825773
ABLIM1	NP_001003407.1|NP_002304.3|NP_001309812.1|NP_001309814.1|NP_001339371.1|NP_006711.3|NP_001309821.1|NP_001309825.1	NP_001309811.1|NP_001309815.1	NP_002304.3|NP_001339371.1|NP_001309821.1|NP_001309825.1	NP_001003407	0.00043513849383680636	0.0015788742142404666	0.004986141069025487	0.0024260845391791226	0.0017503822254587955	0.0011012314988738203
ABLIM1	NP_001003407.1|NP_002304.3|NP_001309812.1|NP_001309814.1|NP_001339371.1|NP_006711.3|NP_001309821.1|NP_001309825.1	NP_001309811.1|NP_001309815.1	NP_002304.3|NP_001339371.1|NP_001309821.1|NP_001309825.1	NP_001309811	0.00043513849383680636	0.0015788742142404666	0.004986141069025487	0.0024260845391791226	0.0017503822254587955	0.0012188210038825773
ABLIM1	NP_001309811.1|NP_001309813.1|NP_001339369.1|NP_001309815.1|NP_001309816.1|NP_001339370.1|NP_001339372.1|NP_001309819.1|NP_001309818.1|NP_001309823.1|NP_001309817.1|NP_001309826.1|NP_001309827.1|NP_001309829.1	NP_001309811.1|NP_001309815.1	NP_001309811.1|NP_001309813.1|NP_001339369.1|NP_001309815.1|NP_001309816.1|NP_001339370.1|NP_001339372.1|NP_001309819.1|NP_001309818.1|NP_001309823.1|NP_001309817.1|NP_001309826.1|NP_001309827.1|NP_001309829.1	NP_001003407	0.00043513849383680636	0.0015788742142404666	0.004986141069025487	0.0030146759666273564	0.0037761160644771198	0.0011012314988738203
ABLIM1	NP_001309811.1|NP_001309813.1|NP_001339369.1|NP_001309815.1|NP_001309816.1|NP_001339370.1|NP_001339372.1|NP_001309819.1|NP_001309818.1|NP_001309823.1|NP_001309817.1|NP_001309826.1|NP_001309827.1|NP_001309829.1	NP_001309811.1|NP_001309815.1	NP_001309811.1|NP_001309813.1|NP_001339369.1|NP_001309815.1|NP_001309816.1|NP_001339370.1|NP_001339372.1|NP_001309819.1|NP_001309818.1|NP_001309823.1|NP_001309817.1|NP_001309826.1|NP_001309827.1|NP_001309829.1	NP_001309811	0.00043513849383680636	0.0015788742142404666	0.004986141069025487	0.0030146759666273564	0.0037761160644771198	0.0012188210038825773
ABLIM1	NP_001309811.1|NP_001309813.1|NP_001339369.1|NP_001309815.1|NP_001309816.1|NP_001339370.1|NP_001339372.1|NP_001309819.1|NP_001309818.1|NP_001309823.1|NP_001309817.1|NP_001309826.1|NP_001309827.1|NP_001309829.1	NP_001309811.1|NP_001309815.1	NP_002304.3|NP_001339371.1|NP_001309821.1|NP_001309825.1	NP_001003407	0.00043513849383680636	0.0015788742142404666	0.004986141069025487	0.0030146759666273564	0.0017503822254587955	0.0011012314988738203
ABLIM1	NP_001309811.1|NP_001309813.1|NP_001339369.1|NP_001309815.1|NP_001309816.1|NP_001339370.1|NP_001339372.1|NP_001309819.1|NP_001309818.1|NP_001309823.1|NP_001309817.1|NP_001309826.1|NP_001309827.1|NP_001309829.1	NP_001309811.1|NP_001309815.1	NP_002304.3|NP_001339371.1|NP_001309821.1|NP_001309825.1	NP_001309811	0.00043513849383680636	0.0015788742142404666	0.004986141069025487	0.0030146759666273564	0.0017503822254587955	0.0012188210038825773
ABLIM2	NP_001123555.1|NP_001123556.1|NP_001123558.1|NP_001123557.1|NP_115808.3|NP_001123559.1|NP_001123560.1|NP_001273617.1	NP_001123555.1|NP_001123556.1|NP_001123558.1|NP_001123557.1|NP_115808.3|NP_001123559.1|NP_001123560.1|NP_001273617.1	NP_001123555.1|NP_001123556.1|NP_001123558.1|NP_001123557.1|NP_115808.3|NP_001123559.1|NP_001123560.1|NP_001273617.1	NP_001123555	0.0130962904721072	0.03373810060268148	0.0024409222219552765	0.001079128662019496	0.0012294939027928473	0.0008647982832555173
ABLIM3	NP_001287947.1|NP_001287944.1	NP_001287947.1|NP_001287944.1	NP_001332788.1|NP_001287947.1|NP_001287944.1		0.00191683034778165		0.00293799479130716	0.0016270927853819497	0.012491721431563968	
ABLIM3	NP_001287956.1	NP_001287947.1|NP_001287944.1	NP_001332788.1|NP_001287947.1|NP_001287944.1		0.00191683034778165		0.00293799479130716	0.005188953168665043	0.012491721431563968	
ABLIM3	NP_001287947.1|NP_001287944.1	NP_001287956.1	NP_001332788.1|NP_001287947.1|NP_001287944.1		0.002117703941145661		0.00293799479130716	0.0016270927853819497	0.012491721431563968	
ABLIM3	NP_001287956.1	NP_001287956.1	NP_001332788.1|NP_001287947.1|NP_001287944.1		0.002117703941145661		0.00293799479130716	0.005188953168665043	0.012491721431563968	
ABR	NP_001309770.1|NP_068781.2|NP_001153218.1|NP_001269078.1|NP_001243776.1|NP_001309771.1	NP_001309770.1|NP_068781.2|NP_001153218.1|NP_001269078.1|NP_001243776.1|NP_001309771.1	NP_001309770.1|NP_068781.2|NP_001153218.1|NP_001269078.1|NP_001243776.1|NP_001309771.1	NP_001309770	0.0073514091552746375	0.002900024080053634	0.014795694327694479	0.0008458149291513972	0.2627848462631658	0.0007024930063779324
ABRACL	NP_067066.1	NP_067066.1	NP_067066.1	NP_067066	0.0003902868910955467	0.002221937682902436	0.0022135434755659435	0.0008458149291513972	0.0731109017975696	0.0013694927475164313
ABT1	NP_037507.1	NP_037507.1	NP_037507.1	NP_037507	0.0008520497407344935	0.0020143203341677013	0.011149782025160962	0.0008647142455975406	0.002532202199216968	0.0005096972454865777
ABTB1	NP_742024.1|NP_115937.1	NP_742024.1|NP_115937.1	NP_742024.1|NP_115937.1		0.000641848119132671		0.008286992146041002	0.001959322388153655	0.004277248765975099	
ABTB2	NP_665803.2	NP_665803.2	NP_665803.2		0.000623812892104761		0.0034218667009835065	0.0008458149291513972	0.003203302985630821	
ACAA1	NP_001598.1|NP_001123882.1	NP_001598.1|NP_001123882.1	NP_001598.1|NP_001123882.1	NP_001598	0.013046966485858106	0.0023010121704322675	0.003683559681062426	0.002771187091145163	0.006508273367547782	0.003352258547066141
ACAA2	NP_006102.2	NP_006102.2	NP_006102.2	NP_006102	0.0004205739896107151	0.0010930779504217576	0.03202952054378913	0.001871008158087094	0.17242862272832787	0.0005082479471238339
ACACA	NP_942133.1|NP_942131.1|NP_942134.1|NP_942135.1	NP_942133.1|NP_942134.1|NP_942135.1	NP_942133.1|NP_942131.1|NP_942134.1|NP_942135.1	NP_942131	0.00037764630928135154	0.008231688803722978	0.011922122289165702	0.0008458149291513972	0.004191765864609077	0.0008012554954901323
ACACB	NP_001084.3	NP_001084.3		NP_001084	0.0006489243526929383		0.012744651577615803	0.003996692475160779		0.0015585171167280833
ACAD10	NP_079523.3|NP_001130010.1	NP_079523.3|NP_001130010.1	NP_001130010.1	NP_079523	0.0005575607714341683	0.09021583068388783	0.0034535147518746086	0.001658380746242119	0.0013696093815346228	0.012528545278756433
ACAD10	NP_079523.3|NP_001130010.1	NP_079523.3|NP_001130010.1	NP_079523.3	NP_079523	0.0005575607714341683	0.09021583068388783	0.0034535147518746086	0.001658380746242119	0.0012347579936847672	0.012528545278756433
ACAD11	NP_115545.3	NP_115545.3	NP_115545.3	NP_115545	0.0003930491024254564		0.00495186561059267	0.03839734720774195	0.04462212871482773	0.000666646962862183
ACAD8	NP_055199.1	NP_055199.1	NP_055199.1	NP_055199	0.00037764630928135154	0.0010930779504217576	0.03871247383512552	0.05511663206261219	0.015107626962195692	0.0005136621015698878
ACAD9	NP_054768.2	NP_054768.2	NP_054768.2	NP_054768	0.0005595125623315254	0.05775574595600075	0.10015478833700397	0.0008490473750632061	0.01902333491434654	0.013595131012241865
ACADL	NP_001599.1	NP_001599.1	NP_001599.1		0.0004854537070419005		0.002185495231761614	0.005552051106024852	0.050973088801301	
ACADM	NP_001272972.1|NP_001120800.1|NP_000007.1|NP_001272971.1|NP_001272973.1	NP_001272972.1|NP_001120800.1|NP_000007.1|NP_001272971.1|NP_001272973.1	NP_001272972.1|NP_001120800.1|NP_000007.1|NP_001272971.1|NP_001272973.1	NP_000007	0.00037764630928135154	0.010358634090051128	0.00540407016531957	0.003618766798325463	0.10299828378047803	0.0005725249328496113
ACADS	NP_000008.1|NP_001289483.1	NP_000008.1|NP_001289483.1	NP_000008.1|NP_001289483.1	NP_000008	0.001705444084697481	0.00205153944192591	0.003894216501633111	0.004161092576400287	0.014364516453303762	0.0006978275316154656
ACADSB	NP_001600.1|NP_001317103.1	NP_001600.1|NP_001317103.1	NP_001600.1|NP_001317103.1	NP_001600	0.0008721541356811165	0.005929279590172638	0.03069796120487674	0.031365153324175034	0.0029820231366664367	0.002141923850170125
ACADVL	NP_001257376.1|NP_000009.1|NP_001029031.1|NP_001257377.1	NP_001257376.1|NP_000009.1|NP_001257377.1	NP_001257376.1|NP_000009.1|NP_001029031.1|NP_001257377.1	NP_000009	0.0032887956487925524	0.0017780009478453442	0.03696142354063158	0.001081496606711909	0.01881944519879562	0.000541458959352095
ACAN	NP_001126.3	NP_037359.3	NP_037359.3	NP_001126	0.0005432672882548542	0.0011966271932452974	0.05881252051750019	0.0008656895014250013	0.0023680391553906202	0.0008243232939506176
ACAN	NP_037359.3	NP_037359.3	NP_037359.3	NP_001126	0.0005432672882548542	0.0011966271932452974	0.05881252051750019	0.0008458149291513972	0.0023680391553906202	0.0008243232939506176
ACAP1	NP_055531.1	NP_055531.1	NP_055531.1	NP_055531	0.0019880944322994104	0.0045601658637725185	0.16252273327656067	0.0040445360803203845	0.2623683485115226	0.0012702817171182138
ACAP2	NP_036419.3	NP_036419.3	NP_036419.3	NP_036419	0.00037764630928135154	0.0010930779504217576	0.008437981654629676	0.0014663549213197234	0.07931784494931478	0.0006581666523426489
ACAP3	NP_085152.2	NP_085152.2	NP_085152.2	NP_085152	0.005364054949227194		0.09328695521245346	0.0009069032694468825	0.001540517773796025	0.0022805083865158012
ACAT1	NP_000010.1	NP_000010.1	NP_000010.1	NP_000010	0.019335154767195818	0.0012083621442851391	0.0038447845479177767	0.0170426457662215	0.02817780793399351	0.0009708079427620176
ACAT2	NP_005882.2|NP_001290182.1	NP_005882.2|NP_001290182.1	NP_005882.2|NP_001290182.1	NP_005882	0.00038093860801092496	0.00987773085247099	0.009675414256304953	0.0022377963287595814	0.05154462886872805	0.006815243889637554
