Name	brca_Database_ID	ovarian_Database_ID	brca_pvalue	ovarian_pvalue	gbm_pvalue	brca_diff	ovarian_diff	gbm_diff
CHGB	NP_001810.2		0.5620664540440763		0.5445420334430972	-1.1051844948453642		0.19592386165949838
CHMP4B	NP_789782.1	NP_789782	0.5362474476863939	0.044461290297527135	0.5469768305635255	0.17743835051546383	0.21976542367115381	0.04918674110044902
COMMD7	NP_444269.2|NP_001092809.1	NP_001092809	0.5096934355437005	0.9732154825835843	0.9073087864101967	0.13858498969072164	0.0034760091125000114	-0.006728841979670351
CPNE1	NP_690903.1|NP_001185792.1|NP_003906.2	NP_003906	0.4435704904461331	0.03928859155455783	0.007218943214450283	0.2758777731958763	0.40697695494519226	0.38588041387205263
CPXM1	NP_062555.1|NP_001171628.1	NP_062555	0.534807574682073	0.8568652972462424	0.647386189729627	0.453241525773196	-0.05107536339134615	0.0865728783580214
CRNKL1	NP_001265557.1|NP_057736.4|NP_001265554.1|NP_001265555.1	NP_001265554	0.3037835255473976	0.009092720801983463	0.001997680558219266	0.24341232989690717	0.2875919196278846	0.23483029888189436
CSE1L	NP_001307.2|NP_001243064.1	NP_001307	0.48787612321235435	0.03928859155455783	0.057506204297751995	0.2336545154639174	0.28438630154615385	0.14346193072365548
CSNK2A1		NP_001886		0.024350239338291522	0.03382860217344338			
CST3	NP_001275543.1	NP_001275543	0.9726402065911738	0.024350239338291522	0.04283232151364244	0.022874432989690732	0.4602371686798077	0.44301777588772406
CST5	NP_001891.2		0.41254156152030386			-1.3035094845360833		
CTCFL	NP_001255972.1|NP_001255973.1|NP_001255970.1|NP_001255971.1|NP_001255974.1|NP_001255976.1|NP_001255975.1|NP_001255978.1|NP_001255983.1|NP_001255979.1|NP_001255984.1|NP_001255977.1|NP_001255981.1	NP_001255970	0.43022056408716813	0.8568652972462424		-0.3169505154639176	-0.027076585891346178	
CTNNBL1	NP_110517.2|NP_001268424.1	NP_110517	0.7552147218880189	0.03999025267598603	0.2610256601971501	0.05900371134020613	0.20887279744519233	0.09325416426291089
CTSA	NP_000299.2|NP_001121167.1|NP_001161066.1	NP_000299	0.02167084920335059	0.8152825802712059	0.5612136870048337	0.6226681649484536	0.046895008251923165	-0.07604011402275743
CTSZ	NP_001327.2	NP_001327	0.5096934355437005	0.9032869311332584	0.3885147222500423	0.2505317525773196	0.02092745518269233	-0.19482836885821966
DDRGK1	NP_076424.1	NP_076424	0.8050383657512687	0.17171467521482198	0.35386138514145393	0.11569463917525769	-0.1498311261144231	-0.08505184096644058
DDX27	NP_060365.7	NP_060365	0.602501634411359	0.02564399423387373	0.24647419682215455	0.19741868041237112	0.2863325643019231	0.11075576265653249
DIDO1	NP_149072.2|NP_001180299.1|NP_071388.2	NP_149072	0.4435704904461331	0.4208672707002549	0.10992698096307636	0.19475859793814437	0.08669321333173077	0.13464301631854658
DLGAP4	NP_892118.1|NP_001035951.1	NP_892118	0.8002194513064209	0.06502728562249098	0.045747052474051884	0.0755181443298969	0.2261126100182692	0.1524962709961177
DNAJC5	NP_079495.1	NP_079495	0.602501634411359	0.3566631736934395	0.004206824997318309	0.33481810309278337	0.13304391441538466	0.5007675245787052
DNTTIP1	NP_443183.1	NP_443183	0.8746568434519792	0.7585271982791199	0.6096367205430302	0.04675406185567012	0.04165716150865385	0.05202950166698066
DPM1	NP_001303963.1|NP_001303964.1|NP_003850.1|NP_001303965.1	NP_001303963	0.19577082248531355	0.18634742015778094	0.43771589141889883	0.43262247422680405	0.16481649544711535	0.08239265958794278
DSN1	NP_001138788.1|NP_001138790.1|NP_001138789.1	NP_001138788	0.20499731668756782	0.03852217979356551	0.2781128515732697	0.3885288659793814	0.34254658973269225	0.1328703613046867
DSTN	NP_006861.1|NP_001011546.1	NP_006861	0.3037835255473976	0.12637419060253918	0.2651926262717033	0.41964676288659797	0.3133710445288461	0.13559209269397077
DTD1	NP_543010.3|NP_001304972.1	NP_543010	0.8626009214883075	0.9846171166017635	0.07995338391492851	-0.1141775257731958	-0.0038670050048079663	0.20280029202207633
DYNLRB1	NP_054902.1|NP_001268658.1|NP_001268656.1|NP_001306086.1|NP_570967.1|NP_001291946.1	NP_054902	0.9726402065911738	0.2234443078895751	0.4932400011151486	0.00887921649484541	0.11566735171249999	0.0460034922371709
EEF1A2	NP_001949.1	NP_001949	0.8804025038248809	0.35950800278482203	0.012417444645217332	0.06858799999999993	-0.12494949857211539	0.5238194515203599
EIF2S2	NP_003899.2|NP_001303293.1|NP_001303292.1	NP_003899	0.24559673242361982	0.663283581140342	0.6211793286099073	0.2371661030927835	-0.04904435826153844	0.038892926566877276
EIF6	NP_001254739.1|NP_852131.1	NP_001254739	0.20499731668756782	0.6256299418418819	0.1881053809369021	0.3032323711340206	0.07717614762980769	0.11188034081649362
ELMO2	NP_573403.1|NP_001305182.1	NP_573403	0.8868815134825542	0.7742008718197972	0.7368546455308657	-0.034221938144329916	0.0335841678201923	0.024681029942225555
EPB41L1	NP_001245259.1	NP_001245259	0.5510504475516661	0.12138369526363764	0.04427452439273903	0.3957298556701032	0.36264496327980766	0.386530790429615
EPB41L1	NP_001245259.1	NP_001245260	0.5510504475516661	0.1280697290972383	0.04427452439273903	0.3957298556701032	0.35315466023173075	0.386530790429615
EPB41L1	NP_001245259.1	NP_001245258	0.5510504475516661	0.12902925133488777	0.04427452439273903	0.3957298556701032	0.3285284102317308	0.386530790429615
EPB41L1	NP_001245258.1	NP_001245259	0.6131955713897166	0.12138369526363764	0.04427452439273903	0.3131540206185567	0.36264496327980766	0.386530790429615
EPB41L1	NP_001245258.1	NP_001245260	0.6131955713897166	0.1280697290972383	0.04427452439273903	0.3131540206185567	0.35315466023173075	0.386530790429615
EPB41L1	NP_001245258.1	NP_001245258	0.6131955713897166	0.12902925133488777	0.04427452439273903	0.3131540206185567	0.3285284102317308	0.386530790429615
ERGIC3	NP_938408.1|NP_057050.1	NP_057050	0.8746568434519792	0.8784025412062367	0.2656285815260145	0.09188432989690709	-0.030822519922115432	-0.1079742137421139
ESF1	NP_057733.2	NP_057733	0.29301994246629604	0.05975334189155623	0.009426432901645083	0.34838626804123707	0.25956137449903843	0.23088572560017023
FAM110A	NP_113612.1		0.2514975700126539			0.5269798350515466		
FAM210B	NP_543011.2	NP_543011	0.5319875128899684	0.23789853532116473	0.055175588331209356	0.47089670103092796	0.24361164079423075	0.22767507560649486
FASTKD5	NP_068598.1	NP_068598	0.02553859158869418	0.7628412055355839	0.1253888988331774	0.6806430927835052	0.04152066918653845	0.09762612274878349
FERMT1		NP_060141		0.26562540308863497	0.42398481041903985			
FITM2		NP_001073941		0.002574462148917448	0.046437645359418384			
FKBP1A	NP_463460.1	NP_463460	0.6644736466386543	0.24170531646706817	0.046437645359418384	0.13880989690721648	0.18977710394230765	0.16011014649807254
GGT7		NP_821158		0.008105865802206477	0.014981608317477167			
GID8	NP_060366.1	NP_060366	0.6588832038044834	0.945252247486153	0.9038606524887367	0.09385224742268042	-0.005466759883653853	-0.0071067243750486085
GMEB2	NP_036516.1	NP_036516	0.5656126144488034	0.2820041338331129	0.11921049950938749	-0.11747657731958765	0.12306244697307692	0.11844848617510409
GNAS	NP_536350.2|NP_001296790.1	NP_001070957	0.6901237315912516	0.14730687959120384	0.0010560485666542474	0.09984127835051546	0.14029625133461537	0.37142166448150415
GNAS	NP_536350.2|NP_001296790.1	NP_000507	0.6901237315912516	0.14730687959120384	0.0010560485666542474	0.09984127835051546	0.14015523274903852	0.37142166448150415
GNAS	NP_536350.2|NP_001296790.1	NP_536351	0.6901237315912516	0.14730687959120384	0.0010560485666542474	0.09984127835051546	0.13994108233269228	0.37142166448150415
GPCPD1	NP_062539.1	NP_062539	0.7154374598642386	0.044461290297527135	0.028262511901380034	-0.14876948453608246	0.26187974004326925	0.14931248181144674
GSS	NP_001309424.1	NP_001309424	0.5362474476863939	0.23789853532116473	0.15767350253513018	0.3104824329896907	0.15146421753269224	0.10276210754065696
HCK	NP_002101.2|NP_001165601.1|NP_001165603.1|NP_001165600.1|NP_001165602.1	NP_002101	0.4108313023896283	0.5943940789874448	0.013332158107820223	-0.35572218556701035	-0.060668559241346134	-0.4366899567663768
HELZ2	NP_001032412.2|NP_208384.3	NP_001032412	0.4244273519689385	0.6209735285960599	0.015086439352518757	0.3517011958762887	-0.08123015141442308	0.2673856647989721
HM13	NP_110416.1|NP_848696.1|NP_848695.1|NP_848697.1	NP_110416	0.5510504475516661	0.6141629614980428	0.2656285815260145	0.4102104742268041	-0.09306113341538458	0.1398211363744094
HM13	NP_110416.1|NP_848696.1|NP_848695.1|NP_848697.1	NP_848695	0.5510504475516661	0.7607757270543608	0.2656285815260145	0.4102104742268041	-0.05893171995865393	0.1398211363744094
HSPA12B	NP_443202.3|NP_001184256.1|NP_001305251.1	NP_443202	0.8329072435630939	0.2820041338331129	0.44601710373587883	-0.12461249484536085	0.18762104204807692	0.225647427318388
IDH3B	NP_001317692.1|NP_008830.2|NP_777280.1|NP_001245313.1	NP_001317692	0.5620664540440763	0.1297063412940319	0.12024151932676942	0.17695179381443302	-0.22070674928942313	0.21404812832756903
IFT52		NP_001290387		0.19538977654568104	0.05742317457790863			
ITCH	NP_001244066.1|NP_001311127.1|NP_001244067.1	NP_001244066	0.20499731668756782	0.945252247486153	0.0009055303312166686	0.27004226804123715	-0.00646293264615385	0.17208545936333342
ITPA	NP_258412.1|NP_001311169.1|NP_852470.1|NP_001254552.1	NP_001254552	0.16545866752862085	0.0517277138131184	0.25399123131165735	0.5449754639175258	0.3908916238711538	0.11133699996050016
ITPA	NP_258412.1|NP_001311169.1|NP_852470.1|NP_001254552.1	NP_258412	0.16545866752862085	0.08444071268517328	0.25399123131165735	0.5449754639175258	0.35430474346153845	0.11133699996050016
KIF16B	NP_078980.3|NP_001186794.1	NP_078980	0.3037835255473976	0.16972886034319662	0.6096367205430302	0.463262969072165	0.1649424704903846	0.05004183015469572
KIF3B	NP_004789.1	NP_004789	0.4244273519689385	0.2588865641397659	0.001997680558219266	0.20904973195876292	0.1033595283221154	0.19780317603812914
LAMA5	NP_005551.3	NP_005551	0.20499731668756782	0.10409369809535225	0.7534918782624559	-0.5295761237113401	0.25903665591730773	0.04382371237968788
LBP	NP_004130.2	NP_004130	0.7540579309182572	0.5914237382562011	0.5204669982052367	0.23655975257731954	-0.16024415891346158	-0.17067640932013642
LPIN3	NP_001288789.1		0.14692938829894167		0.9038606524887367	0.5144876288659797		-0.045362276135183885
LSM14B	NP_653304.2	NP_653304	0.36693450615834405	0.12138369526363764	0.29170224305484715	0.40314775257731966	0.24727805431442307	0.15036516324946597
MACROD2		NP_542407		0.02564399423387373	0.9981323320902529			
MAP1LC3A	NP_852610.1|NP_115903.1		0.4729677177585779		0.44884688547684026	-0.3939943092783505		0.1435872293577176
MAPRE1	NP_036457.1	NP_036457	0.09991573470468047	0.14908977283558428	0.013360120090461265	0.3960503917525774	0.1479775086923077	0.20291990038224772
MAVS	NP_065797.2|NP_001193420.1	NP_065797	0.10861916256893718	0.24170531646706817	0.01548612632161962	0.5026407422680412	0.1391867340067308	0.1849867698168949
MGME1	NP_443097.1|NP_001297267.1|NP_001297268.1	NP_443097	0.0001533647860493123	0.18088338859664574	0.003892469016646695	1.0951455670103092	0.19792761661153846	0.25837043798199294
MMP24	NP_006681.1		0.5319875128899684			0.5604756701030928		
MMP9	NP_004985.2	NP_004985	0.873518096341284	0.12902925133488777	0.5445420334430972	-0.16067698969072175	-0.43348052841730766	-0.24116623859108044
MOCS3	NP_055299.1	NP_055299	0.11410636231687799	0.05965038231763412	0.00554613361981828	0.5146498144329896	0.25363128096634613	0.20540376496959856
MRGBP	NP_060740.1	NP_060740	0.7200476393457811	0.4208672707002549	0.44601710373587883	0.1190042886597938	0.10512252005769232	0.1050843354694244
MRPS26	NP_110438.1	NP_110438	0.2382745958377257	0.6141629614980428	0.5445420334430972	0.3938336082474227	-0.0680825649673077	0.055555468934992885
MTG2	NP_056481.1		0.10009314716439545		0.383981097196278	0.6145806597938144		0.14329422010789533
MYH7B		NP_065935		0.7151161983153183				
MYL9	NP_006088.2|NP_852667.1	NP_006088	0.705640981588173	0.8894897142527227	0.6861871478168954	0.2236289896907216	-0.030775722181730747	0.09778423190778213
MYLK2	NP_149109.1		0.7540579309182572			0.2857633402061855		
NAA20	NP_057184.1|NP_852668.1|NP_852669.1	NP_057184	0.5938302830519485	0.5943940789874448	0.5280785203793902	-0.1519138556701031	0.12047132245096152	-0.06105826946469881
NANP	NP_689880.1	NP_689880	0.24559673242361982	0.10111577593888575	0.07583431208066058	0.3734746391752578	0.26185986548173074	0.1267607245052944
NAPB	NP_071363.1|NP_001269947.1|NP_001269949.1|NP_001269955.1	NP_001269955	0.8804025038248809	0.6616504270708193	0.24927291764255027	0.09706585567010317	0.06773592245961538	0.3162245815336401
NAPB	NP_071363.1|NP_001269947.1|NP_001269949.1|NP_001269955.1	NP_001269947	0.8804025038248809	0.8568652972462424	0.24927291764255027	0.09706585567010317	-0.03437131456057688	0.3162245815336401
NCOA3	NP_006525.2|NP_858045.1|NP_001167558.1|NP_001167559.1	NP_001167558	0.3015398316224341	0.7607757270543608	0.726452976215911	0.299575587628866	0.046974402956730776	0.0260765495932982
NCOA5	NP_066018.1	NP_066018	0.5200137501203664	0.008105865802206477	0.045747052474051884	0.14870812371134026	0.2742913845634615	0.18256854479403034
NCOA6	NP_054790.2|NP_001229468.1	NP_054790	0.3015398316224341	0.8123729695804386	0.2828247232461	0.2083743917525773	-0.02831565487019233	0.08178264889731382
NDRG3	NP_114402.1|NP_071922.2	NP_071922	0.1413403110661261	0.0517277138131184	0.06521926726002893	0.33204915463917517	0.2900314582317308	0.1532486872575208
NDUFAF5	NP_077025.2|NP_001034464.1	NP_077025	0.05776936462789423	0.4376411379350147	0.1910115882965672	0.6645846597938145	0.15354390754903846	0.09968406227109493
NELFCD	NP_945327.2	NP_945327	0.7975677741261235	0.14908977283558428	0.5916562876428523	0.06225270103092784	0.16164910792403844	0.04569261996034413
NFATC2	NP_775114.1|NP_001245221.1|NP_036472.2|NP_001129493.1|NP_001245226.1|NP_001245225.1	NP_001129493	0.30405710961387566	0.8568652972462424	0.5469768305635255	-0.33967682474226807	0.02667448088750002	-0.08112975177640414
NFS1	NP_066923.3|NP_001185918.1	NP_066923	0.022106509770764653	0.04627616531302208	0.4701693894683268	0.7101512164948456	0.29305661342211536	0.06626197555873356
NOL4L	NP_001243727.1|NP_542183.2	NP_001243727	0.9853581539554249	0.4034035101575009	0.9815710613122122	0.008745195876288664	0.17436963358173077	0.003892654979008453
NOP56	NP_006383.2	NP_006383	0.7552147218880189	0.16159141564375878	0.11555445186465833	-0.10370202061855671	0.2289776184673077	0.13866983883126863
NPEPL1	NP_078939.3|NP_001191801.1	NP_078939	0.47848354440156143	0.5625730939212	0.00554613361981828	0.31279764948453614	-0.12200208025865385	0.3998484743353704
NSFL1C	NP_057227.2|NP_001193665.1|NP_061327.2	NP_001193665	0.01626013131462686	0.05965038231763412	3.9264039158457623e-07	0.5978137319587629	0.3070008651769231	0.24131031033877354
NXT1	NP_037380.1	NP_037380	0.950055713181095	0.1623093811170795	0.028418649534178768	0.020776659793814455	0.18409718454903845	0.23463091079516118
OGFR	NP_031372.2	NP_031372	0.8804025038248809	0.49639188838063997	0.00011166130303111316	-0.04620874226804125	-0.07702831868461539	0.2410766725586974
OSBPL2	NP_653081.1|NP_055650.1	NP_055650	0.29301994246629604	0.05540272383706181	0.003892469016646695	0.3181985979381443	0.2776105952990385	0.19991437323804245
PABPC1L		NP_001118228		0.49639188838063997				
PANK2	NP_705902.2|NP_001311121.1|NP_079236.3|NP_001311122.1	NP_705902	0.416862333411007	0.008105865802206477	0.0027320945902873004	0.18178354639175254	0.3012607227567308	0.1802941589573867
PARD6B	NP_115910.1	NP_115910	0.23849569534007747	0.0842570101959516	0.8562290279127545	0.6202603711340205	0.2746604050192308	-0.01866190207472275
PCIF1	NP_071387.1	NP_071387	0.24559673242361982	0.000167983278531948	0.002320895865181097	0.2594831340206185	0.3938021028221154	0.2688803982294654
PCK1		NP_002582		0.6141629614980428	0.383981097196278			
PCNA	NP_872590.1	NP_872590	0.034933952506573676	0.5300282207224121	0.43383118324761405	0.7297596701030928	0.13593790136249997	0.13591189778585958
PDRG1	NP_110442.1	NP_110442	0.9814715192715867	0.3913700309071391	0.04283232151364244	0.008661938144329848	0.1327827403346154	-0.18442189239305784
PFDN4	NP_002614.2	NP_002614	0.8736873304738974	0.11572675778223729	0.299873596686369	0.07034779381443301	0.20775997222884615	0.06801575908175214
PIGT	NP_057021.2|NP_001171657.1|NP_001171659.1|NP_001171658.1	NP_001171657	0.1133710845017438	0.009283415902963726	0.05248427464477625	0.5690048247422681	0.2512797542759616	0.14913089548550812
PIGU		NP_536724		0.008105865802206477	0.024308853443417922			
PKIG	NP_001268373.1		0.8050383657512687		0.5467427642130445	0.13664511340206187		0.07840378866153724
PLCB1	NP_056007.1|NP_877398.1		0.7150628463558357		0.5467427642130445	0.2316760412371134		0.16367002148823923
PLCG1	NP_002651.2	NP_002651	0.24559673242361982	0.11975793272198913	4.232254748806767e-06	0.3677075051546392	0.17350869808076919	0.40624025673742414
PLTP	NP_006218.1|NP_001229850.1|NP_872617.1|NP_001229849.1	NP_006218	0.39062514499304263	0.009092720801983463	0.6624287755556324	0.5138510927835053	0.6383967510826922	-0.1117181563558382
POFUT1	NP_056167.1|NP_758436.1	NP_056167	0.10861916256893718	0.04758234361346462	0.00543765429310794	0.4464995051546393	0.26154281377980776	0.21142849990017965
POLR3F	NP_006457.2|NP_001269455.1	NP_006457	0.5362474476863939	0.5914237382562011	0.08741105330167881	0.13973616494845356	-0.10332420218942305	0.13435768064811277
PPDPF	NP_077275.1		0.7540579309182572		0.5445420334430972	0.19149228865979373		-0.09849200439587824
PPP1R3D	NP_006233.1	NP_006233	0.6588832038044834	0.8790463533022184	0.5914254757477784	0.23467393814432924	-0.04197928962403841	0.06529203700975522
PREX1	NP_065871.2	NP_065871	0.5432109209882003	0.4376411379350147	0.0025584074546389996	0.3943099793814434	-0.12579515267980768	0.39281992421362827
PRNP	NP_000302.1	NP_000302	0.4435704904461331	0.12902925133488777	0.046437645359418384	-0.6194904742268041	0.314320292501923	0.4037010628974964
PROCR	NP_006395.2	NP_006395	0.7540579309182572	0.7943543602779465	0.6096367205430302	-0.17381472164948453	0.06655014668461537	-0.10439730607721881
PRPF6	NP_036601.2	NP_036601	0.48787612321235435	0.0212431415169227	0.15767350253513018	0.15635043298969073	0.20665612980384615	0.12256921403765324
PSMA7	NP_002783.1|NP_653263.2|NP_001020267.1|NP_001020268.1|NP_001295117.1	NP_002783	0.30365805697822085	0.009092720801983463	0.8872351775505934	-0.18642338144329895	-0.16739914617403845	0.009982041411539147
PSMF1	NP_001310337.1|NP_001310339.1|NP_001310338.1|NP_001310336.1	NP_001310336	0.41254156152030386	0.05975334189155623	0.00040394080617731873	0.1926805360824742	0.23185876918749998	0.23949349091205444
PSMF1	NP_001310337.1|NP_001310339.1|NP_001310338.1|NP_001310336.1	NP_848693	0.41254156152030386	0.07837979590031495	0.00040394080617731873	0.1926805360824742	0.2222644057153846	0.23949349091205444
PTGIS	NP_000952.1	NP_000952	0.39062514499304263	0.7372110342247863	0.8872351775505934	-0.4578863505154639	-0.12452793872980766	0.029139154605088723
PTPN1	NP_002818.1|NP_001265547.1	NP_002818	0.1413403110661261	0.17171467521482198	0.7037162086869915	0.6006612783505155	-0.15985988167500004	0.03934498027395942
PTPRA	NP_002827.1|NP_543031.1	NP_002827	0.6171120661753683	0.3289481444229928	0.00015058740376249294	0.11698989690721648	0.13243937225384614	0.4790619588038126
PXMP4		NP_009169		0.16972886034319662	0.2274161471249892			
PYGB	NP_002853.2	NP_002853	0.6007741327503324	0.002574462148917448	0.05010926078853773	0.20276618556701032	0.5359360233826923	0.21609324317683032
RAB22A	NP_065724.1	NP_065724	0.5362474476863939	0.14084785078513434	0.00040394080617731873	0.1986942268041237	0.15387914651346152	0.22206048947909374
RAD21L1		NP_001130038		0.018826338467045286				
RAE1		NP_003601		0.0200818162610275	0.1306192154599239			
RALGAPA2	NP_065076.2	NP_065076	0.5362474476863939	0.8568652972462424	0.21502127951394845	0.2748093608247422	-0.02922882095961539	0.10566296921272264
RALGAPB	NP_001269846.1	NP_001269846	0.39062514499304263	0.1627937068913964	0.06978430122058998	0.26824098969072163	0.14095177510192308	0.0968774624969502
RALGAPB	NP_001269846.1	NP_001269847	0.39062514499304263	0.1627937068913964	0.06978430122058998	0.26824098969072163	0.14142040448076917	0.0968774624969502
RALY	NP_057951.1|NP_031393.2	NP_031393	0.2288061022413062	0.0860264228765163	0.10340542739983875	0.33926028865979385	0.26030388157019224	0.17195547495594327
RALY	NP_057951.1|NP_031393.2	NP_057951	0.2288061022413062	0.09129270852483702	0.10340542739983875	0.33926028865979385	0.2552856397980769	0.17195547495594327
RASSF2	NP_739580.1	NP_739580	0.2288061022413062	0.5300282207224121	0.010763050960370524	-0.45122111340206184	0.1187465564730769	0.1875764874738358
RBBP8NL	NP_543023.2		0.9670315989313808			0.018215010309278343		
RBBP9	NP_006597.2	NP_006597	0.3037835255473976	0.008105865802206477	0.00015058740376249294	0.39314845360824735	0.4482884807057693	0.31700738753697394
RBCK1	NP_112506.2|NP_006453.1|NP_001310885.1|NP_001310889.1	NP_112506	0.5200137501203664	0.5864244537601185	0.1881053809369021	0.17604375257731963	0.07501546097980769	0.10070644999974004
RBM12		NP_690051		0.01915496133574719	0.2656285815260145			
RBM38	NP_059965.2|NP_906270.1|NP_001278709.1|NP_001137414.1|NP_694565.1|NP_001137413.1	NP_001278709	0.848205015085988	0.8790463533022184	0.0528960279151645	-0.12934593814432988	0.03920109577980767	0.20036421769800244
RBM39	NP_004893.1|NP_909122.1|NP_001310353.1|NP_001310351.1|NP_001229529.1|NP_001229528.1|NP_001310352.1	NP_004893	0.7783186426740291	0.03347731671995712	0.11555445186465833	0.048941731958762905	0.1692531852625	0.12287570147328657
RGS19	NP_005864.1	NP_005864	0.3266646133770123	0.40431649584613544	0.13076808669030496	-0.4391415257731959	-0.11566068670576923	-0.1644207822586856
RIN2	NP_001229510.1|NP_061866.1	NP_001229510	0.36693450615834405	0.16972886034319662	0.6096367205430302	0.4155093608247422	0.19924669347884616	-0.0618985973845008
RNF114	NP_061153.1	NP_061153	0.6189076005150921	0.12637419060253918	0.24647419682215455	0.15456602061855673	0.18486250714326924	0.11848931945218821
ROMO1		NP_542786		0.6256299418418819	0.724628536119444			
