	Name	Database_ID	start_bp	end_bp	variable	value	cancer_type_total_patients	cancer
42	DEFB1	ENSG00000164825.3	6870592.0	6877936.0	gain	16	122	brca
43	DEFB1	ENSG00000164825.3	6870592.0	6877936.0	loss	60	122	brca
44	DEFA6	ENSG00000164822.4	6924697.0	6926076.0	gain	16	122	brca
45	DEFA6	ENSG00000164822.4	6924697.0	6926076.0	loss	60	122	brca
46	DEFA4	ENSG00000164821.4	6935820.0	6938306.0	gain	19	122	brca
47	DEFA4	ENSG00000164821.4	6935820.0	6938306.0	loss	61	122	brca
48	DEFA1	ENSG00000206047.2	6977649.0	6980080.0	gain	19	122	brca
49	DEFA1	ENSG00000206047.2	6977649.0	6980080.0	loss	61	122	brca
50	DEFA1B	ENSG00000240247.2	6996766.0	6999195.0	gain	19	122	brca
51	DEFA1B	ENSG00000240247.2	6996766.0	6999195.0	loss	61	122	brca
52	DEFA3	ENSG00000239839.1	7015869.0	7018297.0	gain	19	122	brca
53	DEFA3	ENSG00000239839.1	7015869.0	7018297.0	loss	61	122	brca
54	DEFA5	ENSG00000164816.6	7055304.0	7056739.0	gain	19	122	brca
55	DEFA5	ENSG00000164816.6	7055304.0	7056739.0	loss	61	122	brca
56	FAM66B	ENSG00000215374.5	7298744.0	7355359.0	gain	19	122	brca
57	FAM66B	ENSG00000215374.5	7298744.0	7355359.0	loss	61	122	brca
58	ZNF705G	ENSG00000215372.5	7355517.0	7385558.0	gain	19	122	brca
59	ZNF705G	ENSG00000215372.5	7355517.0	7385558.0	loss	61	122	brca
60	DEFB4B	ENSG00000177257.2	7414855.0	7416863.0	gain	19	122	brca
61	DEFB4B	ENSG00000177257.2	7414855.0	7416863.0	loss	61	122	brca
62	DEFB103B	ENSG00000177243.3	7428888.0	7430348.0	gain	19	122	brca
63	DEFB103B	ENSG00000177243.3	7428888.0	7430348.0	loss	61	122	brca
64	SPAG11B	ENSG00000164871.13	7442684.0	7463674.0	gain	19	122	brca
65	SPAG11B	ENSG00000164871.13	7442684.0	7463674.0	loss	61	122	brca
66	DEFB104B	ENSG00000177023.2	7470308.0	7475082.0	gain	19	122	brca
67	DEFB104B	ENSG00000177023.2	7470308.0	7475082.0	loss	61	122	brca
68	DEFB106B	ENSG00000187082.2	7482504.0	7486400.0	gain	19	122	brca
69	DEFB106B	ENSG00000187082.2	7482504.0	7486400.0	loss	61	122	brca
70	DEFB105B	ENSG00000186599.7	7487679.0	7489593.0	gain	19	122	brca
71	DEFB105B	ENSG00000186599.7	7487679.0	7489593.0	loss	61	122	brca
72	DEFB107B	ENSG00000198129.2	7495911.0	7509311.0	gain	19	122	brca
73	DEFB107B	ENSG00000198129.2	7495911.0	7509311.0	loss	61	122	brca
74	DEFB107A	ENSG00000186572.2	7811720.0	7815716.0	gain	19	122	brca
75	DEFB107A	ENSG00000186572.2	7811720.0	7815716.0	loss	61	122	brca
76	DEFB105A	ENSG00000186562.7	7821966.0	7823889.0	gain	19	122	brca
77	DEFB105A	ENSG00000186562.7	7821966.0	7823889.0	loss	61	122	brca
78	DEFB106A	ENSG00000186579.2	7825139.0	7829053.0	gain	19	122	brca
79	DEFB106A	ENSG00000186579.2	7825139.0	7829053.0	loss	61	122	brca
80	DEFB104A	ENSG00000176782.2	7836436.0	7841242.0	gain	19	122	brca
81	DEFB104A	ENSG00000176782.2	7836436.0	7841242.0	loss	61	122	brca
82	SPAG11A	ENSG00000178287.13	7847876.0	7868867.0	gain	19	122	brca
83	SPAG11A	ENSG00000178287.13	7847876.0	7868867.0	loss	61	122	brca
84	DEFB103A	ENSG00000176797.3	7881392.0	7882663.0	gain	19	122	brca
85	DEFB103A	ENSG00000176797.3	7881392.0	7882663.0	loss	61	122	brca
86	DEFB4A	ENSG00000171711.2	7894677.0	7896716.0	gain	19	122	brca
87	DEFB4A	ENSG00000171711.2	7894677.0	7896716.0	loss	61	122	brca
88	ZNF705B	ENSG00000215356.3	7926337.0	7952413.0	gain	19	122	brca
89	ZNF705B	ENSG00000215356.3	7926337.0	7952413.0	loss	61	122	brca
90	FAM66E	ENSG00000225725.4	7955014.0	8008755.0	gain	19	122	brca
91	FAM66E	ENSG00000225725.4	7955014.0	8008755.0	loss	61	122	brca
92	FAM90A24P	ENSG00000215354.5	8019429.0	8024652.0	gain	19	122	brca
93	FAM90A24P	ENSG00000215354.5	8019429.0	8024652.0	loss	61	122	brca
94	MIR548I3	ENSG00000221305.1	8088941.0	8089089.0	gain	19	122	brca
95	MIR548I3	ENSG00000221305.1	8088941.0	8089089.0	loss	61	122	brca
96	FAM85B	ENSG00000253893.2	8167819.0	8226614.0	gain	19	122	brca
97	FAM85B	ENSG00000253893.2	8167819.0	8226614.0	loss	61	122	brca
98	FAM86B3P	ENSG00000173295.3	8228595.0	8244865.0	gain	19	122	brca
99	FAM86B3P	ENSG00000173295.3	8228595.0	8244865.0	loss	61	122	brca
100	ALG1L13P	ENSG00000253981.1	8236003.0	8244667.0	gain	19	122	brca
101	ALG1L13P	ENSG00000253981.1	8236003.0	8244667.0	loss	61	122	brca
102	RN7SL178P	ENSG00000263616.1	8582352.0	8582655.0	gain	18	122	brca
103	RN7SL178P	ENSG00000263616.1	8582352.0	8582655.0	loss	59	122	brca
104	CLDN23	ENSG00000253958.1	8701937.0	8704096.0	gain	18	122	brca
105	CLDN23	ENSG00000253958.1	8701937.0	8704096.0	loss	59	122	brca
106	MFHAS1	ENSG00000147324.6	8783354.0	8893630.0	gain	18	122	brca
107	MFHAS1	ENSG00000147324.6	8783354.0	8893630.0	loss	59	122	brca
108	ERI1	ENSG00000104626.10	9002147.0	9116746.0	gain	19	122	brca
109	ERI1	ENSG00000104626.10	9002147.0	9116746.0	loss	59	122	brca
110	MIR4660	ENSG00000263407.1	9048445.0	9048518.0	gain	18	122	brca
111	MIR4660	ENSG00000263407.1	9048445.0	9048518.0	loss	59	122	brca
112	PPP1R3B	ENSG00000173281.4	9136255.0	9151574.0	gain	19	122	brca
113	PPP1R3B	ENSG00000173281.4	9136255.0	9151574.0	loss	59	122	brca
114	TNKS	ENSG00000173273.11	9555912.0	9782346.0	gain	19	122	brca
115	TNKS	ENSG00000173273.11	9555912.0	9782346.0	loss	59	122	brca
116	MIR597	ENSG00000207701.1	9741672.0	9741768.0	gain	19	122	brca
117	MIR597	ENSG00000207701.1	9741672.0	9741768.0	loss	59	122	brca
118	LINC00599	ENSG00000253230.2	9899871.0	9906678.0	gain	19	122	brca
119	LINC00599	ENSG00000253230.2	9899871.0	9906678.0	loss	59	122	brca
120	MSRA	ENSG00000175806.10	10054292.0	10428891.0	gain	19	122	brca
121	MSRA	ENSG00000175806.10	10054292.0	10428891.0	loss	59	122	brca
122	PRSS51	ENSG00000253649.1	10482878.0	10547585.0	gain	19	122	brca
123	PRSS51	ENSG00000253649.1	10482878.0	10547585.0	loss	59	122	brca
124	PRSS55	ENSG00000184647.6	10525532.0	10554166.0	gain	19	122	brca
125	PRSS55	ENSG00000184647.6	10525532.0	10554166.0	loss	59	122	brca
126	RP1L1	ENSG00000183638.5	10606349.0	10712187.0	gain	19	122	brca
127	RP1L1	ENSG00000183638.5	10606349.0	10712187.0	loss	59	122	brca
128	MIR4286	ENSG00000263762.1	10666978.0	10667070.0	gain	19	122	brca
129	MIR4286	ENSG00000263762.1	10666978.0	10667070.0	loss	59	122	brca
130	C8orf74	ENSG00000171060.6	10672628.0	10700590.0	gain	19	122	brca
131	C8orf74	ENSG00000171060.6	10672628.0	10700590.0	loss	59	122	brca
132	RNA5SP252	ENSG00000212433.1	10686569.0	10686687.0	gain	19	122	brca
133	RNA5SP252	ENSG00000212433.1	10686569.0	10686687.0	loss	59	122	brca
134	SOX7	ENSG00000171056.6	10723768.0	10730511.0	gain	19	122	brca
135	SOX7	ENSG00000171056.6	10723768.0	10730511.0	loss	59	122	brca
136	PINX1	ENSG00000254093.4	10725399.0	10839847.0	gain	19	122	brca
137	PINX1	ENSG00000254093.4	10725399.0	10839847.0	loss	59	122	brca
138	XKR6	ENSG00000171044.6	10896045.0	11201833.0	gain	19	122	brca
139	XKR6	ENSG00000171044.6	10896045.0	11201833.0	loss	59	122	brca
140	MIR598	ENSG00000207600.1	11035206.0	11035302.0	gain	19	122	brca
141	MIR598	ENSG00000207600.1	11035206.0	11035302.0	loss	59	122	brca
142	LINC00529	ENSG00000236827.1	11247626.0	11267865.0	gain	19	122	brca
143	LINC00529	ENSG00000236827.1	11247626.0	11267865.0	loss	59	122	brca
144	MTMR9	ENSG00000104643.5	11284816.0	11328146.0	gain	19	122	brca
145	MTMR9	ENSG00000104643.5	11284816.0	11328146.0	loss	59	122	brca
146	SLC35G5	ENSG00000177710.5	11330888.0	11332208.0	gain	19	122	brca
147	SLC35G5	ENSG00000177710.5	11330888.0	11332208.0	loss	59	122	brca
148	TDH	ENSG00000154316.10	11339637.0	11368452.0	gain	19	122	brca
149	TDH	ENSG00000154316.10	11339637.0	11368452.0	loss	59	122	brca
150	RN7SL293P	ENSG00000242483.2	11379395.0	11379675.0	gain	19	122	brca
151	RN7SL293P	ENSG00000242483.2	11379395.0	11379675.0	loss	59	122	brca
152	FAM167A	ENSG00000154319.10	11421476.0	11475908.0	gain	19	122	brca
153	FAM167A	ENSG00000154319.10	11421476.0	11475908.0	loss	59	122	brca
154	BLK	ENSG00000136573.8	11486894.0	11564599.0	gain	19	122	brca
155	BLK	ENSG00000136573.8	11486894.0	11564599.0	loss	59	122	brca
156	LINC00208	ENSG00000170983.3	11576257.0	11582817.0	gain	19	122	brca
157	LINC00208	ENSG00000170983.3	11576257.0	11582817.0	loss	59	122	brca
158	GATA4	ENSG00000136574.13	11676959.0	11760002.0	gain	19	122	brca
159	GATA4	ENSG00000136574.13	11676959.0	11760002.0	loss	59	122	brca
160	C8orf49	ENSG00000255394.2	11761256.0	11763223.0	gain	19	122	brca
161	C8orf49	ENSG00000255394.2	11761256.0	11763223.0	loss	59	122	brca
162	NEIL2	ENSG00000154328.11	11769639.0	11787345.0	gain	19	122	brca
163	NEIL2	ENSG00000154328.11	11769639.0	11787345.0	loss	59	122	brca
164	FDFT1	ENSG00000079459.8	11795573.0	11839304.0	gain	20	122	brca
165	FDFT1	ENSG00000079459.8	11795573.0	11839304.0	loss	63	122	brca
166	CTSB	ENSG00000164733.16	11842524.0	11869448.0	gain	20	122	brca
167	CTSB	ENSG00000164733.16	11842524.0	11869448.0	loss	63	122	brca
168	DEFB136	ENSG00000205884.2	11973937.0	11974599.0	gain	20	122	brca
169	DEFB136	ENSG00000205884.2	11973937.0	11974599.0	loss	63	122	brca
170	DEFB135	ENSG00000205883.2	11982321.0	11984590.0	gain	20	122	brca
171	DEFB135	ENSG00000205883.2	11982321.0	11984590.0	loss	63	122	brca
172	DEFB134	ENSG00000205882.4	11993174.0	11996312.0	gain	20	122	brca
173	DEFB134	ENSG00000205882.4	11993174.0	11996312.0	loss	63	122	brca
174	RNA5SP253	ENSG00000252029.1	12087396.0	12087445.0	gain	20	122	brca
175	RNA5SP253	ENSG00000252029.1	12087396.0	12087445.0	loss	63	122	brca
176	ZNF705D	ENSG00000215343.3	12104389.0	12115516.0	gain	20	122	brca
177	ZNF705D	ENSG00000215343.3	12104389.0	12115516.0	loss	63	122	brca
178	FAM66D	ENSG00000255052.3	12115767.0	12177550.0	gain	20	122	brca
179	FAM66D	ENSG00000255052.3	12115767.0	12177550.0	loss	63	122	brca
180	USP17L2	ENSG00000223443.2	12137168.0	12139077.0	gain	20	122	brca
181	USP17L2	ENSG00000223443.2	12137168.0	12139077.0	loss	63	122	brca
182	FAM86B1	ENSG00000186523.10	12182096.0	12194133.0	gain	20	122	brca
183	FAM86B1	ENSG00000186523.10	12182096.0	12194133.0	loss	63	122	brca
184	RNA5SP254	ENSG00000252535.1	12333644.0	12333693.0	gain	20	122	brca
185	RNA5SP254	ENSG00000252535.1	12333644.0	12333693.0	loss	63	122	brca
186	FAM66A	ENSG00000227888.3	12362019.0	12388296.0	gain	20	122	brca
187	FAM66A	ENSG00000227888.3	12362019.0	12388296.0	loss	63	122	brca
188	FAM86B2	ENSG00000145002.8	12425614.0	12436343.0	gain	20	122	brca
189	FAM86B2	ENSG00000145002.8	12425614.0	12436343.0	loss	63	122	brca
190	MIR5692A2	ENSG00000264512.1	12719132.0	12719190.0	gain	20	122	brca
191	MIR5692A2	ENSG00000264512.1	12719132.0	12719190.0	loss	63	122	brca
192	LONRF1	ENSG00000154359.8	12721906.0	12756073.0	gain	20	122	brca
193	LONRF1	ENSG00000154359.8	12721906.0	12756073.0	loss	63	122	brca
194	LINC00681	ENSG00000255494.1	12794243.0	12818291.0	gain	18	122	brca
195	LINC00681	ENSG00000255494.1	12794243.0	12818291.0	loss	63	122	brca
196	DLC1	ENSG00000164741.10	13083361.0	13604610.0	gain	19	122	brca
197	DLC1	ENSG00000164741.10	13083361.0	13604610.0	loss	60	122	brca
198	RNA5SP255	ENSG00000252179.1	13536029.0	13536135.0	gain	19	122	brca
199	RNA5SP255	ENSG00000252179.1	13536029.0	13536135.0	loss	60	122	brca
200	C8orf48	ENSG00000164743.4	13566869.0	13568288.0	gain	19	122	brca
201	C8orf48	ENSG00000164743.4	13566869.0	13568288.0	loss	60	122	brca
202	SGCZ	ENSG00000185053.8	14084845.0	15238431.0	gain	19	122	brca
203	SGCZ	ENSG00000185053.8	14084845.0	15238431.0	loss	61	122	brca
204	MIR383	ENSG00000199127.1	14853438.0	14853510.0	gain	19	122	brca
205	MIR383	ENSG00000199127.1	14853438.0	14853510.0	loss	61	122	brca
206	TUSC3	ENSG00000104723.16	15417215.0	15766649.0	gain	19	122	brca
207	TUSC3	ENSG00000104723.16	15417215.0	15766649.0	loss	61	122	brca
208	MSR1	ENSG00000038945.10	16107878.0	16567490.0	gain	20	122	brca
209	MSR1	ENSG00000038945.10	16107878.0	16567490.0	loss	61	122	brca
210	RN7SL474P	ENSG00000264092.1	16863196.0	16863496.0	gain	20	122	brca
211	RN7SL474P	ENSG00000264092.1	16863196.0	16863496.0	loss	61	122	brca
212	FGF20	ENSG00000078579.8	16992181.0	17002345.0	gain	20	122	brca
213	FGF20	ENSG00000078579.8	16992181.0	17002345.0	loss	61	122	brca
214	MICU3	ENSG00000155970.7	17027238.0	17122642.0	gain	20	122	brca
215	MICU3	ENSG00000155970.7	17027238.0	17122642.0	loss	61	122	brca
216	ZDHHC2	ENSG00000104219.8	17156482.0	17224799.0	gain	20	122	brca
217	ZDHHC2	ENSG00000104219.8	17156482.0	17224799.0	loss	61	122	brca
218	CNOT7	ENSG00000198791.7	17224966.0	17246878.0	gain	20	122	brca
219	CNOT7	ENSG00000198791.7	17224966.0	17246878.0	loss	61	122	brca
220	VPS37A	ENSG00000155975.5	17246931.0	17302427.0	gain	20	122	brca
221	VPS37A	ENSG00000155975.5	17246931.0	17302427.0	loss	61	122	brca
222	MTMR7	ENSG00000003987.9	17296794.0	17413528.0	gain	20	122	brca
223	MTMR7	ENSG00000003987.9	17296794.0	17413528.0	loss	60	122	brca
224	SLC7A2	ENSG00000003989.12	17497088.0	17570573.0	gain	20	122	brca
225	SLC7A2	ENSG00000003989.12	17497088.0	17570573.0	loss	60	122	brca
226	PDGFRL	ENSG00000104213.8	17576433.0	17644071.0	gain	20	122	brca
227	PDGFRL	ENSG00000104213.8	17576433.0	17644071.0	loss	60	122	brca
228	MTUS1	ENSG00000129422.9	17643795.0	17800917.0	gain	20	122	brca
229	MTUS1	ENSG00000129422.9	17643795.0	17800917.0	loss	60	122	brca
230	MIR548V	ENSG00000265520.1	17681578.0	17681657.0	gain	20	122	brca
231	MIR548V	ENSG00000265520.1	17681578.0	17681657.0	loss	60	122	brca
232	RNA5SP256	ENSG00000212280.1	17748118.0	17748230.0	gain	20	122	brca
233	RNA5SP256	ENSG00000212280.1	17748118.0	17748230.0	loss	60	122	brca
234	FGL1	ENSG00000104760.12	17864380.0	17910365.0	gain	20	122	brca
235	FGL1	ENSG00000104760.12	17864380.0	17910365.0	loss	61	122	brca
236	PCM1	ENSG00000078674.13	17922840.0	18029944.0	gain	20	122	brca
237	PCM1	ENSG00000078674.13	17922840.0	18029944.0	loss	61	122	brca
238	ASAH1	ENSG00000104763.13	18055992.0	18084998.0	gain	18	122	brca
239	ASAH1	ENSG00000104763.13	18055992.0	18084998.0	loss	61	122	brca
240	NAT1	ENSG00000171428.9	18170477.0	18223689.0	gain	18	122	brca
241	NAT1	ENSG00000171428.9	18170477.0	18223689.0	loss	60	122	brca
242	NAT2	ENSG00000156006.4	18391282.0	18401218.0	gain	18	122	brca
243	NAT2	ENSG00000156006.4	18391282.0	18401218.0	loss	60	122	brca
244	PSD3	ENSG00000156011.12	18527303.0	19084730.0	gain	18	122	brca
245	PSD3	ENSG00000156011.12	18527303.0	19084730.0	loss	60	122	brca
246	SH2D4A	ENSG00000104611.7	19313693.0	19396218.0	gain	19	122	brca
247	SH2D4A	ENSG00000104611.7	19313693.0	19396218.0	loss	59	122	brca
248	CSGALNACT1	ENSG00000147408.10	19404161.0	19758029.0	gain	19	122	brca
249	CSGALNACT1	ENSG00000147408.10	19404161.0	19758029.0	loss	59	122	brca
250	INTS10	ENSG00000104613.7	19817391.0	19852083.0	gain	19	122	brca
251	INTS10	ENSG00000104613.7	19817391.0	19852083.0	loss	59	122	brca
252	LPL	ENSG00000175445.10	19901717.0	19967259.0	gain	19	122	brca
253	LPL	ENSG00000175445.10	19901717.0	19967259.0	loss	59	122	brca
254	SLC18A1	ENSG00000036565.10	20144855.0	20183206.0	gain	19	122	brca
255	SLC18A1	ENSG00000036565.10	20144855.0	20183206.0	loss	59	122	brca
256	ATP6V1B2	ENSG00000147416.6	20197381.0	20226819.0	gain	18	122	brca
257	ATP6V1B2	ENSG00000147416.6	20197381.0	20226819.0	loss	59	122	brca
258	LZTS1	ENSG00000061337.11	20246165.0	20303963.0	gain	17	122	brca
259	LZTS1	ENSG00000061337.11	20246165.0	20303963.0	loss	59	122	brca
260	GFRA2	ENSG00000168546.6	21690398.0	21812357.0	gain	17	122	brca
261	GFRA2	ENSG00000168546.6	21690398.0	21812357.0	loss	59	122	brca
262	DOK2	ENSG00000147443.8	21908873.0	21913690.0	gain	17	122	brca
263	DOK2	ENSG00000147443.8	21908873.0	21913690.0	loss	58	122	brca
264	XPO7	ENSG00000130227.12	21919662.0	22006585.0	gain	17	122	brca
265	XPO7	ENSG00000130227.12	21919662.0	22006585.0	loss	58	122	brca
266	NPM2	ENSG00000158806.9	22024125.0	22036897.0	gain	17	122	brca
267	NPM2	ENSG00000158806.9	22024125.0	22036897.0	loss	58	122	brca
268	FGF17	ENSG00000158815.6	22042398.0	22048809.0	gain	17	122	brca
269	FGF17	ENSG00000158815.6	22042398.0	22048809.0	loss	58	122	brca
270	DMTN	ENSG00000158856.13	22048995.0	22082527.0	gain	17	122	brca
271	DMTN	ENSG00000158856.13	22048995.0	22082527.0	loss	58	122	brca
272	FAM160B2	ENSG00000158863.17	22089150.0	22104911.0	gain	17	122	brca
273	FAM160B2	ENSG00000158863.17	22089150.0	22104911.0	loss	58	122	brca
274	NUDT18	ENSG00000173566.9	22106874.0	22109419.0	gain	17	122	brca
275	NUDT18	ENSG00000173566.9	22106874.0	22109419.0	loss	58	122	brca
276	HR	ENSG00000168453.10	22114419.0	22133384.0	gain	17	122	brca
277	HR	ENSG00000168453.10	22114419.0	22133384.0	loss	58	122	brca
278	REEP4	ENSG00000168476.7	22138020.0	22141951.0	gain	17	122	brca
279	REEP4	ENSG00000168476.7	22138020.0	22141951.0	loss	58	122	brca
280	LGI3	ENSG00000168481.4	22146830.0	22157084.0	gain	17	122	brca
281	LGI3	ENSG00000168481.4	22146830.0	22157084.0	loss	58	122	brca
282	SFTPC	ENSG00000168484.8	22156913.0	22164479.0	gain	17	122	brca
283	SFTPC	ENSG00000168484.8	22156913.0	22164479.0	loss	58	122	brca
284	BMP1	ENSG00000168487.13	22165140.0	22212326.0	gain	17	122	brca
285	BMP1	ENSG00000168487.13	22165140.0	22212326.0	loss	58	122	brca
286	PHYHIP	ENSG00000168490.9	22219703.0	22232101.0	gain	17	122	brca
287	PHYHIP	ENSG00000168490.9	22219703.0	22232101.0	loss	58	122	brca
288	MIR320A	ENSG00000208037.1	22244962.0	22245043.0	gain	17	122	brca
289	MIR320A	ENSG00000208037.1	22244962.0	22245043.0	loss	58	122	brca
290	POLR3D	ENSG00000168495.8	22245133.0	22254601.0	gain	17	122	brca
291	POLR3D	ENSG00000168495.8	22245133.0	22254601.0	loss	58	122	brca
292	PIWIL2	ENSG00000197181.7	22275316.0	22357568.0	gain	17	122	brca
293	PIWIL2	ENSG00000197181.7	22275316.0	22357568.0	loss	58	122	brca
294	SLC39A14	ENSG00000104635.9	22367249.0	22434129.0	gain	17	122	brca
295	SLC39A14	ENSG00000104635.9	22367249.0	22434129.0	loss	58	122	brca
296	PPP3CC	ENSG00000120910.10	22440819.0	22541142.0	gain	17	122	brca
297	PPP3CC	ENSG00000120910.10	22440819.0	22541142.0	loss	58	122	brca
298	SORBS3	ENSG00000120896.9	22544986.0	22575788.0	gain	17	122	brca
299	SORBS3	ENSG00000120896.9	22544986.0	22575788.0	loss	58	122	brca
300	PDLIM2	ENSG00000120913.19	22578279.0	22598025.0	gain	17	122	brca
301	PDLIM2	ENSG00000120913.19	22578279.0	22598025.0	loss	58	122	brca
302	C8orf58	ENSG00000241852.5	22599599.0	22604150.0	gain	17	122	brca
303	C8orf58	ENSG00000241852.5	22599599.0	22604150.0	loss	58	122	brca
304	BIN3	ENSG00000147439.7	22620418.0	22669148.0	gain	18	122	brca
305	BIN3	ENSG00000147439.7	22620418.0	22669148.0	loss	58	122	brca
306	EGR3	ENSG00000179388.8	22687659.0	22693480.0	gain	18	122	brca
307	EGR3	ENSG00000179388.8	22687659.0	22693480.0	loss	58	122	brca
308	PEBP4	ENSG00000134020.6	22713251.0	23000000.0	gain	17	122	brca
309	PEBP4	ENSG00000134020.6	22713251.0	23000000.0	loss	60	122	brca
310	RN7SL303P	ENSG00000240116.2	22977877.0	22978127.0	gain	17	122	brca
311	RN7SL303P	ENSG00000240116.2	22977877.0	22978127.0	loss	59	122	brca
312	RHOBTB2	ENSG00000008853.12	22987417.0	23020199.0	gain	17	122	brca
313	RHOBTB2	ENSG00000008853.12	22987417.0	23020199.0	loss	60	122	brca
314	TNFRSF10B	ENSG00000120889.8	23020133.0	23069031.0	gain	17	122	brca
315	TNFRSF10B	ENSG00000120889.8	23020133.0	23069031.0	loss	60	122	brca
316	TNFRSF10C	ENSG00000173535.9	23102590.0	23117437.0	gain	17	122	brca
317	TNFRSF10C	ENSG00000173535.9	23102590.0	23117437.0	loss	59	122	brca
318	TNFRSF10D	ENSG00000173530.5	23135588.0	23164027.0	gain	17	122	brca
319	TNFRSF10D	ENSG00000173530.5	23135588.0	23164027.0	loss	60	122	brca
320	TNFRSF10A	ENSG00000104689.5	23190452.0	23225102.0	gain	17	122	brca
321	TNFRSF10A	ENSG00000104689.5	23190452.0	23225102.0	loss	60	122	brca
322	CHMP7	ENSG00000147457.9	23243637.0	23262000.0	gain	17	122	brca
323	CHMP7	ENSG00000147457.9	23243637.0	23262000.0	loss	60	122	brca
324	R3HCC1	ENSG00000104679.6	23270120.0	23296279.0	gain	17	122	brca
325	R3HCC1	ENSG00000104679.6	23270120.0	23296279.0	loss	60	122	brca
326	LOXL2	ENSG00000134013.11	23296897.0	23425328.0	gain	17	122	brca
327	LOXL2	ENSG00000134013.11	23296897.0	23425328.0	loss	60	122	brca
328	ENTPD4	ENSG00000197217.8	23385783.0	23457695.0	gain	17	122	brca
329	ENTPD4	ENSG00000197217.8	23385783.0	23457695.0	loss	60	122	brca
330	SLC25A37	ENSG00000147454.9	23528956.0	23575463.0	gain	16	122	brca
331	SLC25A37	ENSG00000147454.9	23528956.0	23575463.0	loss	60	122	brca
332	STC1	ENSG00000159167.7	23841929.0	23854806.0	gain	22	122	brca
333	STC1	ENSG00000159167.7	23841929.0	23854806.0	loss	60	122	brca
334	ADAM28	ENSG00000042980.8	24294069.0	24359014.0	gain	22	122	brca
335	ADAM28	ENSG00000042980.8	24294069.0	24359014.0	loss	60	122	brca
336	ADAMDEC1	ENSG00000134028.10	24384285.0	24406013.0	gain	21	122	brca
